name,all,function def,class def,import,exception,param,keyword,alias,object decl,object
annotations,1263,,,1215,,4,6,,,38
glob,49,,,13,,,,,,36
json,550,,,139,,14,17,,,380
logging,344,1,,134,,,,,,209
os,1033,,,209,,,,,,824
subprocess,127,,,32,,,,,,95
sys,172,,,51,,,,,,121
unittest,3,,,1,,,,,,2
copy,137,1,,40,,,,,,96
deepcopy,53,,,15,,,,,,38
path,694,,,9,,70,16,,,599
relpath,16,,,1,,,,,,15
pathlib,46,,,28,,,,,,18
Path,98,,,20,,,,,,78
textwrap,30,,,18,,,,,,12
wrap,4,1,,1,,,,,,2
typing,700,,,699,,,,,,1
Iterable,358,,,95,,,,,,263
setuptools,3,,,3,,,,,,
Command,16,,,4,,,2,,,10
Distribution,4,,,1,,,,,,3
find_namespace_packages,2,,,1,,,,,,1
setup,15,12,,2,,,,,,1
command,239,1,,5,,38,29,,,166
develop,2,,,2,,,,,,
develop_orig,2,,,,,,,1,,1
install,3,1,,2,,,,,,
install_orig,2,,,,,,,1,,1
distutils,1,,,1,,,,,,
log,3137,3,,92,,11,3,,,3028
INSTALL_PROVIDERS_FROM_SOURCES,4,,,,,,,,,4
PY39,2,,,,,,,,,2
version_info,21,,,,,,,,,21
logger,102,,,,,8,8,,,86
getLogger,119,,,,,,,,,119
version,217,2,,62,,13,32,,,108
AIRFLOW_SOURCES_ROOT,9,,,,,,,,,9
resolve,33,8,,,,3,,,,22
parent,246,,,,,4,34,,,208
PROVIDERS_ROOT,1,,,,,,,,,1
CROSS_PROVIDERS_DEPS,1,,,,,,,,,1
DEPS,4,,,,,,,,,4
fill_provider_dependencies,2,1,,,,,,,,1
loads,93,,,,,,,,,93
read_text,3,,,,,,,,,3
e,677,,,,277,4,,,,396
Exception,359,,,,,,,,,359
print,333,,,2,,,,,,331
dict,2359,,,,,,,,,2359
str,14403,,,,,,,,,14403
list,1401,5,,,,,,,,1396
PROVIDER_DEPENDENCIES,5,,,,,,,,,5
airflow_test_suite,1,1,,,,,,,,
test_loader,2,,,,,,,,,2
TestLoader,1,,,,,,,,,1
test_suite,3,,,,,,1,,,2
discover,1,,,,,,,,,1
pattern,57,,,,,12,6,,,39
TestSuite,1,,,,,,,,,1
CleanCommand,2,,1,,,,,,,1
description,220,6,,,,23,55,,,136
user_options,3,,,,,,,,,3
initialize_options,3,3,,,,,,,,
finalize_options,3,3,,,,,,,,
rm_all_files,8,1,,,,,,,,7
files,157,,,2,,19,6,,,130
file,221,,,7,,14,18,,,182
remove,44,2,,,,1,2,,,39
warning,222,,,,,,,,,222
staticmethod,394,,,,,,,,,394
run,199,44,,1,,2,,,,152
chdir,1,,,,,,,,,1
recursive,54,,,,,8,26,,,20
CompileAssets,2,,1,,,,,,,1
www_dir,3,,,,,,,,,3
check_call,11,,,,,,,,,11
cwd,32,,,,,3,13,,,16
ListExtras,2,,1,,,,,,,1
join,457,,,,,,,,,457
keys,170,1,,,,15,5,,,149
EXTRAS_DEPENDENCIES,21,,,,,,,,,21
git_version,14,1,,,,,1,,,12
version_,2,,,,,1,,,,1
git,4,,,1,,,,,,3
repo,7,,,,,1,,,,6
Repo,1,,,,,,,,,1
