name,all,function def,class def,import,exception,param,keyword,alias,object decl,object,naming_style,words
setuptools,2,,,2,,,,,,,lowercase,['setuptools']
setup,5,3,,1,,,,,,1,lowercase,['setup']
find_packages,2,,,1,,,,,,1,lower_case_with_underscores,"['find', 'packages']"
Command,10,,,3,,,,,,7,CapitalizedWords,['command']
command,138,1,,2,,17,37,,,81,lowercase,['command']
test,55,5,,4,,2,,,,44,lowercase,['test']
TestCommand,4,,,,,,,1,,3,CapitalizedWords,"['test', 'command']"
imp,19,,,4,,,,,,15,lowercase,['imp']
io,38,,,17,,,,,,21,lowercase,['io']
logging,125,,,40,,,,,,85,lowercase,['logging']
os,923,,,136,,,,,,787,lowercase,['os']
sys,162,,,50,,,,,,112,lowercase,['sys']
subprocess,129,,,34,,,,,,95,lowercase,['subprocess']
logger,59,1,,,,4,4,,,50,lowercase,['logger']
getLogger,28,,,,,,,,,28,mixedCase,"['get', 'logger']"
version,97,3,,20,,4,18,,,52,lowercase,['version']
load_source,3,,,,,,,,,3,lower_case_with_underscores,"['load', 'source']"
join,381,,,,,,,,,381,lowercase,['join']
path,571,,,7,,27,18,,,519,lowercase,['path']
PY3,19,,,1,,,,,,18,UPPERCASE,['py3']
version_info,21,,,1,,,,,,20,lower_case_with_underscores,"['version', 'info']"
open,140,,,,,1,1,,,138,lowercase,['open']
encoding,38,,,,,3,18,,,17,lowercase,['encoding']
f,349,19,,,,20,2,,,308,b,['f']
long_description,3,,,,,,1,,,2,lower_case_with_underscores,"['long', 'description']"
read,77,2,,,,,,,,75,lowercase,['read']
Tox,2,,1,,,,,,,1,CapitalizedWords,['tox']
user_options,3,,,,,,,,,3,lower_case_with_underscores,"['user', 'options']"
initialize_options,4,3,,,,,,,,1,lower_case_with_underscores,"['initialize', 'options']"
tox_args,2,,,,,,,,,2,lower_case_with_underscores,"['tox', 'args']"
finalize_options,4,3,,,,,,,,1,lower_case_with_underscores,"['finalize', 'options']"
test_args,1,,,,,,,,,1,lower_case_with_underscores,"['test', 'args']"
test_suite,1,,,,,,,,,1,lower_case_with_underscores,"['test', 'suite']"
run_tests,1,1,,,,,,,,,lower_case_with_underscores,"['run', 'tests']"
tox,2,,,1,,,,,,1,lowercase,['tox']
errno,30,,,9,,,,,,21,lowercase,['errno']
cmdline,9,,,,,,,,,9,lowercase,['cmdline']
args,1599,,,,,383,14,,,1202,lowercase,['args']
split,126,,,,,,,,,126,lowercase,['split']
exit,17,,,,,,,,,17,lowercase,['exit']
CleanCommand,2,,1,,,,,,,1,CapitalizedWords,"['clean', 'command']"
run,435,19,,1,,7,,,,408,lowercase,['run']
system,8,,,,,,,,,8,lowercase,['system']
CompileAssets,2,,1,,,,,,,1,CapitalizedWords,"['compile', 'assets']"
call,63,2,,4,,,,,,57,lowercase,['call']
git_version,10,1,,,,,2,,,7,lower_case_with_underscores,"['git', 'version']"
repo,5,,,,,,,,,5,lowercase,['repo']
git,2,,,1,,,,,,1,lowercase,['git']
Repo,1,,,,,,,,,1,CapitalizedWords,['repo']
ImportError,80,,1,2,,,,,,77,CapitalizedWords,"['import', 'error']"
warning,88,,,,,,,,,88,lowercase,['warning']
e,477,,,,147,2,,2,,326,b,['e']
Exception,265,,,,,,,,,265,CapitalizedWords,['exception']
format,1511,,,,,2,43,,,1466,lowercase,['format']
sha,5,,,,,,2,,,3,lowercase,['sha']
hexsha,1,,,,,,,,,1,lowercase,['hexsha']
commit,394,2,,,,4,41,,,347,lowercase,['commit']
head,10,,,,,,,,,10,lowercase,['head']
is_dirty,1,,,,,,,,,1,lower_case_with_underscores,"['is', 'dirty']"
write_version,2,1,,,,,,,,1,lower_case_with_underscores,"['write', 'version']"
filename,169,,,,,22,43,,,104,lowercase,['filename']
text,111,,,2,,6,19,,,84,lowercase,['text']
a,12,,,,,3,3,,,6,b,['a']
write,79,1,,,,,,,,78,lowercase,['write']
async_packages,2,,,,,,,,,2,lower_case_with_underscores,"['async', 'packages']"
atlas,7,,,2,,,,,,5,lowercase,['atlas']
azure_blob_storage,3,,,,,,,,,3,lower_case_with_underscores,"['azure', 'blob', 'storage']"
azure_data_lake,4,,,,,,,,,4,lower_case_with_underscores,"['azure', 'data', 'lake']"
azure_cosmos,4,,,,,,,,,4,lower_case_with_underscores,"['azure', 'cosmos']"
azure_container_instances,3,,,,,,,,,3,lower_case_with_underscores,"['azure', 'container', 'instances']"
cassandra,11,,,8,,,,,,3,lowercase,['cassandra']
celery,9,,,6,,,,,,3,lowercase,['celery']
cgroups,8,,,,,,,,,8,lowercase,['cgroups']
cloudant,5,,,1,,,,,,4,lowercase,['cloudant']
crypto,3,,,,,,,,,3,lowercase,['crypto']
dask,2,,,,,,,,,2,lowercase,['dask']
databricks,2,,,,,,,,,2,lowercase,['databricks']
datadog,5,,,2,,,,,,3,lowercase,['datadog']
doc,13,,,,,2,,,,11,lowercase,['doc']
docker,10,,,4,,,1,,,5,lowercase,['docker']
druid,8,,,,,,,,,8,lowercase,['druid']
elasticsearch,12,,,6,,,,,,6,lowercase,['elasticsearch']
emr,12,,,,,,,,,12,lowercase,['emr']
gcp_api,3,,,,,,,,,3,lower_case_with_underscores,"['gcp', 'api']"
flask_oauth,3,,,,,,,,,3,lower_case_with_underscores,"['flask', 'oauth']"
hdfs,6,,,2,,,,,,4,lowercase,['hdfs']
hive,31,,,3,,,,,,28,lowercase,['hive']
jdbc,3,,,,,,,,,3,lowercase,['jdbc']
jenkins,16,,,4,,,,,,12,lowercase,['jenkins']
jira,5,,,3,,,,,,2,lowercase,['jira']
kerberos,29,1,,5,,,,,,23,lowercase,['kerberos']
kubernetes,49,,,41,,,,,,8,lowercase,['kubernetes']
ldap,3,,,,,,,,,3,lowercase,['ldap']
mssql,5,,,,,,,,,5,lowercase,['mssql']
mysql,147,,,6,,,,,,141,lowercase,['mysql']
oracle,3,,,,,,,,,3,lowercase,['oracle']
password,278,3,,,,13,104,,,158,lowercase,['password']
pinot,4,,,,,,,,,4,lowercase,['pinot']
postgres,9,,,,,,,,,9,lowercase,['postgres']
qds,2,,,,,,,,,2,lowercase,['qds']
rabbitmq,2,,,,,,,,,2,lowercase,['rabbitmq']
redis,20,,,1,,,,,,19,lowercase,['redis']
s3,16,,,,,,,,,16,lowercase,['s3']
salesforce,2,,,,,,,,,2,lowercase,['salesforce']
samba,14,,,,,,,,,14,lowercase,['samba']
segment,3,,,,,,,,,3,lowercase,['segment']
sendgrid,7,,,3,,,,,,4,lowercase,['sendgrid']
slack,5,,,,,,,,,5,lowercase,['slack']
mongo,3,,,,,,,,,3,lowercase,['mongo']
snowflake,5,,,1,,,,,,4,lowercase,['snowflake']
ssh,3,,,,,,,,,3,lowercase,['ssh']
statsd,5,,,1,,,,,,4,lowercase,['statsd']
vertica,7,,,,,,,,,7,lowercase,['vertica']
webhdfs,4,,,,,,,,,4,lowercase,['webhdfs']
winrm,4,,,2,,,,,,2,lowercase,['winrm']
zendesk,5,,,,,,,,,5,lowercase,['zendesk']
all_dbs,3,,,,,,,,,3,lower_case_with_underscores,"['all', 'dbs']"
devel,3,,,,,,,,,3,lowercase,['devel']
devel_minreq,4,,,,,,,,,4,lower_case_with_underscores,"['devel', 'minreq']"
devel_hadoop,2,,,,,,,,,2,lower_case_with_underscores,"['devel', 'hadoop']"
devel_azure,2,,,,,,,,,2,lower_case_with_underscores,"['devel', 'azure']"
devel_all,4,,,,,,,,,4,lower_case_with_underscores,"['devel', 'all']"
devel_ci,3,,,,,,,,,3,lower_case_with_underscores,"['devel', 'ci']"
package,3,,,,,,,,,3,lowercase,['package']
