name,all,function def,class def,import,exception,param,keyword,alias,object decl,object,case_convention,words
setuptools,3,,,3,,,,,,,lowercase,['setuptools']
setup,7,3,,2,,,,,,2,lowercase,['setup']
find_packages,4,,,2,,,,,,2,lower_case_with_underscores,"['find', 'packages']"
Command,20,,,6,,,,,,14,CapitalizedWords,['command']
command,278,2,,3,,35,77,,,161,lowercase,['command']
test,113,11,,6,,4,,,,92,lowercase,['test']
TestCommand,4,,,,,,,1,,3,CapitalizedWords,"['test', 'command']"
imp,39,,,9,,,,,,30,lowercase,['imp']
io,78,,,33,,,,,,45,lowercase,['io']
logging,297,,,95,,,,,,202,lowercase,['logging']
os,1959,,,292,,,,,,1667,lowercase,['os']
sys,365,,,110,,,,,,255,lowercase,['sys']
subprocess,267,,,68,,,,,,199,lowercase,['subprocess']
logger,119,2,,,,8,8,,,101,lowercase,['logger']
getLogger,54,,,,,,,,,54,mixedCase,"['get', 'logger']"
version,235,6,,55,,9,37,,,128,lowercase,['version']
load_source,6,,,,,,,,,6,lower_case_with_underscores,"['load', 'source']"
join,797,,,,,,,,,797,lowercase,['join']
path,1211,,,13,,60,37,,,1101,lowercase,['path']
PY3,38,,,2,,,,,,36,UPPERCASE,['py3']
version_info,41,,,2,,,,,,39,lower_case_with_underscores,"['version', 'info']"
open,294,,,,,2,2,,,290,lowercase,['open']
encoding,90,,,,,9,39,,,42,lowercase,['encoding']
f,671,38,,,,39,4,,,590,b,['f']
long_description,7,,,,,,2,,,5,lower_case_with_underscores,"['long', 'description']"
read,162,4,,,,,,,,158,lowercase,['read']
verify_gpl_dependency,2,1,,,,,,,,1,lower_case_with_underscores,"['verify', 'gpl', 'dependency']"
getenv,29,,,2,,,,,,27,lowercase,['getenv']
environ,591,,,,,,,,,591,lowercase,['environ']
RuntimeError,32,,,,,,,,,32,CapitalizedWords,"['runtime', 'error']"
Tox,2,,1,,,,,,,1,CapitalizedWords,['tox']
user_options,5,,,,,,,,,5,lower_case_with_underscores,"['user', 'options']"
initialize_options,6,5,,,,,,,,1,lower_case_with_underscores,"['initialize', 'options']"
tox_args,2,,,,,,,,,2,lower_case_with_underscores,"['tox', 'args']"
