name,all,function_def,class_def,import_module_or_alias,exception,param,keyword,alias,object_decl,object,naming_style
glob,93,,,26,,,,,,67,lowercase
logging,351,,,136,,,,,,215,lowercase
os,2225,,,372,,,,,,1853,lowercase
subprocess,216,,,53,,,,,,163,lowercase
unittest,2073,,,1078,,,,,,995,lowercase
distutils,6,,,6,,,,,,,lowercase
log,2517,2,,95,,9,15,,,2396,lowercase
path,1271,,,22,,41,53,,,1155,lowercase
dirname,113,,,10,,,,,,103,lowercase
relpath,30,,,1,,,,,,29,lowercase
textwrap,51,,,23,,,,,,28,lowercase
wrap,7,1,,2,,,,,,4,lowercase
typing,577,,,576,,,,,,1,lowercase
Dict,1223,,,280,,,,,,943,CapitalizedWords
List,954,,,227,,,,,,727,CapitalizedWords
Set,104,,,33,,,,,,71,CapitalizedWords
Tuple,428,,,90,,,,,,338,CapitalizedWords
setuptools,4,,,4,,,,,,,lowercase
Command,12,,,3,,,1,,,8,CapitalizedWords
Distribution,3,,,1,,,,,,2,CapitalizedWords
find_namespace_packages,2,,,1,,,,,,1,lower_case_with_underscores
setup,22,11,,7,,,,,,4,lowercase
command,260,1,,4,,31,78,,,146,lowercase
develop,2,,,2,,,,,,,lowercase
develop_orig,2,,,,,,,1,,1,lower_case_with_underscores
install,4,1,,2,,,,,,1,lowercase
install_orig,2,,,,,,,1,,1,lower_case_with_underscores
INSTALL_PROVIDERS_FROM_SOURCES,4,,,,,,,,,4,UPPER_CASE_WITH_UNDERSCORES
logger,120,,,,,4,15,,,101,lowercase
getLogger,107,,,,,,,,,107,mixedCase
version,312,1,,75,,13,70,,,153,lowercase
my_dir,6,,,,,,,,,6,lower_case_with_underscores
airflow_test_suite,1,1,,,,,,,,,lower_case_with_underscores
test_loader,2,,,,,,,,,2,lower_case_with_underscores
TestLoader,1,,,,,,,,,1,CapitalizedWords
test_suite,3,,,,,,1,,,2,lower_case_with_underscores
discover,1,,,,,,,,,1,lowercase
join,771,,,1,,,,,,770,lowercase
pattern,54,,,,,9,11,,,34,lowercase
TestSuite,1,,,,,,,,,1,CapitalizedWords
CleanCommand,2,,1,,,,,,,1,CapitalizedWords
description,224,4,,,,11,94,,,115,lowercase
user_options,3,,,,,,,,,3,lower_case_with_underscores
str,9064,,,,,,,,,9064,lowercase
initialize_options,3,3,,,,,,,,,lower_case_with_underscores
finalize_options,3,3,,,,,,,,,lower_case_with_underscores
rm_all_files,8,1,,,,,,,,7,lower_case_with_underscores
files,202,,,,,15,14,,,173,lowercase
file,347,,,15,,7,47,,,278,lowercase
remove,111,1,,1,,1,4,,,104,lowercase
e,533,,,,196,1,,,,336,b
Exception,337,,,,,,,,,337,CapitalizedWords
warning,169,,,,,1,,,,168,lowercase
staticmethod,300,,,,,,,,,300,lowercase
run,593,21,,1,,4,2,,,565,lowercase
chdir,5,,,,,,,,,5,lowercase
recursive,51,,,,,4,36,,,11,lowercase
CompileAssets,2,,1,,,,,,,1,CapitalizedWords
check_call,17,,,1,,,,,,16,lower_case_with_underscores
ListExtras,2,,1,,,,,,,1,CapitalizedWords
print,522,,,5,,,,,,517,lowercase
keys,224,,,,,5,13,,,206,lowercase
EXTRAS_REQUIREMENTS,22,,,2,,,,,,20,UPPER_CASE_WITH_UNDERSCORES
git_version,14,1,,,,,1,,,12,lower_case_with_underscores
version_,2,,,,,1,,,,1,lowercase
git,4,,,1,,,,,,3,lowercase
repo,11,,,,,,,,,11,lowercase
Repo,1,,,,,,,,,1,CapitalizedWords
NoSuchPathError,1,,,,,,,,,1,CapitalizedWords
InvalidGitRepositoryError,1,,,,,,,,,1,CapitalizedWords
ImportError,132,,1,5,,,,,,126,CapitalizedWords
sha,3,,,,,,,,,3,lowercase
hexsha,1,,,,,,,,,1,lowercase
commit,414,3,,,,7,39,,,365,lowercase
head,16,,,,,,,,,16,lowercase
is_dirty,1,,,,,,,,,1,lower_case_with_underscores
write_version,2,1,,,,,,,,1,lower_case_with_underscores
filename,467,,,,,48,179,,,240,lowercase
text,118,,,2,,10,28,,,78,lowercase
format,1018,2,,,,,15,,,1001,lowercase
open,276,,,,,,1,,,275,lowercase
write,198,3,,,,,1,,,194,lowercase
get_sphinx_theme_version,2,1,,,,,,,,1,lower_case_with_underscores
get,2271,8,,,,,,,,2263,lowercase
environ,653,,,1,,,,,,652,lowercase
amazon,329,,,325,,,,,,4,lowercase
apache_beam,3,,,1,,,,,,2,lower_case_with_underscores
async_packages,2,,,,,,,,,2,lower_case_with_underscores
atlas,2,,,,,,,,,2,lowercase
azure,124,,,116,,,,,,8,lowercase
cassandra,26,,,24,,,,,,2,lowercase
celery,19,,,17,,,,,,2,lowercase
cgroups,10,,,,,,,,,10,lowercase
cloudant,11,,,6,,,,,,5,lowercase
dask,2,,,,,,,,,2,lowercase
databricks,18,,,16,,,,,,2,lowercase
datadog,15,,,13,,,,,,2,lowercase
doc,13,,,,,2,,,,11,lowercase
docker,29,,,27,,,,,,2,lowercase
druid,22,,,18,,,,,,4,lowercase
elasticsearch,15,,,10,,,,,,5,lowercase
exasol,8,,,6,,,,,,2,lowercase
facebook,4,,,2,,,,,,2,lowercase
flask_oauth,3,,,,,,,,,3,lower_case_with_underscores
google,1015,,,960,,,,,,55,lowercase
grpc,20,,,12,,,,,,8,lowercase
hashicorp,8,,,6,,,,,,2,lowercase
hdfs,25,,,22,,,,,,3,lowercase
hive,104,,,80,,,,,,24,lowercase
jdbc,14,,,12,,,,,,2,lowercase
jenkins,30,,,17,,,,,,13,lowercase
jira,21,,,19,,,,,,2,lowercase
kerberos,28,1,,6,,,,,,21,lowercase
kubernetes,143,,,132,,,,,,11,lowercase
kylin,8,,,6,,,,,,2,lowercase
ldap,8,,,,,,,,,8,lowercase
mongo,16,,,14,,,,,,2,lowercase
mssql,81,,,18,,,,,,63,lowercase
mysql,209,,,66,,,,,,143,lowercase
odbc,8,,,6,,,,,,2,lowercase
oracle,20,,,18,,,,,,2,lowercase
pagerduty,6,,,4,,,,,,2,lowercase
papermill,9,,,7,,,,,,2,lowercase
password,432,1,,,,14,210,,,207,lowercase
pinot,6,,,4,,,,,,2,lowercase
plexus,8,,,6,,,,,,2,lowercase
postgres,36,,,30,,,,,,6,lowercase
presto,25,,,16,,,,,,9,lowercase
qubole,38,,,36,,,,,,2,lowercase
rabbitmq,2,,,,,,,,,2,lowercase
redis,41,,,23,,,,,,18,lowercase
salesforce,21,,,16,,,,,,5,lowercase
samba,21,,,8,,,,,,13,lowercase
segment,12,,,10,,,,,,2,lowercase
sendgrid,6,,,3,,,,,,3,lowercase
sentry,13,,,5,,,,,,8,lowercase
singularity,6,,,4,,,,,,2,lowercase
slack,22,,,18,,,,,,4,lowercase
snowflake,24,,,22,,,,,,2,lowercase
spark,26,,,21,,,,,,5,lowercase
ssh,39,,,36,,,,,,3,lowercase
statsd,15,,,2,,,,,,13,lowercase
tableau,5,,,3,,,,,,2,lowercase
telegram,20,,,11,,,,,,9,lowercase
vertica,20,,,14,,,,,,6,lowercase
virtualenv,2,,,,,,,,,2,lowercase
webhdfs,6,,,3,,,,,,3,lowercase
winrm,18,,,16,,,,,,2,lowercase
yandex,10,,,8,,,,,,2,lowercase
zendesk,9,,,4,,,,,,5,lowercase
devel,2,,,,,,,,,2,lowercase
devel_minreq,4,,,,,,,,,4,lower_case_with_underscores
devel_hadoop,3,,,,,,,,,3,lower_case_with_underscores
PROVIDERS_REQUIREMENTS,15,,,3,,,,,,12,UPPER_CASE_WITH_UNDERSCORES
add_extras_for_all_providers,2,1,,,,,,,,1,lower_case_with_underscores
provider_name,10,,,,,,,,,10,lower_case_with_underscores
provider_requirement,2,,,,,,,,,2,lower_case_with_underscores
items,332,,,,,11,5,,,316,lowercase
EXTRAS_DEPRECATED_ALIASES,5,,,1,,,,,,4,UPPER_CASE_WITH_UNDERSCORES
find_requirements_for_alias,1,1,,,,,,,,,lower_case_with_underscores
alias_to_look_for,3,,,,,1,,,,2,lower_case_with_underscores
deprecated_extra,2,,,,,,,,,2,lower_case_with_underscores
new_extra,4,,,,,,,,,4,lower_case_with_underscores
KeyError,29,,,,,,,,,29,CapitalizedWords
add_extras_for_all_deprecated_aliases,2,1,,,,,,,,1,lower_case_with_underscores
alias,14,,,,,1,,,,13,lowercase
extra,304,1,,,,4,148,,,151,lowercase
requirements,37,,,,,4,17,,,16,lowercase
ALL_PROVIDERS,10,,,1,,,,,,9,UPPER_CASE_WITH_UNDERSCORES
list,502,3,,,,,,,,499,lowercase
ALL_DB_PROVIDERS,3,,,,,,,,,3,UPPER_CASE_WITH_UNDERSCORES
all_dbs,2,,,,,,,,,2,lower_case_with_underscores
req,13,,,,,1,,,,12,lowercase
db_provider,2,,,,,,,,,2,lower_case_with_underscores
_all_requirements,3,,,,,,,,,3,lower_case_with_underscores
extras_reqs,2,,,,,,,,,2,lower_case_with_underscores
values,318,,,,,12,77,,,229,lowercase
devel_all,5,,,,,,,,,5,lower_case_with_underscores
set,319,3,,,,,,,,316,lowercase
PACKAGES_EXCLUDED_FOR_ALL,4,,,,,,,,,4,UPPER_CASE_WITH_UNDERSCORES
extend,104,,,,,,,,,104,lowercase
PACKAGES_EXCLUDED_FOR_CI,2,,,,,,,,,2,UPPER_CASE_WITH_UNDERSCORES
is_package_excluded,3,1,,,,,,,,2,lower_case_with_underscores
package,20,,,,,2,2,,,16,lowercase
exclusion_list,4,,,,,1,2,,,1,lower_case_with_underscores
any,55,,,,,,,,,55,lowercase
startswith,137,,,,,,,,,137,lowercase
excluded_package,2,,,,,,,,,2,lower_case_with_underscores
devel_ci,2,,,,,,,,,2,lower_case_with_underscores
sort_extras_requirements,2,1,,,,,,,,1,lower_case_with_underscores
sorted_requirements,3,,,,,,,,,3,lower_case_with_underscores
dict,1234,,,,,,,,,1234,lowercase
sorted,151,,,,,,,,,151,lowercase
extra_list,2,,,,,,,,,2,lower_case_with_underscores
sort,8,,,,,,1,,,7,lowercase
EXTRAS_WITH_PROVIDERS,4,,,1,,,,,,3,UPPER_CASE_WITH_UNDERSCORES
PREINSTALLED_PROVIDERS,6,,,2,,,,,,4,UPPER_CASE_WITH_UNDERSCORES
get_provider_package_from_package_id,3,1,,,,,,,,2,lower_case_with_underscores
package_id,4,,,,,1,,,,3,lower_case_with_underscores
package_suffix,2,,,,,,,,,2,lower_case_with_underscores
replace,296,,,,,21,37,,,238,lowercase
AirflowDistribution,2,,1,,,,,,,1,CapitalizedWords
parse_config_files,2,1,,,,,,,,1,lower_case_with_underscores
args,2084,,,,,463,138,,,1483,lowercase
kwargs,2755,,,,,1073,1,,,1681,lowercase
super,1271,,,,,,,,,1271,lowercase
getenv,54,,,7,,,,,,47,lowercase
install_requires,6,,,,,,,,,6,lower_case_with_underscores
provider_yaml_files,2,,,,,,,,,2,lower_case_with_underscores
provider_yaml_file,4,,,,,,,,,4,lower_case_with_underscores
provider_relative_path,2,,,,,,,,,2,lower_case_with_underscores
append,438,,,,,6,6,,,426,lowercase
package_data,11,,,,,1,,,,10,lower_case_with_underscores
add_provider_packages_to_extras_requirements,7,1,,,,,,,,6,lower_case_with_underscores
providers,1597,1,,1572,,1,1,,,22,lowercase
add,290,1,,,,,,,,289,lowercase
package_name,91,,,,,4,5,,,82,lower_case_with_underscores
add_all_provider_packages,4,1,,1,,,,,,2,lower_case_with_underscores
provider,90,,,,,1,,,,89,lowercase
Develop,2,,1,,,,,,,1,CapitalizedWords
announce,5,1,,,,,,,,4,lowercase
level,46,,,,,3,23,,,20,lowercase
INFO,8,,,,,,,,,8,UPPERCASE
installed_packages,2,,,,,,,,,2,lower_case_with_underscores
splitlines,16,,,,,,,,,16,lowercase
decode,253,1,,,,,4,,,248,lowercase
check_output,44,2,,2,,,,,,40,lower_case_with_underscores
airflow_provider_packages,3,,,,,,,,,3,lower_case_with_underscores
split,189,,,,,,,,,189,lowercase
package_line,3,,,,,,,,,3,lower_case_with_underscores
CalledProcessError,15,,,3,,,,,,12,CapitalizedWords
WARN,2,,,,,,,,,2,UPPERCASE
Install,2,,1,,,,,,,1,CapitalizedWords
do_setup,2,1,,,,,,,,1,lower_case_with_underscores
setup_kwargs,3,,,,,,,,,3,lower_case_with_underscores
include_provider_namespace_packages_when_installing_from_sources,2,1,,,,,,,,1,lower_case_with_underscores
include,7,,,,,1,5,,,1,lowercase
distclass,1,,,,,,1,,,,lowercase
extras_require,1,,,,,,1,,,,lower_case_with_underscores
download_url,5,,,,,,1,,,4,lower_case_with_underscores
cmdclass,1,,,,,,1,,,,lowercase
json,1102,,,198,,12,138,,,754,lowercase
multiprocessing,46,,,18,,,,,,28,lowercase
pathlib,18,,,14,,,,,,4,lowercase
re,281,,,88,,,,,,193,lowercase
shlex,23,,,8,,,,,,15,lowercase
sys,293,,,82,,,,,,211,lowercase
warnings,1049,,,377,,1,,,,671,lowercase
base64,37,,,22,,,,,,15,lowercase
b64encode,40,,,10,,,,,,30,lowercase
collections,48,,,44,,,,,,4,lowercase
OrderedDict,58,,,18,,,,,,40,CapitalizedWords
configparser,5,,,3,,,,,,2,lowercase
_UNSET,14,,,1,,,,,,13,UPPERCASE
ConfigParser,5,,,1,,,,,,4,CapitalizedWords
NoOptionError,2,,,1,,,,,,1,CapitalizedWords
NoSectionError,2,,,1,,,,,,1,CapitalizedWords
StrictVersion,3,,,1,,,,,,2,CapitalizedWords
decoder,5,,,1,,,,,,4,lowercase
JSONDecodeError,21,,,8,,,,,,13,CapitalizedWords
Optional,4798,,,444,,,,,,4354,CapitalizedWords
Union,1013,,,221,,,,,,792,CapitalizedWords
yaml,56,,,24,,,,,,32,lowercase
cryptography,10,,,10,,,,,,,lowercase
fernet,27,,,5,,,,,,22,lowercase
Fernet,16,,,4,,,,,,12,CapitalizedWords
airflow,5670,,,5587,,,,,,83,lowercase
exceptions,640,,,553,,,,,,87,lowercase
AirflowConfigException,61,,1,20,,,,,,40,CapitalizedWords
secrets,119,,,29,,1,3,,,86,lowercase
DEFAULT_SECRETS_SEARCH_PATH,3,,,1,,,,,,2,UPPER_CASE_WITH_UNDERSCORES
BaseSecretsBackend,28,,1,13,,,,,,14,CapitalizedWords
utils,1442,,,1405,,,,,,37,lowercase
module_loading,13,,,13,,,,,,,lower_case_with_underscores
import_string,41,1,,13,,,,,,27,lower_case_with_underscores
warnoptions,1,,,,,,,,,1,lowercase
filterwarnings,3,,,,,,,,,3,lowercase
action,179,,,1,,10,83,,,85,lowercase
category,38,,,,,1,36,,,1,lowercase
DeprecationWarning,658,,,,,,,,,658,CapitalizedWords
module,45,,,,,2,2,,,41,lowercase
PendingDeprecationWarning,8,,,,,,,,,8,CapitalizedWords
expand_env_var,11,1,,1,,,,,,9,lower_case_with_underscores
env_var,22,,,,,2,,,,20,lower_case_with_underscores
interpolated,4,,,,,,,,,4,lowercase
expanduser,28,,,2,,,,,,26,lowercase
expandvars,1,,,,,,,,,1,lowercase
run_command,12,2,,1,,,,,,9,lower_case_with_underscores
process,101,,,,,1,6,,,94,lowercase
Popen,57,,,5,,,,,,52,CapitalizedWords
stdout,260,,,,,1,70,,,189,lowercase
PIPE,58,,,4,,,,,,54,UPPERCASE
stderr,151,,,,,1,69,,,81,lowercase
close_fds,35,,,,,1,34,,,,lower_case_with_underscores
output,216,1,,,,4,21,,,190,lowercase
stream,50,1,,2,,5,12,,,30,lowercase
getdefaultencoding,4,,,,,,,,,4,lowercase
communicate,9,,,,,,,,,9,lowercase
returncode,57,,,,,,3,,,54,lowercase
_get_config_value_from_secret_backend,3,1,,,,,,,,2,lower_case_with_underscores
config_key,2,,,,,1,,,,1,lower_case_with_underscores
secrets_client,13,,,,,,,,,13,lower_case_with_underscores
get_custom_secret_backend,3,1,,,,,,,,2,lower_case_with_underscores
get_config,16,7,,,,,,,,9,lower_case_with_underscores
_read_default_config_file,4,1,,,,,,,,3,lower_case_with_underscores
file_name,133,,,,,17,8,,,108,lower_case_with_underscores
templates_dir,6,,,,,,,,,6,lower_case_with_underscores
file_path,272,2,,,,40,31,,,199,lower_case_with_underscores
encoding,70,,,,,8,30,,,32,lowercase
config_file,39,,,,,4,9,,,26,lower_case_with_underscores
read,154,3,,,,,,,,151,lowercase
DEFAULT_CONFIG,6,,,1,,,,,,5,UPPER_CASE_WITH_UNDERSCORES
DEFAULT_CONFIG_FILE_PATH,2,,,,,,,,,2,UPPER_CASE_WITH_UNDERSCORES
TEST_CONFIG,3,,,,,,,,,3,UPPER_CASE_WITH_UNDERSCORES
TEST_CONFIG_FILE_PATH,2,,,,,,,,,2,UPPER_CASE_WITH_UNDERSCORES
default_config_yaml,3,1,,1,,,,,,1,lower_case_with_underscores
safe_load,19,,,,,,,,,19,lower_case_with_underscores
AirflowConfigParser,19,,1,3,,,,,,15,CapitalizedWords
sensitive_config_values,13,,,,,,,,,13,lower_case_with_underscores
deprecated_options,9,,,,,,,,,9,lower_case_with_underscores
deprecated_values,3,,,,,,,,,3,lower_case_with_underscores
compile,58,,,,,,,,,58,lowercase
IGNORECASE,3,,,,,,,,,3,UPPERCASE
optionxform,1,1,,,,,,,,,lowercase
optionstr,2,,,,,1,,,,1,lowercase
default_config,16,1,,,,1,10,,,4,lower_case_with_underscores
airflow_defaults,10,,,,,,,,,10,lower_case_with_underscores
read_string,10,,,,,,,,,10,lower_case_with_underscores
is_validated,2,,,,,,,,,2,lower_case_with_underscores
validate,90,4,,4,,,21,,,61,lowercase
_validate_config_dependencies,2,1,,,,,,,,1,lower_case_with_underscores
section,145,,,,,22,9,,,114,lowercase
replacement,2,,,,,,,,,2,lowercase
name,2613,6,,,,150,1106,,,1351,lowercase
info,1556,9,,,,9,3,,,1535,lowercase
old,17,,,,,2,1,,,14,lowercase
new,80,,,,,1,66,,,13,lowercase
current_value,10,,,,,2,2,,,6,lower_case_with_underscores
fallback,99,,,,,,97,,,2,lowercase
_using_old_value,2,1,,,,,,,,1,lower_case_with_underscores
new_value,16,,,,,2,3,,,11,lower_case_with_underscores
sub,48,,,,,3,,,,45,lowercase
_update_env_var,2,1,,,,,,,,1,lower_case_with_underscores
_create_future_warning,2,1,,,,,,,,1,lower_case_with_underscores
is_executor_without_sqlite_support,2,,,,,,,,,2,lower_case_with_underscores
is_sqlite,10,,,,,,,,,10,lower_case_with_underscores
sqlite3,7,,,4,,,,,,3,lowercase
min_sqlite_version,3,,,,,,,,,3,lower_case_with_underscores
sqlite_version,1,,,,,,,,,1,lower_case_with_underscores
has_option,40,2,,,,,,,,38,lower_case_with_underscores
mp_start_method,5,,,,,,,,,5,lower_case_with_underscores
start_method_options,3,,,,,,,,,3,lower_case_with_underscores
get_all_start_methods,1,,,,,,,,,1,lower_case_with_underscores
search,153,2,,,,1,10,,,140,lowercase
_env_var_name,5,1,,,,,,,,4,lower_case_with_underscores
pop,125,,,,,,,,,125,lowercase
warn,638,1,,,,,,,,637,lowercase
FutureWarning,4,,,,,,,,,4,CapitalizedWords
key,1328,3,,,1,98,339,,,887,lowercase
upper,47,,,,,1,,,,46,lowercase
_get_env_var_option,5,1,,,,,,,,4,lower_case_with_underscores
env_var_cmd,3,,,,,,,,,3,lower_case_with_underscores
env_var_secret_path,3,,,,,,,,,3,lower_case_with_underscores
