name,all,function def,class def,import,exception,param,keyword,alias,object decl,object,case_convention,words
test_simple_string_ipv4_port,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'simple', 'string', 'ipv4', 'port']"
child,6,,,,,,,,,6,lowercase,['child']
actual_pass,6,,,,,,,,,6,lower_case_with_underscores,"['actual', 'pass']"
prefix,7,,,,,,2,,,5,lowercase,['prefix']
sleep,5,,,,,,,,,5,lowercase,['sleep']
test_playbook_ignore_errors,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'playbook', 'ignore', 'errors']"
dist,1,,,,,,,,,1,lowercase,['dist']
aliases,13,,,,,,1,,,12,lowercase,['aliases']
callback_loader,2,,,,,,,,,2,lower_case_with_underscores,"['callback', 'loader']"
all_ssh_keys,1,,,,,,,,,1,lower_case_with_underscores,"['all', 'ssh', 'keys']"
Host,16,,1,6,,,,,,9,CapitalizedWords,['host']
is_set,1,1,,,,,,,,,lower_case_with_underscores,"['is', 'set']"
dest_dir,2,,,,,,,,,2,lower_case_with_underscores,"['dest', 'dir']"
DefaultRunnerCallbacks,5,,1,1,,,,,,3,CapitalizedWords,"['default', 'runner', 'callbacks']"
sha256,2,1,,1,,,,,,,lowercase,['sha256']
spec,9,,,,,,,,,9,lowercase,['spec']
localtime,4,,,,,,,,,4,lowercase,['localtime']
updated,3,,,,,,,,,3,lowercase,['updated']
msg2,6,,,,,,,,,6,lowercase,['msg2']
get_template,6,,,,,,,,,6,lower_case_with_underscores,"['get', 'template']"
my_list,9,,,,,,,,,9,lower_case_with_underscores,"['my', 'list']"
gce_ini_default_path,2,,,,,,,,,2,lower_case_with_underscores,"['gce', 'ini', 'default', 'path']"
encoded_args,3,,,,,,,,,3,lower_case_with_underscores,"['encoded', 'args']"
template_uid,3,,,,,,,,,3,lower_case_with_underscores,"['template', 'uid']"
isdir,17,,,,,,,,,17,lowercase,['isdir']
lchmod,1,,,,,,,,,1,lowercase,['lchmod']
test_async,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'async']"
accport,10,,,,,,,,,10,lowercase,['accport']
cmd,92,,,,,,6,,,86,lowercase,['cmd']
Decrypt,1,,,,,,,,,1,CapitalizedWords,['decrypt']
html_last_updated_fmt,1,,,,,,,,,1,lower_case_with_underscores,"['html', 'last', 'updated', 'fmt']"
_check_for_check_mode,2,1,,,,,,,,1,lower_case_with_underscores,"['check', 'for', 'check', 'mode']"
chrootsh,2,,,,,,,,,2,lowercase,['chrootsh']
shlex,18,,,9,,,,,,9,lowercase,['shlex']
vars_prompt,5,,,,,,,,,5,lower_case_with_underscores,"['vars', 'prompt']"
ksmeta,1,,,,,,,,,1,lowercase,['ksmeta']
selinux_context,4,1,,,,,,,,3,lower_case_with_underscores,"['selinux', 'context']"
force,3,,,,,,1,,,2,lowercase,['force']
test_check_conditional_jinja2_literals,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'check', 'conditional', 'jinja2', 'literals']"
sampleroot,6,,,,,,,,,6,lowercase,['sampleroot']
lgetfilecon_raw,1,,,,,,,,,1,lower_case_with_underscores,"['lgetfilecon', 'raw']"
second,2,,,,,,,,,2,lowercase,['second']
tcgetattr,1,,,,,,,,,1,lowercase,['tcgetattr']
route53_enabled,3,,,,,,,,,3,lower_case_with_underscores,"['route53', 'enabled']"
errors,267,,,56,,,,7,,204,lowercase,['errors']
load_platform_subclass,1,1,,,,,,,,,lower_case_with_underscores,"['load', 'platform', 'subclass']"
item0,10,,,,,,,,,10,lowercase,['item0']
item1,2,,,,,,,,,2,lowercase,['item1']
exclude_patterns,1,,,,,,,,,1,lower_case_with_underscores,"['exclude', 'patterns']"
instance_class,1,,,,,,,,,1,lower_case_with_underscores,"['instance', 'class']"
instance_vars,22,,,,,,,,,22,lower_case_with_underscores,"['instance', 'vars']"
new,1,,,,,,,,,1,lowercase,['new']
net,8,,,,,,,,,8,lowercase,['net']
SphinxBuilder,2,,1,,,,,,,1,CapitalizedWords,"['sphinx', 'builder']"
metadata,3,,,,,,,,,3,lowercase,['metadata']
DOCUMENTATION,3,,,,,,,,,3,UPPERCASE,"['documentatio', 'n']"
today_fmt,1,,,,,,,,,1,lower_case_with_underscores,"['today', 'fmt']"
_system_host_keys,1,,,,,,,,,1,lower_case_with_underscores,"['system', 'host', 'keys']"
GW2,2,,,,,,,,,2,UPPERCASE,['gw2']
atfork,2,,,1,,,,,,1,lowercase,['atfork']
gettempdir,1,,,,,,,,,1,lowercase,['gettempdir']
test_lineinfile_backrefs,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'lineinfile', 'backrefs']"
USE_PD,4,,,,,,,,,4,UPPER_CASE_WITH_UNDERSCORES,"['use', 'pd']"
codecs,5,,,3,,,,,,2,lowercase,['codecs']
S_ISDIR,1,,,,,,,,,1,UPPER_CASE_WITH_UNDERSCORES,"['s', 'isdir']"
path,633,,,8,,,12,,,613,lowercase,['path']
parse_json,12,1,,,,,,,,11,lower_case_with_underscores,"['parse', 'json']"
is_cache_valid,10,5,,,,,,,,5,lower_case_with_underscores,"['is', 'cache', 'valid']"
digits,4,,,2,,,,,,2,lowercase,['digits']
