name,all,function def,class def,import,exception,param,keyword,alias,object decl,object,naming_style,words
basic_auth_header,2,,,,,,,,,2,lower_case_with_underscores,"['basic', 'auth', 'header']"
gce_cls,2,,,,,,,,,2,lower_case_with_underscores,"['gce', 'cls']"
STATUS_RUNNING,1,,,,,,,,,1,UPPER_CASE_WITH_UNDERSCORES,"['status', 'running']"
test_simple_string_ipv4_port,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'simple', 'string', 'ipv4', 'port']"
role_url,6,,,,,,,,,6,lower_case_with_underscores,"['role', 'url']"
FORM_FACTOR,2,,,,,,,,,2,UPPER_CASE_WITH_UNDERSCORES,"['form', 'factor']"
printed_playbook,3,,,,,,,,,3,lower_case_with_underscores,"['printed', 'playbook']"
module_setup,1,,,,,,1,,,,lower_case_with_underscores,"['module', 'setup']"
actual_pass,6,,,,,,,,,6,lower_case_with_underscores,"['actual', 'pass']"
prefix,17,,,,,,2,,,15,lowercase,['prefix']
sleep,5,,,,,,,,,5,lowercase,['sleep']
test_load_task_complex_form,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'load', 'task', 'complex', 'form']"
_ignore_errors,1,,,,,,,,,1,lower_case_with_underscores,"['ignore', 'errors']"
dist,8,,,,,,,,,8,lowercase,['dist']
FieldAttribute,90,,1,10,,,,,,79,CapitalizedWords,"['field', 'attribute']"
notified_by,7,,,,,,,,,7,lower_case_with_underscores,"['notified', 'by']"
utils_checksum,3,,,,,,,1,,2,lower_case_with_underscores,"['utils', 'checksum']"
aliases,36,,,,,,10,,,26,lowercase,['aliases']
callback_loader,3,,,,,,,,,3,lower_case_with_underscores,"['callback', 'loader']"
all_ssh_keys,1,,,,,,,,,1,lower_case_with_underscores,"['all', 'ssh', 'keys']"
setup_rax_module,1,1,,,,,,,,,lower_case_with_underscores,"['setup', 'rax', 'module']"
new_tags,6,,,,,,,,,6,lower_case_with_underscores,"['new', 'tags']"
pprint,2,,,1,,,,,,1,lowercase,['pprint']
umask,11,,,,,,,,,11,lowercase,['umask']
has_x_permissions,2,,,,,,,,,2,lower_case_with_underscores,"['has', 'x', 'permissions']"
collins_host,2,,,,,,,,,2,lower_case_with_underscores,"['collins', 'host']"
Host,19,,1,7,,,,,,11,CapitalizedWords,['host']
AnsibleParserError,50,,1,18,,,,,,31,CapitalizedWords,"['ansible', 'parser', 'error']"
