name,all,function def,class def,import,exception,param,keyword,alias,object decl,object,naming_style,words
setuptools,1,,,1,,,,,,,lowercase,['setuptools']
setup,3,1,,1,,,,,,1,lowercase,['setup']
find_packages,2,,,1,,,,,,1,lower_case_with_underscores,"['find', 'packages']"
authlib,262,,,261,,,,,,1,lowercase,['authlib']
consts,3,,,3,,,,,,,lowercase,['consts']
version,12,,,2,,1,1,,,8,lowercase,['version']
homepage,6,,,2,,,,,,4,lowercase,['homepage']
open,7,,,,,,,,,7,lowercase,['open']
f,26,,,,,3,,,,23,b,['f']
readme,2,,,,,,,,,2,lowercase,['readme']
read,4,,,,,,,,,4,lowercase,['read']
client_requires,2,,,,,,,,,2,lower_case_with_underscores,"['client', 'requires']"
crypto_requires,2,,,,,,,,,2,lower_case_with_underscores,"['crypto', 'requires']"
name,141,,,,,30,5,,,106,lowercase,['name']
author,7,,,1,,,1,,,5,lowercase,['author']
author_email,1,,,,,,1,,,,lower_case_with_underscores,"['author', 'email']"
url,321,,,,,41,1,,,279,lowercase,['url']
packages,1,,,,,,1,,,,lowercase,['packages']
include,1,,,,,,1,,,,lowercase,['include']
description,55,,,,,5,10,,,40,lowercase,['description']
zip_safe,1,,,,,,1,,,,lower_case_with_underscores,"['zip', 'safe']"
include_package_data,1,,,,,,1,,,,lower_case_with_underscores,"['include', 'package', 'data']"
platforms,1,,,,,,1,,,,lowercase,['platforms']
long_description,1,,,,,,1,,,,lower_case_with_underscores,"['long', 'description']"
license,1,,,,,,1,,,,lowercase,['license']
install_requires,1,,,,,,1,,,,lower_case_with_underscores,"['install', 'requires']"
project_urls,1,,,,,,1,,,,lower_case_with_underscores,"['project', 'urls']"
classifiers,1,,,,,,1,,,,lowercase,['classifiers']
default_user_agent,3,,,1,,,,,,2,lower_case_with_underscores,"['default', 'user', 'agent']"
format,112,,,,,,,,,112,lowercase,['format']
warnings,3,,,1,,,,,,2,lowercase,['warnings']
AuthlibDeprecationWarning,3,,1,,,,,,,2,CapitalizedWords,"['authlib', 'deprecation', 'warning']"
DeprecationWarning,1,,,,,,,,,1,CapitalizedWords,"['deprecation', 'warning']"
simplefilter,1,,,,,,,,,1,lowercase,['simplefilter']
deprecate,21,1,,14,,,,,,6,lowercase,['deprecate']
message,10,,,,,1,,,,9,lowercase,['message']
link_uid,3,,,,,1,,,,2,lower_case_with_underscores,"['link', 'uid']"
link_file,3,,,,,1,,,,2,lower_case_with_underscores,"['link', 'file']"
warn,1,,,,,,,,,1,lowercase,['warn']
stacklevel,1,,,,,,1,,,,lowercase,['stacklevel']
yarl,1,,,1,,,,,,,lowercase,['yarl']
URL,2,,,1,,,,,,1,UPPERCASE,"['ur', 'l']"
aiohttp,1,,,1,,,,,,,lowercase,['aiohttp']
ClientRequest,2,,,1,,,,,,1,CapitalizedWords,"['client', 'request']"
common,82,,,82,,,,,,,lowercase,['common']
urls,36,,,36,,,,,,,lowercase,['urls']
url_decode,48,1,,12,,,,,,35,lower_case_with_underscores,"['url', 'decode']"
oauth1,31,,,31,,,,,,,lowercase,['oauth1']
client,572,1,,24,,33,2,,,512,lowercase,['client']
OAuth1Client,6,,1,2,,,,,,3,CapitalizedWords,"['o', 'auth1', 'client']"
oauth2,70,,,70,,,,,,,lowercase,['oauth2']
OAuth2Client,6,,1,2,,,,,,3,CapitalizedWords,"['o', 'auth2', 'client']"
errors,102,,,64,,2,,,,36,lowercase,['errors']
OAuthError,22,,,7,,,,,,15,CapitalizedWords,"['o', 'auth', 'error']"
OAuthRequest,2,,1,,,,,,,1,CapitalizedWords,"['o', 'auth', 'request']"
args,32,,,,,12,,,,20,lowercase,['args']
kwargs,270,,,,,103,,,,167,lowercase,['kwargs']
auth,130,,,5,,12,15,,,98,lowercase,['auth']
pop,27,,,,,,,,,27,lowercase,['pop']
data,643,,,,,6,170,,,467,lowercase,['data']
get,299,3,,,,,,,,296,lowercase,['get']
super,45,,,,,,,,,45,lowercase,['super']
update_oauth_auth,2,1,,,,,,,,1,lower_case_with_underscores,"['update', 'oauth', 'auth']"
headers,472,1,,,,51,104,,,316,lowercase,['headers']
body,194,,,,,33,6,,,155,lowercase,['body']
