name,all,function def,class def,import,exception,param,keyword,alias,object decl,object,case_convention,words
setuptools,22,,,22,,,,,,,lowercase,['setuptools']
setup,94,48,,25,,,,,,21,lowercase,['setup']
find_packages,14,,,7,,,,,,7,lower_case_with_underscores,"['find', 'packages']"
Command,65,,,16,,,4,,,45,CapitalizedWords,['command']
command,1031,5,,20,,134,232,,,640,lowercase,['command']
test,219,19,,19,,5,,,,176,lowercase,['test']
TestCommand,4,,,,,,,1,,3,CapitalizedWords,"['test', 'command']"
imp,39,,,9,,,,,,30,lowercase,['imp']
io,247,,,110,,1,,,,136,lowercase,['io']
logging,1384,2,,534,,,,,,848,lowercase,['logging']
os,7644,,,1272,,,,,,6372,lowercase,['os']
sys,1744,,,446,,,,,,1298,lowercase,['sys']
subprocess,832,,,222,,,,,,610,lowercase,['subprocess']
logger,432,2,,,,27,39,,,364,lowercase,['logger']
getLogger,435,,,,,,,,,435,mixedCase,"['get', 'logger']"
version,1086,10,,241,,58,202,,,575,lowercase,['version']
load_source,6,,,,,,,,,6,lower_case_with_underscores,"['load', 'source']"
join,2845,,,3,,,,,,2842,lowercase,['join']
path,4814,,,74,,238,138,,,4364,lowercase,['path']
PY3,46,,,2,,,,,,44,UPPERCASE,['py3']
version_info,104,,,2,,,,,,102,lower_case_with_underscores,"['version', 'info']"
open,1070,,,,,2,5,,,1063,lowercase,['open']
encoding,333,,,68,,38,105,,,122,lowercase,['encoding']
f,1763,60,,,3,87,6,,,1607,b,['f']
long_description,15,,,,,,4,,,11,lower_case_with_underscores,"['long', 'description']"
read,620,13,,,,,,,,607,lowercase,['read']
Tox,2,,1,,,,,,,1,CapitalizedWords,['tox']
user_options,14,,,,,,,,,14,lower_case_with_underscores,"['user', 'options']"
initialize_options,15,14,,,,,,,,1,lower_case_with_underscores,"['initialize', 'options']"
tox_args,2,,,,,,,,,2,lower_case_with_underscores,"['tox', 'args']"
finalize_options,15,14,,,,,,,,1,lower_case_with_underscores,"['finalize', 'options']"
test_args,10,,,,,,,,,10,lower_case_with_underscores,"['test', 'args']"
test_suite,13,,,,,,4,,,9,lower_case_with_underscores,"['test', 'suite']"
run_tests,1,1,,,,,,,,,lower_case_with_underscores,"['run', 'tests']"
tox,2,,,1,,,,,,1,lowercase,['tox']
errno,132,,,33,,,,,,99,lowercase,['errno']
cmdline,33,,,,,,,,,33,lowercase,['cmdline']
args,9309,,,,,2131,400,,,6778,lowercase,['args']
split,951,,,,,,,,,951,lowercase,['split']
exit,429,,,,,,,,,429,lowercase,['exit']
CleanCommand,10,,5,,,,,,,5,CapitalizedWords,"['clean', 'command']"
run,1876,150,,5,,23,2,,,1696,lowercase,['run']
system,131,,,,,,1,,,130,lowercase,['system']
CompileAssets,10,,5,,,,,,,5,CapitalizedWords,"['compile', 'assets']"
call,776,9,,27,,,,,,740,lowercase,['call']
git_version,62,5,,,,,7,,,50,lower_case_with_underscores,"['git', 'version']"
repo,47,,,,,1,2,,,44,lowercase,['repo']
git,17,,,5,,,,,,12,lowercase,['git']
Repo,5,,,,,,,,,5,CapitalizedWords,['repo']
ImportError,656,,5,15,,,,,,636,CapitalizedWords,"['import', 'error']"
warning,804,3,,,,1,,,,800,lowercase,['warning']
e,3055,,,,1147,10,,4,,1894,b,['e']
Exception,1659,,,,,,,,,1659,CapitalizedWords,['exception']
format,5142,8,,,,4,132,,,4998,lowercase,['format']
sha,19,,,,,,4,,,15,lowercase,['sha']
hexsha,5,,,,,,,,,5,lowercase,['hexsha']
commit,1690,13,,,,34,152,,,1491,lowercase,['commit']
head,59,1,,,,,,,,58,lowercase,['head']
is_dirty,5,,,,,,,,,5,lower_case_with_underscores,"['is', 'dirty']"
write_version,10,5,,,,,,,,5,lower_case_with_underscores,"['write', 'version']"
filename,1437,,,,,182,441,,,814,lowercase,['filename']
text,657,,,30,,45,76,,,506,lowercase,['text']
a,110,,,,,10,7,,,93,b,['a']
write,614,15,,2,,,1,,,596,lowercase,['write']
async_packages,10,,,,,,,,,10,lower_case_with_underscores,"['async', 'packages']"
atlas,20,,,4,,,,,,16,lowercase,['atlas']
azure_blob_storage,7,,,,,,,,,7,lower_case_with_underscores,"['azure', 'blob', 'storage']"
azure_data_lake,25,,,16,,,,,,9,lower_case_with_underscores,"['azure', 'data', 'lake']"
azure_cosmos,26,,,17,,,,,,9,lower_case_with_underscores,"['azure', 'cosmos']"
azure_container_instances,12,,,5,,,,,,7,lower_case_with_underscores,"['azure', 'container', 'instances']"
cassandra,76,,,66,,,,,,10,lowercase,['cassandra']
celery,60,,,47,,,,,,13,lowercase,['celery']
cgroups,49,,,,,,,,,49,lowercase,['cgroups']
cloudant,35,,,14,,,,,,21,lowercase,['cloudant']
crypto,30,,,12,,,,,,18,lowercase,['crypto']
dask,10,,,,,,,,,10,lowercase,['dask']
databricks,50,,,42,,,,,,8,lowercase,['databricks']
datadog,41,,,31,,,,,,10,lowercase,['datadog']
doc,106,1,,,,13,,,,92,lowercase,['doc']
docker,105,1,,86,,,2,,,16,lowercase,['docker']
druid,60,,,34,,,,,,26,lowercase,['druid']
elasticsearch,52,2,,29,,,,,,21,lowercase,['elasticsearch']
emr,63,,,16,,,,,,47,lowercase,['emr']
gcp_api,3,,,,,,,,,3,lower_case_with_underscores,"['gcp', 'api']"
flask_oauth,9,,,,,,,,,9,lower_case_with_underscores,"['flask', 'oauth']"
hdfs,59,,,45,,,,,,14,lowercase,['hdfs']
hive,279,,,164,,,,,,115,lowercase,['hive']
jdbc,30,,,20,,,,,,10,lowercase,['jdbc']
jenkins,98,,,43,,,,,,55,lowercase,['jenkins']
jira,55,,,47,,,,,,8,lowercase,['jira']
kerberos,133,5,,24,,,,,,104,lowercase,['kerberos']
kubernetes,460,,,422,,,,,,38,lowercase,['kubernetes']
ldap,88,,,2,,6,,,,80,lowercase,['ldap']
mssql,328,,,52,,,,,,276,lowercase,['mssql']
mysql,896,,,170,,3,,,,723,lowercase,['mysql']
oracle,53,,,39,,,,,,14,lowercase,['oracle']
password,1683,9,,,,94,553,,,1027,lowercase,['password']
pinot,18,,,6,,,,,,12,lowercase,['pinot']
postgres,80,,,56,,,,,,24,lowercase,['postgres']
qds,4,,,,,,,,,4,lowercase,['qds']
rabbitmq,10,,,,,,,,,10,lowercase,['rabbitmq']
