name,all,function_def,class_def,import_module_or_alias,exception,param,keyword,alias,object_decl,object,naming_style
setuptools,1,,,1,,,,,,,lowercase
setup,3,1,,1,,,,,,1,lowercase
name,149,,,,,32,4,,,113,lowercase
install_requires,1,,,,,,1,,,,lower_case_with_underscores
version,9,,,1,,1,,,,7,lowercase
author,6,,,1,,,,,,5,lowercase
homepage,4,,,1,,,,,,3,lowercase
default_user_agent,4,,,1,,,,,,3,lower_case_with_underscores
format,126,,,,,,2,,,124,lowercase
default_json_headers,17,,,8,,,,,,9,lower_case_with_underscores
warnings,3,,,1,,,,,,2,lowercase
AuthlibDeprecationWarning,3,,1,,,,,,,2,CapitalizedWords
DeprecationWarning,1,,,,,,,,,1,CapitalizedWords
simplefilter,1,,,,,,,,,1,lowercase
deprecate,8,1,,4,,,,,,3,lowercase
message,10,,,,,1,,,,9,lowercase
link_uid,3,,,,,1,,,,2,lower_case_with_underscores
link_file,3,,,,,1,,,,2,lower_case_with_underscores
warn,1,,,,,,,,,1,lowercase
stacklevel,1,,,,,,1,,,,lowercase
consts,10,,,10,,,,,,,lowercase
json,349,,,35,,,37,,,277,lowercase
base64,18,,,7,,1,,,,10,lowercase
struct,7,,,3,,,,,,4,lowercase
to_bytes,93,1,,21,,,,,,71,lower_case_with_underscores
x,25,,,,,4,,,,21,b
charset,6,,,,,2,1,,,3,lowercase
errors,133,,,63,,2,,,,68,lowercase
isinstance,121,,,,,,,,,121,lowercase
bytes,17,,,,,,,,,17,lowercase
str,118,,,,,,,,,118,lowercase
encode,39,1,,,,,,,,38,lowercase
int,58,,,,,,,,,58,lowercase
float,3,,,,,,,,,3,lowercase
to_unicode,75,1,,21,,,,,,53,lower_case_with_underscores
decode,66,1,,,,6,,,,59,lowercase
to_native,18,1,,7,,,,,,10,lower_case_with_underscores
encoding,56,,,42,,2,3,,,9,lowercase
json_loads,17,1,,7,,,,,,9,lower_case_with_underscores
s,147,,,,,22,,,,125,b
loads,226,1,,,,,,,,225,lowercase
json_dumps,15,1,,6,,,,,,8,lower_case_with_underscores
data,1077,,,,,14,222,,,841,lowercase
ensure_ascii,3,,,,,1,1,,,1,lower_case_with_underscores
dumps,16,1,,,,,,,,15,lowercase
separators,1,,,,,,1,,,,lowercase
urlsafe_b64decode,22,1,,5,,,,,,16,lower_case_with_underscores
len,41,,,,,,,,,41,lowercase
urlsafe_b64encode,43,1,,10,,,,,,32,lower_case_with_underscores
rstrip,3,,,,,,,,,3,lowercase
base64_to_int,22,1,,3,,,,,,18,lower_case_with_underscores
buf,2,,,,,,,,,2,lowercase
unpack,1,,,,,,,,,1,lowercase
join,37,,,,,,,,,37,lowercase
byte,2,,,,,,,,,2,lowercase
int_to_base64,18,1,,2,,,,,,15,lower_case_with_underscores
num,6,,,,,2,,,,4,lowercase
ValueError,195,,,,,,,,,195,CapitalizedWords
bit_length,1,,,,,,,,,1,lower_case_with_underscores
signed,1,,,,,,1,,,,lowercase
json_b64encode,13,1,,4,,,,,,8,lower_case_with_underscores
text,43,,,,,2,,,,41,lowercase
dict,143,,,,,,,,,143,lowercase
authlib,334,,,333,,,,,,1,lowercase
AuthlibBaseError,7,,1,2,,,,,,4,CapitalizedWords
Exception,6,,,,,,,,,6,CapitalizedWords
error,207,,,,29,9,6,,,163,lowercase
description,116,,,,,6,25,,,85,lowercase
uri,145,,,,,36,1,,,108,lowercase
super,64,,,,,,,,,64,lowercase
AuthlibHTTPError,6,,1,2,,,,,,3,CapitalizedWords
status_code,198,,,,,15,8,,,175,lower_case_with_underscores
get_error_description,5,3,,,,,,,,2,lower_case_with_underscores
get_body,16,4,,,,,,,,12,lower_case_with_underscores
append,47,,,,,,,,,47,lowercase
get_headers,14,7,,,,,,,,7,lower_case_with_underscores
body,304,,,,,40,10,,,254,lowercase
headers,734,1,,,,77,157,,,499,lowercase
os,34,,,12,,,,,,22,lowercase
string,3,,,1,,,,,,2,lowercase
random,5,,,2,,,,,,3,lowercase
UNICODE_ASCII_CHARACTER_SET,2,,,,,,,,,2,UPPER_CASE_WITH_UNDERSCORES
ascii_letters,1,,,,,,,,,1,lower_case_with_underscores
digits,1,,,,,,,,,1,lowercase
generate_token,64,3,,20,,,,,,41,lower_case_with_underscores
length,18,,,,,3,2,,,13,lowercase
chars,2,,,,,1,,,,1,lowercase
rand,2,,,,,,,,,2,lowercase
SystemRandom,1,,,,,,,,,1,CapitalizedWords
choice,3,,,,,,,,,3,lowercase
_,8,,,,,1,,,,7,ugly
range,8,,,,,,,,,8,lowercase
is_secure_transport,13,1,,3,,,,,,9,lower_case_with_underscores
getenv,1,,,,,,,,,1,lowercase
lower,8,,,,,,,,,8,lowercase
startswith,16,,,,,,,,,16,lowercase
re,7,,,3,,,,,,4,lowercase
urllib,5,,,5,,,,,,,lowercase
parse,4,,,4,,,,,,,lowercase
quote,5,1,,2,,,,,,2,lowercase
_quote,2,,,,,,,1,,1,lowercase
unquote,4,1,,2,,,,,,1,lowercase
_unquote,2,,,,,,,1,,1,lowercase
urlencode,1,,,1,,,,,,,lowercase
_urlencode,2,,,,,,,1,,1,lowercase
urlparse,123,,,21,,,,1,,101,lowercase
always_safe,2,,,,,,,,,2,lower_case_with_underscores
urlencoded,3,,,,,,,,,3,lowercase
set,61,1,,,,,,,,60,lowercase
INVALID_HEX_PATTERN,2,,,,,,,,,2,UPPER_CASE_WITH_UNDERSCORES
compile,3,,,,,,,,,3,lowercase
url_encode,23,1,,9,,,,,,13,lower_case_with_underscores
params,314,,,,,25,2,,,287,lowercase
encoded,3,,,,,,,,,3,lowercase
k,214,,,,,,,,,214,b
v,74,,,,,,,,,74,b
url_decode,62,1,,16,,,,,,45,lower_case_with_underscores
query,95,,,,,2,,,,93,lowercase
search,2,,,,,,,,,2,lowercase
parse_qsl,4,,,,,,,,,4,lower_case_with_underscores
keep_blank_values,3,,,,,,3,,,,lower_case_with_underscores
decoded,3,,,,,,,,,3,lowercase
add_params_to_qs,14,1,,5,,,,,,8,lower_case_with_underscores
items,17,,,,,,,,,17,lowercase
qs,3,,,,,,,,,3,lowercase
extend,7,,,,,,,,,7,lowercase
add_params_to_uri,39,1,,15,,,,,,23,lower_case_with_underscores
fragment,17,,,,,1,3,,,13,lowercase
sch,4,,,,,,,,,4,lowercase
net,4,,,,,,,,,4,lowercase
path,33,,,,,,4,,,29,lowercase
par,4,,,,,,,,,4,lowercase
fra,6,,,,,,,,,6,lowercase
urlunparse,3,,,,,,,,,3,lowercase
safe,3,,,,,1,1,,,1,lowercase
quote_url,5,1,,1,,,,,,3,lower_case_with_underscores
extract_params,8,1,,3,,,,,,4,lower_case_with_underscores
raw,89,,,,,10,2,,,77,lowercase
list,28,,,,,,,,,28,lowercase
tuple,14,,,,,,,,,14,lowercase
TypeError,10,,,,,,,,,10,CapitalizedWords
