name,all,function def,class def,import,exception,param,keyword,alias,object decl,object,naming_style,words
os,1401,,,158,,,,,,1243,lowercase,['os']
sys,407,,,96,,,,,,311,lowercase,['sys']
distutils,1,,,1,,,,,,,lowercase,['distutils']
sysconfig,1,,,1,,,,,,,lowercase,['sysconfig']
get_python_lib,3,,,1,,,,,,2,lower_case_with_underscores,"['get', 'python', 'lib']"
setuptools,1,,,1,,,,,,,lowercase,['setuptools']
find_packages,2,,,1,,,,,,1,lower_case_with_underscores,"['find', 'packages']"
setup,976,5,,86,,,,,,885,lowercase,['setup']
overlay_warning,3,,,,,,,,,3,lower_case_with_underscores,"['overlay', 'warning']"
argv,41,,,,,5,4,,,32,lowercase,['argv']
lib_paths,4,,,,,,,,,4,lower_case_with_underscores,"['lib', 'paths']"
startswith,190,,,,,,,,,190,lowercase,['startswith']
append,1016,2,,,,,,,,1014,lowercase,['append']
prefix,277,1,,,,23,62,,,191,lowercase,['prefix']
lib_path,22,,,,,,,,,22,lower_case_with_underscores,"['lib', 'path']"
existing_path,3,,,,,,,,,3,lower_case_with_underscores,"['existing', 'path']"
abspath,54,,,2,,,,,,52,lowercase,['abspath']
path,1892,6,,10,,97,19,,,1760,lowercase,['path']
join,1019,2,,3,,1,4,,,1009,lowercase,['join']
exists,274,11,,,,,,,,263,lowercase,['exists']
EXCLUDE_FROM_PACKAGES,2,,,,,,,,,2,UPPER_CASE_WITH_UNDERSCORES,"['exclude', 'from', 'packages']"
version,409,,,16,,60,191,1,,141,lowercase,['version']
get_version,37,3,,12,,,,,,22,lower_case_with_underscores,"['get', 'version']"
name,6287,11,,,,334,2421,,,3521,lowercase,['name']
url,1296,8,,92,,25,118,,,1053,lowercase,['url']
author,265,,,,,,65,,,200,lowercase,['author']
author_email,11,,,,,2,3,,,6,lower_case_with_underscores,"['author', 'email']"
description,162,2,,,,9,30,,,121,lowercase,['description']
license,2,,,,,,1,,,1,lowercase,['license']
packages,22,,,,,5,2,,,15,lowercase,['packages']
exclude,375,1,,,,12,26,,,336,lowercase,['exclude']
include_package_data,1,,,,,,1,,,,lower_case_with_underscores,"['include', 'package', 'data']"
scripts,7,1,,,,,1,,,5,lowercase,['scripts']
entry_points,1,,,,,,1,,,,lower_case_with_underscores,"['entry', 'points']"
extras_require,1,,,,,,1,,,,lower_case_with_underscores,"['extras', 'require']"
zip_safe,1,,,,,,1,,,,lower_case_with_underscores,"['zip', 'safe']"
classifiers,1,,,,,,1,,,,lowercase,['classifiers']
write,338,12,,,,2,2,,,322,lowercase,['write']
stderr,103,,,,,1,29,,,73,lowercase,['stderr']
warnings,379,,,105,,,,,,274,lowercase,['warnings']
django,5951,1,,5914,,,,,,36,lowercase,['django']
core,715,,,703,,,,,,12,lowercase,['core']
urlresolvers,91,,,69,,,,,,22,lowercase,['urlresolvers']
db,1465,3,,1029,,28,1,,,404,lowercase,['db']
models,8474,,,1112,,12,1,,,7349,lowercase,['models']
base,498,,,287,,9,3,,,199,lowercase,['base']
ModelBase,21,,1,4,,,,,,16,CapitalizedWords,"['model', 'base']"
manager,115,,,10,,3,31,,,71,lowercase,['manager']
Manager,100,,6,5,,,,,,89,CapitalizedWords,['manager']
query,927,,,15,,51,3,,,858,lowercase,['query']
QuerySet,30,,1,9,,,,,,20,CapitalizedWords,"['query', 'set']"
http,241,,,162,,,,,,79,lowercase,['http']
Http404,77,,1,23,,,,,,53,CapitalizedWords,['http404']
HttpResponse,320,,1,56,,,,,,263,CapitalizedWords,"['http', 'response']"
HttpResponsePermanentRedirect,19,,1,8,,,,,,10,CapitalizedWords,"['http', 'response', 'permanent', 'redirect']"
HttpResponseRedirect,68,,1,17,,,,,,50,CapitalizedWords,"['http', 'response', 'redirect']"
