name,all,function_def,class_def,import_module_or_alias,exception,param,keyword,alias,object_decl,object,naming_style
os,1327,,,154,,,,,,1173,lowercase
sys,342,,,76,,,,,,266,lowercase
distutils,2,,,2,,,,,,,lowercase
sysconfig,1,,,1,,,,,,,lowercase
get_python_lib,3,,,1,,,,,,2,lower_case_with_underscores
setuptools,1,,,1,,,,,,,lowercase
find_packages,2,,,1,,,,,,1,lower_case_with_underscores
setup,998,6,,91,,,,,,901,lowercase
CURRENT_PYTHON,3,,,,,,,,,3,UPPER_CASE_WITH_UNDERSCORES
version_info,21,,,,,,,,,21,lower_case_with_underscores
REQUIRED_PYTHON,4,,,,,,,,,4,UPPER_CASE_WITH_UNDERSCORES
write,363,13,,,,2,2,,,346,lowercase
stderr,105,,,,,1,35,,,69,lowercase
format,439,4,,4,,20,45,,,366,lowercase
exit,44,,,,,,,,,44,lowercase
overlay_warning,3,,,,,,,,,3,lower_case_with_underscores
argv,32,,,,,4,2,,,26,lowercase
lib_paths,4,,,,,,,,,4,lower_case_with_underscores
startswith,194,,,,,,,,,194,lowercase
append,1055,2,,,,,,,,1053,lowercase
prefix,244,1,,,,18,71,,,154,lowercase
lib_path,17,,,,,,,,,17,lower_case_with_underscores
existing_path,3,,,,,,,,,3,lower_case_with_underscores
abspath,52,,,2,,,,,,50,lowercase
path,2241,8,,29,,98,23,,,2083,lowercase
join,1010,2,,3,,1,4,,,1000,lowercase
exists,341,12,,,,,,,,329,lowercase
EXCLUDE_FROM_PACKAGES,2,,,,,,,,,2,UPPER_CASE_WITH_UNDERSCORES
version,401,,,19,,57,191,1,,133,lowercase
get_version,32,2,,11,,,,,,19,lower_case_with_underscores
name,7004,11,,,,356,2771,,1,3865,lowercase
python_requires,1,,,,,,1,,,,lower_case_with_underscores
url,1373,12,,103,,31,124,,,1103,lowercase
author,335,,,,,1,96,,,238,lowercase
author_email,11,,,,,2,3,,,6,lower_case_with_underscores
description,177,2,,,,9,32,,,134,lowercase
license,2,,,,,,1,,,1,lowercase
packages,26,,,,,2,13,,,11,lowercase
exclude,388,1,,,,13,38,,,336,lowercase
include_package_data,1,,,,,,1,,,,lower_case_with_underscores
scripts,1,,,,,,1,,,,lowercase
entry_points,1,,,,,,1,,,,lower_case_with_underscores
install_requires,1,,,,,,1,,,,lower_case_with_underscores
extras_require,1,,,,,,1,,,,lower_case_with_underscores
zip_safe,1,,,,,,1,,,,lower_case_with_underscores
classifiers,1,,,,,,1,,,,lowercase
