name,all,function_def,class_def,import_module_or_alias,exception,param,keyword,alias,object_decl,object,naming_style
fastapi,344,,,344,,,,,,,lowercase
FastAPI,473,,1,231,,,,,,241,CapitalizedWords
pydantic,139,,,137,,,,,,2,lowercase
BaseModel,261,,,92,,,,,,169,CapitalizedWords
starlette,276,,,276,,,,,,,lowercase
responses,140,,,43,,23,39,,,35,lowercase
JSONResponse,53,,,22,,,,,,31,CapitalizedWords
Item,151,,58,,,,,,,93,CapitalizedWords
id,36,,,,,13,,,,23,lowercase
str,994,,,,,,,,,994,lowercase
value,58,,,,,10,2,,,46,lowercase
Message,4,,2,,,,,,,2,CapitalizedWords
message,35,,,,,2,1,,,32,lowercase
app,920,2,,89,,1,,,,828,lowercase
read_item,19,19,,,,,,,,,lower_case_with_underscores
item_id,195,,,,,91,,,,104,lower_case_with_underscores
status_code,601,,,,,27,90,,,484,lower_case_with_underscores
content,65,,,,,1,15,,,49,lowercase
get,772,6,,,,,,,,766,lowercase
response_model,142,,,4,,21,91,,,26,lower_case_with_underscores
FileResponse,4,,,2,,,,,,2,CapitalizedWords
img,4,,,,,2,,,,2,lowercase
bool,213,,,,,,,,,213,lowercase
media_type,39,,,,,6,13,,,20,lower_case_with_underscores
Body,47,1,1,15,,,,,,30,CapitalizedWords
status,24,,,18,,,,,,6,lowercase
HTTP_201_CREATED,8,,,4,,,,,,4,UPPER_CASE_WITH_UNDERSCORES
items,81,,,1,,2,,,,78,lowercase
upsert_item,1,1,,,,,,,,,lower_case_with_underscores
name,269,,,,,47,66,,,156,lowercase
size,5,,,,,2,,,,3,lowercase
int,213,,,,,,,,,213,lowercase
item,139,,,,,39,3,,,97,lowercase
put,42,2,,,,,,,,40,lowercase
title,111,,,,,19,39,,,53,lowercase
description,186,,,,,38,43,,,105,lowercase
version,11,,,,,2,3,,,6,lowercase
read_items,71,71,,,,,,,,,lower_case_with_underscores
openapi_url,30,,,,,3,11,,,16,lower_case_with_underscores
docs_url,8,,,,,1,2,,,5,lower_case_with_underscores
redoc_url,8,,,,,1,2,,,5,lower_case_with_underscores
read_main,5,5,,,,,,,,,lower_case_with_underscores
Header,28,1,2,10,,,,,,15,CapitalizedWords
HTTPException,79,,1,29,,,,,,49,CapitalizedWords
fake_secret_token,3,,,,,,,,,3,lower_case_with_underscores
fake_db,11,,,,,2,,,,9,lower_case_with_underscores
x_token,10,,,,,5,,,,5,lower_case_with_underscores
detail,56,,,,,1,49,,,6,lowercase
create_item,16,16,,,,,,,,,lower_case_with_underscores
post,128,2,,,,,,,,126,lowercase
testclient,154,,,154,,,,,,,lowercase
TestClient,325,,,154,,,,,,171,CapitalizedWords
main,11,2,,8,,,,,,1,lowercase
client,750,4,,4,,26,,,,716,lowercase
test_read_main,9,3,,3,,,,,,3,lower_case_with_underscores
response,1550,,,,,6,2,,,1542,lowercase
json,491,,,3,,,51,,,437,lowercase
main_b,1,,,1,,,,,,,lower_case_with_underscores
test_read_item,2,2,,,,,,,,,lower_case_with_underscores
headers,196,,,,,3,84,,,109,lowercase
test_read_item_bad_token,1,1,,,,,,,,,lower_case_with_underscores
test_read_inexistent_item,1,1,,,,,,,,,lower_case_with_underscores
test_create_item,4,4,,,,,,,,,lower_case_with_underscores
test_create_item_bad_token,1,1,,,,,,,,,lower_case_with_underscores
test_create_existing_token,1,1,,,,,,,,,lower_case_with_underscores
websockets,11,,,11,,,,,,,lowercase
WebSocket,20,,,7,,,,,,13,CapitalizedWords
websocket,79,3,,,,9,,,,67,lowercase
accept,7,,,,,,,,,7,lowercase
send_json,1,,,,,,,,,1,lower_case_with_underscores
close,19,,,,,,,,,19,lowercase
websocket_route,4,,,,,,,,,4,lower_case_with_underscores
test_websocket,4,2,,1,,,,,,1,lower_case_with_underscores
websocket_connect,11,,,,,,,,,11,lower_case_with_underscores
data,174,,,,,7,17,,,150,lowercase
receive_json,1,,,,,,,,,1,lower_case_with_underscores
startup_event,2,2,,,,,,,,,lower_case_with_underscores
on_event,5,,,,,,,,,5,lower_case_with_underscores
test_read_items,7,5,,1,,,,,,1,lower_case_with_underscores
typing,97,,,92,,,,,,5,lowercase
List,187,,,41,,,,,,146,CapitalizedWords
databases,2,,,1,,,,,,1,lowercase
sqlalchemy,18,,,9,,,,,,9,lowercase
DATABASE_URL,3,,,,,,,,,3,UPPER_CASE_WITH_UNDERSCORES
database,18,,,5,,,,,,13,lowercase
Database,1,,,,,,,,,1,CapitalizedWords
metadata,5,,,,,,,,,5,lowercase
MetaData,1,,,,,,,,,1,CapitalizedWords
notes,3,,,,,,,,,3,lowercase
Table,1,,,,,,,,,1,CapitalizedWords
Column,12,,,1,,,,,,11,CapitalizedWords
Integer,5,,,1,,,,,,4,CapitalizedWords
primary_key,3,,,,,,3,,,,lower_case_with_underscores
String,8,,,1,,,,,,7,CapitalizedWords
Boolean,3,,,1,,,,,,2,CapitalizedWords
engine,8,,,2,,,,,,6,lowercase
create_engine,3,,,1,,,,,,2,lower_case_with_underscores
connect_args,2,,,,,,2,,,,lower_case_with_underscores
create_all,3,,,,,,,,,3,lower_case_with_underscores
NoteIn,2,,1,,,,,,,1,CapitalizedWords
text,31,,,,,1,2,,,28,lowercase
completed,4,,,,,,1,,,3,lowercase
Note,3,,1,,,,,,,2,CapitalizedWords
startup,1,1,,,,,,,,,lowercase
connect,3,,,,,,,,,3,lowercase
shutdown,1,1,,,,,,,,,lowercase
disconnect,1,,,,,,,,,1,lowercase
read_notes,1,1,,,,,,,,,lower_case_with_underscores
query,34,,,,,8,1,,,25,lowercase
select,3,,,,,,,,,3,lowercase
fetch_all,1,,,,,,,,,1,lower_case_with_underscores
create_note,1,1,,,,,,,,,lower_case_with_underscores
note,8,,,,,1,,,,7,lowercase
values,32,,,,,,,,,32,lowercase
insert,2,,,,,,,,,2,lowercase
last_record_id,2,,,,,,,,,2,lower_case_with_underscores
execute,1,,,,,,,,,1,lowercase
dict,47,,,,,,,,,47,lowercase
BackgroundTasks,14,,,5,,,,,,9,CapitalizedWords
write_notification,2,1,,,,,,,,1,lower_case_with_underscores
email,40,,,,,5,6,,,29,lowercase
open,24,,,,,,,,,24,lowercase
mode,3,,,,,,3,,,,lowercase
email_file,2,,,,,,,,,2,lower_case_with_underscores
write,11,,,,,,,,,11,lowercase
send_notification,2,2,,,,,,,,,lower_case_with_underscores
background_tasks,19,,,2,,4,1,,,12,lower_case_with_underscores
add_task,5,,,,,,,,,5,lower_case_with_underscores
Depends,187,1,1,42,,,,,,143,CapitalizedWords
write_log,3,1,,,,,,,,2,lower_case_with_underscores
log,12,,,,,,,,,12,lowercase
get_query,3,2,,,,,,,,1,lower_case_with_underscores
q,124,,,,,46,,,,78,b
routers,1,,,1,,,,,,,lowercase
users,10,,,1,,,,,,9,lowercase
get_token_header,2,1,,,,,,,,1,lower_case_with_underscores
include_router,37,2,,,,,,,,35,lower_case_with_underscores
router,70,,,,,2,3,,,65,lowercase
prefix,37,,,,,2,26,,,9,lowercase
tags,102,,,,,23,33,,,46,lowercase
dependencies,99,,,8,,24,33,,,34,lowercase
APIRouter,60,,1,20,,,,,,39,CapitalizedWords
update_item,18,18,,,,,,,,,lower_case_with_underscores
read_users,8,8,,,,,,,,,lower_case_with_underscores
read_user_me,3,3,,,,,,,,,lower_case_with_underscores
read_user,8,8,,,,,,,,,lower_case_with_underscores
username,113,,,,,14,23,,,76,lowercase
price,40,,,,,,,,,40,lowercase
float,153,,,,,,,,,153,lowercase
tax,32,,,,,,,,,32,lowercase
item_dict,3,,,,,,,,,3,lower_case_with_underscores
price_with_tax,2,,,,,,,,,2,lower_case_with_underscores
update,48,,,,,,1,,,47,lowercase
result,11,,,,,1,,,,10,lowercase
Field,35,,,9,,,,2,,24,CapitalizedWords
max_length,52,,,,,15,22,,,15,lower_case_with_underscores
gt,55,,,,,15,25,,,15,lowercase
embed,14,,,,,2,5,,,7,lowercase
results,77,,,,,,,,,77,lowercase
example,4,,,,,,1,,,3,lowercase
Path,61,1,1,18,,,,,,41,CapitalizedWords
ge,52,,,,,15,22,,,15,lowercase
le,52,,,,,15,22,,,15,lowercase
User,88,,23,,,,,,,65,CapitalizedWords
full_name,20,,,,,,1,,,19,lower_case_with_underscores
