name,all,function_def,class_def,import_module_or_alias,exception,param,keyword,alias,object_decl,object,naming_style
io,18,,,8,,,,,,10,lowercase
re,8,,,3,,,,,,5,lowercase
setuptools,6,,,6,,,,,,,lowercase
find_packages,6,,,3,,,,,,3,lower_case_with_underscores
setup,7,1,,3,,,,,,3,lowercase
open,39,1,,,,,,,,38,lowercase
encoding,26,,,,,4,5,,,17,lowercase
f,207,,,,,53,,,,154,b
readme,6,,,,,,,,,6,lowercase
read,21,1,,,,,,,,20,lowercase
version,13,,,1,,1,3,,,8,lowercase
group,9,1,,,,,,,,8,lowercase
search,3,,,,,,,,,3,lowercase
name,169,1,,,,36,19,,,113,lowercase
url,48,,,,,1,3,,,44,lowercase
project_urls,1,,,,,,1,,,,lower_case_with_underscores
license,3,,,,,,3,,,,lowercase
author,3,,,,,,1,,,2,lowercase
author_email,1,,,,,,1,,,,lower_case_with_underscores
maintainer,3,,,,,,3,,,,lowercase
maintainer_email,3,,,,,,3,,,,lower_case_with_underscores
description,4,,,,,,3,,,1,lowercase
long_description,3,,,,,,3,,,,lower_case_with_underscores
classifiers,1,,,,,,1,,,,lowercase
packages,3,,,,,,3,,,,lowercase
package_dir,1,,,,,,1,,,,lower_case_with_underscores
include_package_data,3,,,,,,3,,,,lower_case_with_underscores
python_requires,1,,,,,,1,,,,lower_case_with_underscores
install_requires,3,,,,,,3,,,,lower_case_with_underscores
extras_require,3,,,,,,3,,,,lower_case_with_underscores
entry_points,1,,,,,,1,,,,lower_case_with_underscores
packaging,2,,,1,,,,,,1,lowercase
pallets_sphinx_themes,2,,,2,,,,,,,lower_case_with_underscores
get_version,6,1,,2,,,,,,3,lower_case_with_underscores
ProjectLink,6,,,1,,,,,,5,CapitalizedWords
project,1,,,,,,,,,1,lowercase
copyright,1,,,,,,,,,1,lowercase
release,6,,,,,,,,,6,lowercase
master_doc,2,,,,,,,,,2,lower_case_with_underscores
extensions,2,,,,,,,,,2,lowercase
intersphinx_mapping,1,,,,,,,,,1,lower_case_with_underscores
issues_github_path,1,,,,,,,,,1,lower_case_with_underscores
html_theme,1,,,,,,,,,1,lower_case_with_underscores
html_theme_options,1,,,,,,,,,1,lower_case_with_underscores
html_context,1,,,,,,,,,1,lower_case_with_underscores
html_sidebars,1,,,,,,,,,1,lower_case_with_underscores
singlehtml_sidebars,1,,,,,,,,,1,lower_case_with_underscores
html_static_path,1,,,,,,,,,1,lower_case_with_underscores
html_favicon,1,,,,,,,,,1,lower_case_with_underscores
html_logo,1,,,,,,,,,1,lower_case_with_underscores
html_title,2,,,,,,,,,2,lower_case_with_underscores
format,43,,,,,,,,,43,lowercase
html_show_sourcelink,1,,,,,,,,,1,lower_case_with_underscores
latex_documents,1,,,,,,,,,1,lower_case_with_underscores
github_link,2,1,,,,,,,,1,lower_case_with_underscores
rawtext,2,,,,,1,,,,1,lowercase
text,21,,,,,1,2,,,18,lowercase
lineno,1,,,,,1,,,,,lowercase
inliner,2,,,,,1,,,,1,lowercase
options,64,1,,,,13,,,,50,lowercase
content,1,,,,,1,,,,,lowercase
app,1484,3,,16,,310,6,,,1149,lowercase
env,12,,,,,2,,,,10,lowercase
settings,1,,,,,,,,,1,lowercase
document,1,,,,,,,,,1,lowercase
config,157,,,3,,,2,,,152,lowercase
base_url,10,,,,,1,,,,9,lower_case_with_underscores
endswith,5,,,,,,,,,5,lowercase
words,7,,,,,,,,,7,lowercase
rsplit,6,,,,,,,,,6,lowercase
strip,13,,,,,,,,,13,lowercase
is_devrelease,1,,,,,,,,,1,lower_case_with_underscores
parse,1,,,,,,,,,1,lowercase
docutils,2,,,2,,,,,,,lowercase
nodes,1,,,1,,,,,,,lowercase
reference,2,,,1,,,,,,1,lowercase
parsers,1,,,1,,,,,,,lowercase
rst,1,,,1,,,,,,,lowercase
roles,1,,,1,,,,,,,lowercase
set_classes,2,,,1,,,,,,1,lower_case_with_underscores
node,2,,,,,,,,,2,lowercase
refuri,1,,,,,,1,,,,lowercase
add_role,1,,,,,,,,,1,lower_case_with_underscores
zip_safe,2,,,,,,2,,,,lower_case_with_underscores
flask,679,,,104,,,,,,575,lowercase
jsonify,23,1,,4,,,,,,18,lowercase
render_template,46,1,,6,,,,,,39,lower_case_with_underscores
request,188,,,9,,16,2,,,161,lowercase
js_example,3,,,3,,,,,,,lower_case_with_underscores
index,141,125,,,,1,3,,,12,lowercase
js,4,,,,,1,1,,,2,lowercase
route,272,2,,,,,,,,270,lowercase
defaults,15,,,,,1,4,,,10,lowercase
add,14,3,,,,,,,,11,lowercase
a,4,,,,,1,,,,3,b
get,372,14,,,,,,,,358,lowercase
form,17,,,,,,,,,17,lowercase
type,23,,,,,2,6,,,15,lowercase
float,3,,,,,,,,,3,lowercase
b,4,,,,,1,,,,3,b
result,59,,,,,3,1,,,55,lowercase
methods,73,,,,,,36,,,37,lowercase
Flask,134,,3,16,,,,,,115,CapitalizedWords
views,19,,,3,,,,,,16,lowercase
pytest,171,,,24,,,,,,147,lowercase
fixture_app,1,1,,,,,,,,,lower_case_with_underscores
testing,32,,,10,,,,,,22,lowercase
fixture,25,,,,,,,,,25,lowercase
client,538,3,,,,172,,,,363,lowercase
test_client,49,1,,,,,,,,48,lower_case_with_underscores
template_rendered,8,,,3,,,,,,5,lower_case_with_underscores
test_index,3,3,,,,,,,,,lower_case_with_underscores
path,175,,,,,14,4,,,157,lowercase
template_name,4,,,,,2,,,,2,lower_case_with_underscores
check,14,11,,,,,,,,3,lowercase
sender,10,,,,,10,,,,,lowercase
template,33,,,,,9,2,,,22,lowercase
context,26,,,,,7,2,,,17,lowercase
connected_to,3,,,,,,,,,3,lower_case_with_underscores
parametrize,32,,,,,,,,,32,lowercase
mark,43,,,,,,,,,43,lowercase
test_add,1,1,,,,,,,,,lower_case_with_underscores
response,94,,,,,14,1,,,79,lowercase
post,52,6,,,,,1,,,45,lowercase
data,313,,,,,3,22,,,288,lowercase
get_json,10,,,,,,,,,10,lower_case_with_underscores
functools,11,,,9,,,,,,2,lowercase
Blueprint,63,,1,7,,,,,,55,CapitalizedWords
flash,14,1,,3,,,,,,10,lowercase
g,77,4,,6,,,1,,,66,b
redirect,13,,,3,,,,,,10,lowercase
session,105,,,5,,6,2,,,92,lowercase
url_for,61,1,,5,,,1,,,54,lower_case_with_underscores
werkzeug,83,,,72,,,,,,11,lowercase
security,2,,,2,,,,,,,lowercase
check_password_hash,2,,,1,,,,,,1,lower_case_with_underscores
generate_password_hash,2,,,1,,,,,,1,lower_case_with_underscores
flaskr,12,,,12,,,,,,,lowercase
db,46,,,8,,,,,,38,lowercase
get_db,24,1,,6,,,,,,17,lower_case_with_underscores
bp,175,,,,,,,,,175,lowercase
url_prefix,41,,,,,1,29,,,11,lower_case_with_underscores
login_required,5,1,,1,,,,,,3,lower_case_with_underscores
view,22,4,,,,1,,,,17,lowercase
wrapped_view,2,1,,,,,,,,1,lower_case_with_underscores
kwargs,121,,,,,49,1,,,71,lowercase
user,14,,,,,2,,,,12,lowercase
wraps,1,,,,,,,,,1,lowercase
load_logged_in_user,1,1,,,,,,,,,lower_case_with_underscores
user_id,3,,,,,,,,,3,lower_case_with_underscores
fetchone,8,,,,,,,,,8,lowercase
execute,15,,,,,,,,,15,lowercase
before_app_request,3,1,,,,,,,,2,lower_case_with_underscores
register,11,3,,,,,,,,8,lowercase
method,43,,,,,,18,,,25,lowercase
username,13,,,,,3,,,,10,lowercase
password,11,,,,,3,,,,8,lowercase
error,52,1,,,1,12,,,,38,lowercase
commit,5,,,,,,,,,5,lowercase
login,12,2,,,,,,,,10,lowercase
clear,3,,,,,,,,,3,lowercase
logout,3,2,,,,,,,,1,lowercase
exceptions,23,,,23,,,,,,,lowercase
abort,17,,,2,,,,,,15,lowercase
auth,25,1,,2,,10,,,,12,lowercase
posts,3,,,,,,1,,,2,lowercase
fetchall,1,,,,,,,,,1,lowercase
get_post,3,1,,,,,,,,2,lower_case_with_underscores
id,13,,,,,4,1,,,8,lowercase
check_author,2,,,,,1,,,,1,lower_case_with_underscores
create,1,1,,,,,,,,,lowercase
title,6,,,,,,,,,6,lowercase
body,4,,,,,,,,,4,lowercase
update,34,1,,,,,,,,33,lowercase
delete,7,3,,,,,,,,4,lowercase
sqlite3,6,,,2,,,,,,4,lowercase
click,78,,,6,,,,,,72,lowercase
current_app,48,,,7,,,,,,41,lower_case_with_underscores
cli,65,4,,18,,1,,,,42,lowercase
with_appcontext,10,1,,2,,,2,,,5,lower_case_with_underscores
connect,11,,,,,,,,,11,lowercase
detect_types,1,,,,,,1,,,,lower_case_with_underscores
PARSE_DECLTYPES,1,,,,,,,,,1,UPPER_CASE_WITH_UNDERSCORES
row_factory,1,,,,,,,,,1,lower_case_with_underscores
Row,1,,,,,,,,,1,CapitalizedWords
close_db,2,1,,,,,,,,1,lower_case_with_underscores
e,166,,,,12,41,3,,,110,b
pop,53,3,,,,,,,,50,lowercase
close,53,1,,,,,,,,52,lowercase
init_db,4,1,,1,,,,,,2,lower_case_with_underscores
open_resource,11,1,,,,,,,,10,lower_case_with_underscores
executescript,2,,,,,,,,,2,lowercase
decode,9,,,,,,,,,9,lowercase
init_db_command,2,1,,,,,,,,1,lower_case_with_underscores
echo,21,1,,,,,,,,20,lowercase
command,17,1,,,,,,,,16,lowercase
init_app,2,1,,,,,,,,1,lower_case_with_underscores
teardown_appcontext,9,1,,,,,,,,8,lower_case_with_underscores
add_command,7,,,,,,,,,7,lower_case_with_underscores
os,156,,,13,,,,,,143,lowercase
create_app,48,16,,2,,2,11,,,17,lower_case_with_underscores
test_config,4,1,,,,1,,,,2,lower_case_with_underscores
instance_relative_config,3,,,,,1,1,,,1,lower_case_with_underscores
from_mapping,7,1,,,,,,,,6,lower_case_with_underscores
SECRET_KEY,4,,,,,,2,,,2,UPPER_CASE_WITH_UNDERSCORES
DATABASE,1,,,,,,1,,,,UPPERCASE
join,76,,,,,,,,,76,lowercase
instance_path,21,,,,,1,2,,,18,lower_case_with_underscores
from_pyfile,7,1,,,,,,,,6,lower_case_with_underscores
silent,14,,,,,3,7,,,4,lowercase
makedirs,1,,,,,,,,,1,lowercase
OSError,2,,,,,,,,,2,CapitalizedWords
hello,7,4,,1,,1,,,,1,lowercase
blog,2,,,1,,,,,,1,lowercase
register_blueprint,56,1,,,,,,,,55,lower_case_with_underscores
add_url_rule,41,3,,,,,,,,38,lower_case_with_underscores
endpoint,91,3,,,,18,17,,,53,lowercase
tempfile,2,,,1,,,,,,1,lowercase
