name,all,function_def,class_def,import_module_or_alias,exception,param,keyword,alias,object_decl,object,naming_style
setuptools,2,,,2,,,,,,,lowercase
setup,25,5,,1,,,,,,19,lowercase
find_packages,2,,,1,,,,,,1,lower_case_with_underscores
long_description,3,,,,,,1,,,2,lower_case_with_underscores
name,489,,,,,6,331,,,152,lowercase
version,7,,,,,,1,,,6,lowercase
description,5,,,,,,5,,,,lowercase
author,1,,,,,,1,,,,lowercase
author_email,1,,,,,,1,,,,lower_case_with_underscores
url,1,,,,,,1,,,,lowercase
download_url,1,,,,,,1,,,,lower_case_with_underscores
license,1,,,,,,1,,,,lowercase
install_requires,1,,,,,,1,,,,lower_case_with_underscores
extras_require,1,,,,,,1,,,,lower_case_with_underscores
classifiers,1,,,,,,1,,,,lowercase
packages,1,,,,,,1,,,,lowercase
pyux,8,,,2,,,,,,6,lowercase
keras,906,,,719,,,,,,187,lowercase
json,6,,,3,,,,,,3,lowercase
backend,150,,,67,,,,,,83,lowercase
tensorflow_backend,2,,,2,,,,,,,lower_case_with_underscores
theano_backend,2,,,2,,,,,,,lower_case_with_underscores
cntk_backend,2,,,2,,,,,,,lower_case_with_underscores
numpy_backend,4,,,3,,,,,,1,lower_case_with_underscores
utils,152,,,88,,,,1,,63,lowercase
test_utils,26,,,24,,,,,,2,lower_case_with_underscores
sign,4,,,,,,,,,4,lowercase
open,26,,,,,,,,,26,lowercase
f,112,3,,,,5,,,,104,b
dump,2,,,,,,,,,2,lowercase
print_function,48,,,48,,,,,,,lower_case_with_underscores
unicode_literals,1,,,1,,,,,,,lower_case_with_underscores
re,20,,,5,,,,,,15,lowercase
inspect,16,,,2,,,,,,14,lowercase
os,184,,,18,,,,,,166,lowercase
shutil,16,,,6,,,,,,10,lowercase
six,12,,,8,,,,,,4,lowercase
pathlib,4,,,1,,,,1,,2,lowercase
ImportError,4,,,,,,,,,4,CapitalizedWords
pathlib2,1,,,1,,,,,,,lowercase
K,1101,,,,,,,55,,1046,B
docs,4,,,4,,,,,,,lowercase
structure,4,,,4,,,,,,,lowercase
EXCLUDE,4,,,1,,,,,,3,UPPERCASE
PAGES,3,,,1,,,,,,2,UPPERCASE
template_np_implementation,3,,,1,,,,,,2,lower_case_with_underscores
template_hidden_np_implementation,3,,,1,,,,,,2,lower_case_with_underscores
sys,27,,,10,,,,,,17,lowercase
reload,1,,,,,,,,,1,lowercase
setdefaultencoding,1,,,,,,,,,1,lowercase
keras_dir,6,,,,,,,,,6,lower_case_with_underscores
parents,1,,,,,,,,,1,lowercase
resolve,1,,,,,,,,,1,lowercase
Path,2,,,,,,,,,2,CapitalizedWords
get_function_signature,3,1,,,,,,,,2,lower_case_with_underscores
function,54,,,,,3,2,,,49,lowercase
method,19,,,,,3,4,,,12,lowercase
wrapped,7,,,,,,,,,7,lowercase
getattr,7,,,,,,,,,7,lowercase
signature,26,,,,,1,,,,25,lowercase
getfullargspec,3,,,,,,,,,3,lowercase
defaults,6,,,,,,,,,6,lowercase
args,65,,,,,14,1,,,50,lowercase
kwargs,144,,,,,19,100,,,25,lowercase
zip,25,,,,,,,,,25,lowercase
len,408,,,,,,,,,408,lowercase
st,5,,,,,,,,,5,lowercase
clean_module_name,5,1,,,,,1,,,3,lower_case_with_underscores
a,156,,,,,4,,,,152,b
str,61,,,,,,,,,61,lowercase
v,11,,,,,,,,,11,b
isinstance,30,,,,,,,,,30,lowercase
post_process_signature,3,1,,,,,,,,2,lower_case_with_underscores
get_class_signature,2,1,,,,,,,,1,lower_case_with_underscores
cls,39,,,,,7,,,,32,lowercase
class_signature,5,,,,,,,,,5,lower_case_with_underscores
replace,15,,,,,,,,,15,lowercase
TypeError,11,,,,,,,,,11,CapitalizedWords
AttributeError,1,,,,,,,,,1,CapitalizedWords
format,58,,,,,,,,,58,lowercase
cls_name,1,,,,,,1,,,,lower_case_with_underscores
parts,10,,,,,,,,,10,lowercase
split,27,,,,,,2,,,25,lowercase
join,69,,,,,,,,,69,lowercase
startswith,10,,,,,,,,,10,lowercase
class_to_source_link,2,1,,,,,,,,1,lower_case_with_underscores
module_name,2,,,,,,,,,2,lower_case_with_underscores
path,128,,,,,1,3,,,124,lowercase
line,58,,,,,,,,,58,lowercase
getsourcelines,1,,,,,,,,,1,lowercase
link,2,,,,,,,,,2,lowercase
code_snippet,3,1,,,,,,,,2,lower_case_with_underscores
snippet,7,,,,,1,,,,6,lowercase
result,304,,,,,,,,,304,lowercase
decode,7,1,,,,,,,,6,lowercase
encode,4,1,,,,,,,,3,lowercase
count_leading_spaces,2,1,,,,,,,,1,lower_case_with_underscores
s,37,,,,,3,,,,34,b
ws,5,,,,,,,,,5,lowercase
search,8,,,,,,,,,8,lowercase
start,99,,,,,1,,,,98,lowercase
process_list_block,2,1,,,,,,,,1,lower_case_with_underscores
docstring,43,,,,,3,,,,40,lowercase
starting_point,5,,,,,1,,,,4,lower_case_with_underscores
section_end,7,,,,,1,,,,6,lower_case_with_underscores
leading_spaces,11,,,,,1,,,,10,lower_case_with_underscores
marker,7,,,,,1,,,,6,lowercase
ending_point,3,,,,,,,,,3,lower_case_with_underscores
find,7,,,,,,,,,7,lowercase
block,5,,,,,,,,,5,lowercase
docstring_slice,2,,,,,,,,,2,lower_case_with_underscores
lines,29,,,,,2,,,,27,lowercase
sub,4,,,,,,,,,4,lowercase
top_level_regex,2,,,,,,,,,2,lower_case_with_underscores
top_level_replacement,2,,,,,,,,,2,lower_case_with_underscores
indent,6,,,,,,1,,,5,lowercase
text_block,5,,,,,,,,,5,lower_case_with_underscores
i,354,,,,,1,,,,353,b
range,166,,,2,,,,,,164,lowercase
spaces,10,,,,,,,,,10,lowercase
process_docstring,3,1,,,,,,,,2,lower_case_with_underscores
code_blocks,4,,,,,,,,,4,lower_case_with_underscores
tmp,9,,,,,,,,,9,lowercase
index,43,,,,,1,4,,,38,lowercase
snippet_lines,11,,,,,,,,,11,lower_case_with_underscores
num_leading_spaces,2,,,,,,,,,2,lower_case_with_underscores
inner_lines,2,,,,,,,,,2,lower_case_with_underscores
append,106,,,,,,1,,,105,lowercase
section_regex,4,,,,,,,,,4,lower_case_with_underscores
section_idx,7,,,,,,,,,7,lower_case_with_underscores
shift,7,,,,,,,,,7,lowercase
sections,3,,,,,,,,,3,lowercase
group,3,,,,,,,,,3,lowercase
anchor,2,,,,,,,,,2,lowercase
end,48,,,,,,4,,,44,lowercase
next_section_idx,3,,,,,,,,,3,lower_case_with_underscores
content,4,,,,,,,,,4,lowercase
lstrip,1,,,,,,,,,1,lowercase
items,29,,,,,,,,,29,lowercase
code_block,2,,,,,,,,,2,lower_case_with_underscores
enumerate,46,,,,,,,,,46,lowercase
add_np_implementation,2,1,,,,,,,,1,lower_case_with_underscores
np_implementation,2,,,,,,,,,2,lower_case_with_underscores
code,5,,,,,,,,,5,lowercase
getsource,1,,,,,,,,,1,lowercase
code_lines,7,,,,,,,,,7,lower_case_with_underscores
section,3,,,,,,,,,3,lowercase
read_file,4,1,,,,,,,,3,lower_case_with_underscores
encoding,12,,,,,,12,,,,lowercase
read,8,,,,,,,,,8,lowercase
collect_class_methods,2,1,,,,,,,,1,lower_case_with_underscores
methods,11,,,,,1,,,,10,lowercase
list,85,,,,,,,,,85,lowercase
tuple,30,,,,,,,,,30,lowercase
m,102,,,,,,,,,102,b
_,97,,,,,2,,,,95,ugly
getmembers,1,,,,,,,,,1,lowercase
predicate,1,,,,,,1,,,,lowercase
isroutine,1,,,,,,,,,1,lowercase
render_function,4,1,,,,,,,,3,lower_case_with_underscores
subblocks,15,,,,,,,,,15,lowercase
read_page_data,4,1,,,,,,,,3,lower_case_with_underscores
page_data,9,,,,,1,,,,8,lower_case_with_underscores
type,28,,,,,1,16,,,11,lowercase
data,63,,,,,6,,,,57,lowercase
get,35,,,2,,,,,,33,lowercase
module,4,,,,,,,,,4,lowercase
module_data,5,,,,,,,,,5,lower_case_with_underscores
dir,1,,,,,,,,,1,lowercase
module_member,4,,,,,,,,,4,lower_case_with_underscores
isclass,1,,,,,,,,,1,lowercase
isfunction,1,,,,,,,,,1,lowercase
instance,4,,,,,,,,,4,lowercase
sort,2,,,,,,,,,2,lowercase
key,25,,,,,,2,,,23,lowercase
x,1176,,,,,86,5,,,1085,b
id,8,,,,,,,,,8,lowercase
get_module_docstring,2,1,,,,,,,,1,lower_case_with_underscores
filepath,68,,,,,1,1,,,66,lowercase
co,5,,,,,,,,,5,lowercase
compile,270,,,,,,,,,270,lowercase
co_consts,3,,,,,,,,,3,lower_case_with_underscores
string_types,1,,,,,,,,,1,lower_case_with_underscores
print,305,,,,,,,,,305,lowercase
co_firstlineno,1,,,,,,,,,1,lower_case_with_underscores
copy_examples,2,1,,,,,,,,1,lower_case_with_underscores
examples_dir,4,,,,,1,,,,3,lower_case_with_underscores
destination_dir,3,,,,,1,,,,2,lower_case_with_underscores
mkdir,5,,,,,,,,,5,lowercase
exist_ok,3,,,,,,3,,,,lower_case_with_underscores
file,5,,,,,,,,,5,lowercase
listdir,13,,,,,,,,,13,lowercase
endswith,1,,,,,,,,,1,lowercase
module_path,2,,,,,,,,,2,lower_case_with_underscores
starting_line,2,,,,,,,,,2,lower_case_with_underscores
destination_file,2,,,,,,,,,2,lower_case_with_underscores
f_out,6,,,,,,,,,6,lower_case_with_underscores
f_in,4,,,,,,,,,4,lower_case_with_underscores
write,11,,,,,,,,,11,lowercase
next,43,4,,,,,,,,39,lowercase
generate,2,1,,,,,,,,1,lowercase
sources_dir,8,,,,,1,,,,7,lower_case_with_underscores
template_dir,3,,,,,,,,,3,lower_case_with_underscores
RuntimeError,33,,,,,,,,,33,CapitalizedWords
exists,10,,,,,,,,,10,lowercase
rmtree,8,,,,,,,,,8,lowercase
copytree,1,,,,,,,,,1,lowercase
readme,3,,,,,,,,,3,lowercase
classes,4,,,,,,,,,4,lowercase
blocks,6,,,,,,,,,6,lowercase
element,9,,,,,,,,,9,lowercase
functions,2,,,,,,,,,2,lowercase
mkdown,4,,,,,,,,,4,lowercase
page_name,2,,,,,,,,,2,lower_case_with_underscores
template,3,,,,,,,,,3,lowercase
subdir,3,,,,,,,,,3,lowercase
dirname,14,,,,,,,,,14,lowercase
makedirs,7,,,,,,,,,7,lowercase
copyfile,1,,,,,,,,,1,lowercase
layers,741,,,236,,,1,,,504,lowercase
advanced_activations,4,,,3,,,,,,1,lower_case_with_underscores
noise,26,,,4,,,,,,22,lowercase
wrappers,48,,,7,,,,,,41,lowercase
initializers,13,,,8,,,,,,5,lowercase
optimizers,54,,,16,,,,,,38,lowercase
callbacks,113,,,10,,,61,,,42,lowercase
models,173,,,82,,2,,,,89,lowercase
losses,160,,,13,,,,,,147,lowercase
metrics,377,,,10,,,101,,,266,lowercase
constraints,26,,,13,,,,,,13,lowercase
activations,44,,,18,,,,,,26,lowercase
preprocessing,44,,,35,,,,,,9,lowercase
Sequential,245,,,51,,,,,,194,CapitalizedWords
fit,205,,,,,,,,,205,lowercase
evaluate,70,,,,,,,,,70,lowercase
predict,217,,,,,,,,,217,lowercase
train_on_batch,117,,,,,,,,,117,lower_case_with_underscores
test_on_batch,34,,,,,,,,,34,lower_case_with_underscores
predict_on_batch,14,,,,,,,,,14,lower_case_with_underscores
fit_generator,72,,,,,,,,,72,lower_case_with_underscores
evaluate_generator,27,,,,,,,,,27,lower_case_with_underscores
predict_generator,24,,,,,,,,,24,lower_case_with_underscores
get_layer,21,,,,,,,,,21,lower_case_with_underscores
