name,all,function def,class def,import,exception,param,keyword,alias,object decl,object,naming_style,words
sys,89,,,27,,,,,,62,lowercase,['sys']
tensorflow,1123,,,1123,,,,,,,lowercase,['tensorflow']
compat,2737,,,608,,,,,,2129,lowercase,['compat']
v2,668,,,603,,,1,,,64,lowercase,['v2']
tf,17082,,,,,,,616,,16466,lowercase,['tf']
keras,8986,,,3450,,,,,,5536,lowercase,['keras']
layers,4964,3,,721,,13,5,,4,4218,lowercase,['layers']
activation,843,6,,20,,76,470,,,271,lowercase,['activation']
activation_layers,5,,,,,,,2,,3,lower_case_with_underscores,"['activation', 'layers']"
backend,2229,1,,185,,,1,,,2042,lowercase,['backend']
saving,199,1,,190,,1,3,,,4,lowercase,['saving']
legacy,295,,,260,,,,,,35,lowercase,['legacy']
serialization,124,,,57,,,,,,67,lowercase,['serialization']
legacy_serialization,44,,,,,,,13,,31,lower_case_with_underscores,"['legacy', 'serialization']"
utils,716,,,448,,,,12,,256,lowercase,['utils']
generic_utils,154,,,46,,,,,,108,lower_case_with_underscores,"['generic', 'utils']"
python,455,,,455,,,,,,,lowercase,['python']
util,257,,,251,,,,1,,5,lowercase,['util']
tf_export,312,,,250,,,,,,62,lower_case_with_underscores,"['tf', 'export']"
keras_export,991,,,226,,,,,,765,lower_case_with_underscores,"['keras', 'export']"
_TF_ACTIVATIONS_V2,3,,,,,,,,,3,UPPER_CASE_WITH_UNDERSCORES,"['tf', 'activations', 'v2']"
softmax,28,2,,2,,,,,,24,lowercase,['softmax']
x,8281,,,,,744,147,,,7390,b,['x']
axis,1125,,,,,79,759,,,287,lowercase,['axis']
rank,257,,,,,10,35,,,212,lowercase,['rank']
shape,4499,7,,,,111,1993,,,2388,lowercase,['shape']
isinstance,1236,,,,,,,,,1236,lowercase,['isinstance']
int,340,,,,,,,,,340,lowercase,['int']
output,1109,4,,,,11,11,,,1083,lowercase,['output']
nn,225,,,,,,,,,225,lowercase,['nn']
e,360,,,,58,3,,,,299,b,['e']
exp,31,1,,,,,,,,30,lowercase,['exp']
reduce_max,22,,,,,,,,,22,lower_case_with_underscores,"['reduce', 'max']"
keepdims,135,,,,,13,85,,,37,lowercase,['keepdims']
s,177,,,,,19,1,,,157,b,['s']
reduce_sum,211,,,,,,,,,211,lower_case_with_underscores,"['reduce', 'sum']"
ValueError,1946,,,,,,,,,1946,CapitalizedWords,"['value', 'error']"
_keras_logits,3,,,,,,,,,3,lower_case_with_underscores,"['keras', 'logits']"
add_dispatch_support,143,,,,,,,,,143,lower_case_with_underscores,"['add', 'dispatch', 'support']"
dispatch,155,,,1,,,,,,154,lowercase,['dispatch']
elu,8,2,,2,,,,,,4,lowercase,['elu']
alpha,262,,,,,37,60,,,165,lowercase,['alpha']
selu,3,1,,,,,,,,2,lowercase,['selu']
softplus,8,3,,,,,,,,5,lowercase,['softplus']
math,230,,,19,,,,,,211,lowercase,['math']
softsign,7,3,,,,,,,,4,lowercase,['softsign']
swish,1,1,,,,,,,,,lowercase,['swish']
silu,5,,,,,,,,,5,lowercase,['silu']
relu,106,3,,2,,,,,,101,lowercase,['relu']
max_value,58,,,,,7,13,,,38,lower_case_with_underscores,"['max', 'value']"
threshold,53,,,,,7,18,,,28,lowercase,['threshold']
gelu,7,2,,,,,,,,5,lowercase,['gelu']
approximate,4,,,,,2,,,,2,lowercase,['approximate']
v1,2484,,,4,,,252,,,2228,lowercase,['v1']
tanh,23,2,,,,,,,,21,lowercase,['tanh']
sigmoid,43,2,,,,,,,,41,lowercase,['sigmoid']
exponential,2,1,,,,,,,,1,lowercase,['exponential']
hard_sigmoid,9,3,,,,,,,,6,lower_case_with_underscores,"['hard', 'sigmoid']"
linear,52,1,,6,,,4,,,41,lowercase,['linear']
serialize,355,12,,1,,27,7,,,308,lowercase,['serialize']
use_legacy_format,57,,,,,18,7,,,32,lower_case_with_underscores,"['use', 'legacy', 'format']"
hasattr,279,,,,,,,,,279,lowercase,['hasattr']
serialize_keras_object,67,2,,9,,,,,,56,lower_case_with_underscores,"['serialize', 'keras', 'object']"
leaky_relu,5,,,2,,,,,,3,lower_case_with_underscores,"['leaky', 'relu']"
log_softmax,2,,,,,,,,,2,lower_case_with_underscores,"['log', 'softmax']"
relu6,3,,,,,,,,,3,lowercase,['relu6']
deserialize,88,10,,9,,1,1,,,67,lowercase,['deserialize']
name,4765,6,,,,401,2190,,,2168,lowercase,['name']
custom_objects,331,,,,,61,128,,,142,lower_case_with_underscores,"['custom', 'objects']"
activation_functions,4,,,,,,,,,4,lower_case_with_underscores,"['activation', 'functions']"
current_module,2,,,,,,,,,2,lower_case_with_underscores,"['current', 'module']"
modules,13,,,,,1,,,,12,lowercase,['modules']
populate_dict_with_module_objects,5,1,,,,,,,,4,lower_case_with_underscores,"['populate', 'dict', 'with', 'module', 'objects']"
obj_filter,6,,,,,1,4,,,1,lower_case_with_underscores,"['obj', 'filter']"
callable,79,,,,,,,,,79,lowercase,['callable']
deserialize_keras_object,68,2,,8,,,,,,58,lower_case_with_underscores,"['deserialize', 'keras', 'object']"
module_objects,49,,,,,6,27,,,16,lower_case_with_underscores,"['module', 'objects']"
printable_module_name,29,,,,,2,23,,,4,lower_case_with_underscores,"['printable', 'module', 'name']"
get,569,15,,1,,,,,,553,lowercase,['get']
identifier,111,,,,,12,3,,,96,lowercase,['identifier']
str,452,,,,,,,,,452,lowercase,['str']
dict,345,,,,,,,,,345,lowercase,['dict']
TypeError,231,,,,,,,,,231,CapitalizedWords,"['type', 'error']"
numpy,634,,,295,,,,,,339,lowercase,['numpy']
np,6308,,,,,,,292,,6016,lowercase,['np']
absl,182,,,182,,,,,,,lowercase,['absl']
testing,246,,,158,,,,,,88,lowercase,['testing']
parameterized,688,,,157,,,,,,531,lowercase,['parameterized']
activations,141,,,29,,,,,,112,lowercase,['activations']
core,194,,,84,,,,,,110,lowercase,['core']
testing_infra,349,,,349,,,,,,,lower_case_with_underscores,"['testing', 'infra']"
test_combinations,2133,,,186,,,1,,,1946,lower_case_with_underscores,"['test', 'combinations']"
_ref_softmax,5,1,,,,,,,,4,lower_case_with_underscores,"['ref', 'softmax']"
values,518,1,,1,,23,106,,,387,lowercase,['values']
m,616,,,,,8,3,,,605,b,['m']
max,139,1,,,,,,,,138,lowercase,['max']
sum,123,1,,,,,2,,,120,lowercase,['sum']
KerasActivationsTest,1,,1,,,,,,,,CapitalizedWords,"['keras', 'activations', 'test']"
TestCase,783,,1,,,,,,,782,CapitalizedWords,"['test', 'case']"
test,1091,1,,1,,,,,,1089,lowercase,['test']
test_serialization,7,7,,,,,,,,,lower_case_with_underscores,"['test', 'serialization']"
all_activations,4,,,,,,,,,4,lower_case_with_underscores,"['all', 'activations']"
fn,317,22,,,,30,2,,,263,lowercase,['fn']
ref_fn,6,,,,,,,,,6,lower_case_with_underscores,"['ref', 'fn']"
getattr,281,,,,,,,,,281,lowercase,['getattr']
config,1478,,,,,101,29,,,1348,lowercase,['config']
test_serialization_v2,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'serialization', 'v2']"
activation_map,3,,,,,,,,,3,lower_case_with_underscores,"['activation', 'map']"
fn_v2_key,3,,,,,,,,,3,lower_case_with_underscores,"['fn', 'v2', 'key']"
fn_v2,2,,,,,,,,,2,lower_case_with_underscores,"['fn', 'v2']"
test_serialization_with_layers,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'serialization', 'with', 'layers']"
LeakyReLU,15,,1,2,,,,,,12,CapitalizedWords,"['leaky', 're', 'l', 'u']"
layer,4419,1,,,,92,26,,,4300,lowercase,['layer']
Dense,1191,,2,5,,,,,,1184,CapitalizedWords,['dense']
deserialized_layer,6,,,,,,,,,6,lower_case_with_underscores,"['deserialized', 'layer']"
assertEqual,3740,,,,,,,,,3740,mixedCase,"['assert', 'equal']"
test_softmax,2,2,,,,,,,,,lower_case_with_underscores,"['test', 'softmax']"
placeholder,217,1,,,,,,,,216,lowercase,['placeholder']
ndim,190,1,,,,3,75,,,111,lowercase,['ndim']
f,442,13,,,,32,1,,,396,b,['f']
function,345,1,,13,,4,1,,,326,lowercase,['function']
test_values,39,,,,,,,,,39,lower_case_with_underscores,"['test', 'values']"
random,2495,,,18,,,,,,2477,lowercase,['random']
result,1072,25,,,,1,,,,1046,lowercase,['result']
expected,354,,,,,16,2,,,336,lowercase,['expected']
assertAllClose,1539,,,,,,,,,1539,mixedCase,"['assert', 'all', 'close']"
rtol,100,,,,,3,89,,,8,lowercase,['rtol']
assertRaises,252,,,,,,,,,252,mixedCase,"['assert', 'raises']"
test_softmax_2d_axis_0,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'softmax', '2d', 'axis', '0']"
zeros,602,1,,,,,,,,601,lowercase,['zeros']
i,1043,,,,,27,,,,1016,b,['i']
range,756,,,,,1,6,,,749,lowercase,['range']
test_softmax_3d_axis_tuple,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'softmax', '3d', 'axis', 'tuple']"
test_temporal_softmax,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'temporal', 'softmax']"
test_selu,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'selu']"
scale,246,,,,,30,85,,,131,lowercase,['scale']
positive_values,6,,,,,,,,,6,lower_case_with_underscores,"['positive', 'values']"
array,1161,,,,,2,,,,1159,lowercase,['array']
dtype,4535,10,,,,221,2375,,,1929,lowercase,['dtype']
floatx,92,1,,,,,,,,91,lowercase,['floatx']
