name,all,function_def,class_def,import_module_or_alias,exception,param,keyword,alias,object_decl,object,naming_style
_hatch_dict,3,,,,,,,,,3,lower_case_with_underscores
_sharez,6,,,,,,,,,6,lowercase
use_defaults,3,,,,,,,,,3,lower_case_with_underscores
_children,15,,,,,,,,,15,lowercase
_stdout_level,3,1,,,,,,,,2,lower_case_with_underscores
wm_geometry,1,,,,,,,,,1,lower_case_with_underscores
code_map,2,,,,,,,,,2,lower_case_with_underscores
axislines,18,,,16,,,,1,,1,lowercase
prefix,68,,,,,,12,,,56,lowercase
fig2,48,,,,,,,,,48,lowercase
fig3,4,,,,,,,,,4,lowercase
fout,3,,,,,,,,,3,lowercase
fig1,101,,,,,,,,,101,lowercase
_a_list,2,,,,,,,,,2,lower_case_with_underscores
LINE_JOIN_MITER,1,,,,,,,,,1,UPPER_CASE_WITH_UNDERSCORES
cmdargs,2,,,,,,,,,2,lowercase
idle_draw,8,4,,,,,,,,4,lower_case_with_underscores
Subplot,34,,,7,,,1,,,26,CapitalizedWords
increase,2,,,,,,,,,2,lowercase
test_hist_stacked_bar,1,1,,,,,,,,,lower_case_with_underscores
show_page,1,,,,,,,,,1,lower_case_with_underscores
_set_path_marker,2,1,,,,,,,,1,lower_case_with_underscores
get_cache_dir,2,1,,,,,,,,1,lower_case_with_underscores
RArrow,3,,1,,,,,,,2,CapitalizedWords
allquality,1,1,,,,,,,,,lowercase
test_auto_date_locator,1,1,,,,,,,,,lower_case_with_underscores
_update_gc,4,1,,,,,,,,3,lower_case_with_underscores
_meshWidth,4,,,,,,,,,4,mixedCase
MollweideTransform,3,,1,,,,,,,2,CapitalizedWords
convert_units,5,1,,,,,,,,4,lower_case_with_underscores
cvalues,8,,,,,,,,,8,lowercase
get_preamble,4,1,,,,,,,,3,lower_case_with_underscores
_rotate_btn,3,,,,,,,,,3,lower_case_with_underscores
test_bxp_showmean,1,1,,,,,,,,,lower_case_with_underscores
figh,1,,,,,,,,,1,lowercase
figi,3,,,,,,,,,3,lowercase
wx_ids,9,,,,,,,,,9,lower_case_with_underscores
handlebox,17,,,,,,,,,17,lowercase
figBottom,4,,,,,,,,,4,mixedCase
figs,24,1,,,,,,,,23,lowercase
centpt,4,,,,,,,,,4,lowercase
test_polycollection_close,1,1,,,,,,,,,lower_case_with_underscores
nrects,4,,,,,,,,,4,lowercase
FourierDemoFrame,2,,1,,,,,,,1,CapitalizedWords
mincnt,11,,,,,,1,,,10,lowercase
enddate,2,,,,,,,,,2,lowercase
xt2,2,,,,,,,,,2,lowercase
get_grey,4,1,,,,,,,,3,lower_case_with_underscores
GetPageSizePixels,1,,,,,,,,,1,CapitalizedWords
compute_geom_grads,2,1,,,,,,,,1,lower_case_with_underscores
_state_stack,5,,,,,,,,,5,lower_case_with_underscores
fig4,3,,,,,,,,,3,lowercase
figH,16,,,,,,,,,16,mixedCase
convert_ttf_to_ps,2,,,1,,,,,,1,lower_case_with_underscores
yaxis_inverted,4,1,,,,,,,,3,lower_case_with_underscores
figW,16,,,,,,,,,16,mixedCase
BboxPatch,6,,1,2,,,,,,3,CapitalizedWords
errmsg,3,,,,,,,,,3,lowercase
radar_factory,2,1,,,,,,,,1,lower_case_with_underscores
