name,all,function_def,class_def,import_module_or_alias,exception,param,keyword,alias,object_decl,object,naming_style
linebreak,4,,,,,,,,,4,lowercase
PlaylistsProvider,6,,1,1,,,,,,4,CapitalizedWords
validate_extension,2,1,,,,,,,,1,lower_case_with_underscores
test_track_playback_paused_is_broadcasted,1,1,,,,,,,,,lower_case_with_underscores
_children,6,,,,,,,,,6,lowercase
get_object,3,,,,,,,,,3,lower_case_with_underscores
track_2_uri,2,,,,,,,,,2,lower_case_with_underscores
test_images,1,1,,,,,,,,,lower_case_with_underscores
linenos,2,,,,,,,,,2,lowercase
prefix,1,,,,,,1,,,,lowercase
sleep,4,,,,,,,,,4,lowercase
track_max_volume,2,,,,,,,,,2,lower_case_with_underscores
dist,2,,,,,,,,,2,lowercase
test_batch_of_commands_and_notifications_returns_some,1,1,,,,,,,,,lower_case_with_underscores
testSuggestoins,1,1,,,,,,,,,mixedCase
findall,6,,,,,,,,,6,lowercase
test_join_lines_returns_empty_string_for_no_lines,1,1,,,,,,,,,lower_case_with_underscores
const,1,,,,,,1,,,,lowercase
TAG_BITRATE,1,,,,,,,,,1,UPPER_CASE_WITH_UNDERSCORES
test_tracks_attribute_is_immutable,1,1,,,,,,,,,lower_case_with_underscores
test_search_track_no_without_filter_value,1,1,,,,,,,,,lower_case_with_underscores
test_play_selects_dummy2_backend,1,1,,,,,,,,,lower_case_with_underscores
test_playlists_save_sends_playlist_changed_event,1,1,,,,,,,,,lower_case_with_underscores
test_previous_at_start_of_playlist,1,1,,,,,,,,,lower_case_with_underscores
ACK_ERROR_UPDATE_ALREADY,1,,,,,,,,,1,UPPER_CASE_WITH_UNDERSCORES
test_list_album_by_year,1,1,,,,,,,,,lower_case_with_underscores
_list_artist,2,1,,,,,,,,1,lower_case_with_underscores
test_listener_has_default_impl_for_track_playback_resumed,1,1,,,,,,,,,lower_case_with_underscores
spec,84,,,,,,84,,,,lowercase
STATE_PAUSED,8,,,,,,,,,8,UPPER_CASE_WITH_UNDERSCORES
test_delete_selects_the_dummy1_backend,1,1,,,,,,,,,lower_case_with_underscores
supported_schemes,3,,,,,,,,,3,lower_case_with_underscores
test_playlistfind_by_filename_not_in_tracklist,1,1,,,,,,,,,lower_case_with_underscores
disable_recv,5,1,,,,,,,,4,lower_case_with_underscores
PortTest,1,,1,,,,,,,,CapitalizedWords
ParseError,4,,,,,,,,,4,CapitalizedWords
sticker__get,1,1,,,,,,,,,lower_case_with_underscores
test_help_has_mopidy_options,1,1,,,,,,,,,lower_case_with_underscores
test_validate_environment_does_nothing_by_default,1,1,,,,,,,,,lower_case_with_underscores
PlaybackState,127,,1,13,,,,,,113,CapitalizedWords
seek_simple,1,,,,,,,,,1,lower_case_with_underscores
isdir,10,,,,,,,,,10,lowercase
accept_connection,9,1,,,,,,,,8,lower_case_with_underscores
test_remove_works_with_dict_instead_of_kwargs,1,1,,,,,,,,,lower_case_with_underscores
test_nested_usage,1,1,,,,,,,,,lower_case_with_underscores
cmd,130,,,,,,,,,130,lowercase
test_missing_track_no,1,1,,,,,,,,,lower_case_with_underscores
test_decode_calls_decode_on_string,1,1,,,,,,,,,lower_case_with_underscores
test_sendmessage,1,1,,,,,,,,,lower_case_with_underscores
shlex,2,,,1,,,,,,1,lowercase
test_multiple_album_num_tracks,1,1,,,,,,,,,lower_case_with_underscores
PathTest,1,,1,,,,,,,,CapitalizedWords
settings,10,,,1,,,,,,9,lowercase
_setup_server,2,1,,,,,,,,1,lower_case_with_underscores
test_save,1,1,,,,,,,,,lower_case_with_underscores
Playlist,97,,1,10,,,,,,86,CapitalizedWords
test_next_track_with_random,1,1,,,,,,,,,lower_case_with_underscores
option_strings,3,,,,,,1,,,2,lower_case_with_underscores
BaseLibraryProvider,1,,,,,,,1,,,CapitalizedWords
test_replay_gain_mode_album,1,1,,,,,,,,,lower_case_with_underscores
test_listall_without_uri,1,1,,,,,,,,,lower_case_with_underscores
add_child,28,1,,,,,,,,27,lower_case_with_underscores
SIGNALS,2,,,,,,,,,2,UPPERCASE
register_typefinders,2,1,,,,,,,,1,lower_case_with_underscores
second,4,,,,,,,,,4,lowercase
config_lib,12,,,,,,,4,,8,lower_case_with_underscores
test_find_artist_does_not_include_fake_artist_tracks,1,1,,,,,,,,,lower_case_with_underscores
test_list_albumartist_by_artist,1,1,,,,,,,,,lower_case_with_underscores
errors,54,,,,,,,,,54,lowercase
test_playlistclear,1,1,,,,,,,,,lower_case_with_underscores
backend3,15,,,,,,,,,15,lowercase
test_valid_override_is_bytes,1,1,,,,,,,,,lower_case_with_underscores
test_get_default_config_raises_not_implemented,1,1,,,,,,,,,lower_case_with_underscores
test_send_lines_called_with_no_lines,1,1,,,,,,,,,lower_case_with_underscores
new,26,,,,,,24,,,2,lowercase
artists_to_mpd_format,7,1,,,,,,,,6,lower_case_with_underscores
metadata,2,,,,,,,,,2,lowercase
JsonRpcApplicationError,2,,1,,,,,,,1,CapitalizedWords
test_replay_gain_mode_off,1,1,,,,,,,,,lower_case_with_underscores
test_shuffle,1,1,,,,,,,,,lower_case_with_underscores
_event,2,1,,,,,,,,1,lowercase
setuptools,1,,,1,,,,,,,lowercase
test_list_composer_without_quotes_and_capitalized,1,1,,,,,,,,,lower_case_with_underscores
_BrowseCache,3,,1,,,,,,,2,CapitalizedWords
argv,5,,,,,,,,,5,lowercase
format_initial,2,1,,,,,,,,1,lower_case_with_underscores
active,3,,,,,,,,,3,lowercase
path,327,,,16,,,4,,,307,lowercase
bitrate,19,,,,,,12,,,7,lowercase
get_user_data_dir,2,,,,,,,,,2,lower_case_with_underscores
