name,all,function def,class def,import,exception,param,keyword,alias,object decl,object,naming_style,words
sheet_name,29,,,,,,,,,29,lower_case_with_underscores,"['sheet', 'name']"
four,3,,,,,,,,,3,lowercase,['four']
test_kde_color,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'kde', 'color']"
prefix,75,,,,,,14,,,61,lowercase,['prefix']
test_stack_level_name,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'stack', 'level', 'name']"
is_open,26,1,,,,,,,,25,lower_case_with_underscores,"['is', 'open']"
pc_large_repr_doc,2,,,,,,,,,2,lower_case_with_underscores,"['pc', 'large', 'repr', 'doc']"
fig1,2,,,,,,,,,2,lowercase,['fig1']
use_floats,2,,,,,,,,,2,lower_case_with_underscores,"['use', 'floats']"
account_name,2,,,,,,,,,2,lower_case_with_underscores,"['account', 'name']"
localized,6,,,,,,,,,6,lowercase,['localized']
has_time_rule,9,,,,,,2,,,7,lower_case_with_underscores,"['has', 'time', 'rule']"
test_string_io,2,2,,,,,,,,,lower_case_with_underscores,"['test', 'string', 'io']"
close_open,8,,,,,,,,,8,lower_case_with_underscores,"['close', 'open']"
msgs,2,,,,,,,,,2,lowercase,['msgs']
test_margins_no_values_two_rows,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'margins', 'no', 'values', 'two', 'rows']"
test_foo,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'foo']"
is_table,18,,,,,,,,,18,lower_case_with_underscores,"['is', 'table']"
_blocks_to_series_dict,2,1,,,,,,,,1,lower_case_with_underscores,"['blocks', 'to', 'series', 'dict']"
_convert_key,4,2,,,,,,,,2,lower_case_with_underscores,"['convert', 'key']"
test_unimplemented_dtypes_table_columns,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'unimplemented', 'dtypes', 'table', 'columns']"
test_encodeDecodeLongDecimal,1,1,,,,,,,,,ugly,"['test', 'encodedecodelongdecimal']"
_get_corr,2,1,,,,,,,,1,lower_case_with_underscores,"['get', 'corr']"
TestTSPlot,1,,1,,,,,,,,CapitalizedWords,"['test', 'ts', 'plot']"
bool_op,2,,,,,,,,,2,lower_case_with_underscores,"['bool', 'op']"
skip_if_no_ne,43,1,,,,,,,,42,lower_case_with_underscores,"['skip', 'if', 'no', 'ne']"
str_slice_replace,1,1,,,,,,,,,lower_case_with_underscores,"['str', 'slice', 'replace']"
boolop,1,,,,,,,,,1,lowercase,['boolop']
_set_labels,10,2,,,,,,,,8,lower_case_with_underscores,"['set', 'labels']"
_frame_panel,1,,,,,,,,,1,lower_case_with_underscores,"['frame', 'panel']"
test_cmov_window_frame,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'cmov', 'window', 'frame']"
_reso_period_map,2,,,,,,,,,2,lower_case_with_underscores,"['reso', 'period', 'map']"
_maybe_convert_to_int_keys,2,1,,,,,,,,1,lower_case_with_underscores,"['maybe', 'convert', 'to', 'int', 'keys']"
test_unstack_preserve_types,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'unstack', 'preserve', 'types']"
swp_re,2,,,,,,,,,2,lower_case_with_underscores,"['swp', 're']"
test_append_zero,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'append', 'zero']"
not_html_encoded,5,,,,,,,,,5,lower_case_with_underscores,"['not', 'html', 'encoded']"
test_string_repr_encoding,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'string', 'repr', 'encoding']"
string_types,167,,,9,,,,,,158,lower_case_with_underscores,"['string', 'types']"
test_pickle,12,12,,,,,,,,,lower_case_with_underscores,"['test', 'pickle']"
test_left_outer_join_bug,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'left', 'outer', 'join', 'bug']"
frame_dropna_axis1_any,1,,,,,,,,,1,lower_case_with_underscores,"['frame', 'dropna', 'axis1', 'any']"
day64,5,,,,,,,,,5,lowercase,['day64']
mexpected,2,,,,,,,,,2,lowercase,['mexpected']
test_utf16_bom_skiprows,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'utf16', 'bom', 'skiprows']"
fig2,2,,,,,,,,,2,lowercase,['fig2']
subindex,4,,,,,,,,,4,lowercase,['subindex']
date_string,4,,,,,,,,,4,lower_case_with_underscores,"['date', 'string']"
_ensure_int64,38,,,,,,,,,38,lower_case_with_underscores,"['ensure', 'int64']"
test_filter_multi_column_df,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'filter', 'multi', 'column', 'df']"
test_constructor_set,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'constructor', 'set']"
do_copy,8,2,,,,,,,,6,lower_case_with_underscores,"['do', 'copy']"
layout_test,4,,,,,,,,,4,lower_case_with_underscores,"['layout', 'test']"
check_is_expr_names,2,1,,,,,,,,1,lower_case_with_underscores,"['check', 'is', 'expr', 'names']"
SparseSeriesFixed,4,,1,,,,,,,3,CapitalizedWords,"['sparse', 'series', 'fixed']"
test_from_tuples,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'from', 'tuples']"
test_join_append_timedeltas,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'join', 'append', 'timedeltas']"
test_agg_ser_multi_key,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'agg', 'ser', 'multi', 'key']"
second,94,,,,,,30,,,64,lowercase,['second']
expanding_std,1,,,,,,,,,1,lower_case_with_underscores,"['expanding', 'std']"
is_re,4,1,,,,,,,,3,lower_case_with_underscores,"['is', 're']"
write_file,2,1,,,,,,,,1,lower_case_with_underscores,"['write', 'file']"
_skip_on_messages,2,,,,,,,,,2,lower_case_with_underscores,"['skip', 'on', 'messages']"
mdata,17,,,,,,,,,17,lowercase,['mdata']
itemmask,4,,,,,,,,,4,lowercase,['itemmask']
bench_reindex_index,1,1,,,,,,,,,lower_case_with_underscores,"['bench', 'reindex', 'index']"
errors,30,,,2,,,7,,,21,lowercase,['errors']
group_agg,12,2,,3,,,,,,7,lower_case_with_underscores,"['group', 'agg']"
test_nonexistent_path,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'nonexistent', 'path']"
df_result,2,,,,,,,,,2,lower_case_with_underscores,"['df', 'result']"
