name,all,function def,class def,import,exception,param,keyword,alias,object decl,object,naming_style,words
glob,34,1,,11,,,,,,22,lowercase,['glob']
os,2001,,,187,,,,,,1814,lowercase,['os']
shutil,127,,,42,,,,,,85,lowercase,['shutil']
sys,624,,,123,,,,,,501,lowercase,['sys']
nox,10,,,2,,,,,,8,lowercase,['nox']
append,831,4,,,,2,7,,,818,lowercase,['append']
path,2520,2,,47,,164,13,,,2294,lowercase,['path']
tools,1,,,1,,,,,,,lowercase,['tools']
automation,1,,,1,,,,,,,lowercase,['automation']
release,50,2,,1,,1,1,,,45,lowercase,['release']
pop,195,6,,,,,,,,189,lowercase,['pop']
reuse_existing_virtualenvs,1,,,,,,,,,1,lower_case_with_underscores,"['reuse', 'existing', 'virtualenvs']"
options,542,7,,1,,74,28,,,432,lowercase,['options']
sessions,5,,,3,,,,,,2,lowercase,['sessions']
LOCATIONS,7,,,,,,,,,7,UPPERCASE,"['location', 's']"
REQUIREMENTS,5,,,,,,,,,5,UPPERCASE,"['requirement', 's']"
AUTHORS_FILE,6,,,,,,,,,6,UPPER_CASE_WITH_UNDERSCORES,"['authors', 'file']"
VERSION_FILE,5,,,,,,,,,5,UPPER_CASE_WITH_UNDERSCORES,"['version', 'file']"
run_with_protected_pip,4,1,,,,,,,,3,lower_case_with_underscores,"['run', 'with', 'protected', 'pip']"
session,332,2,,14,,38,54,,,224,lowercase,['session']
arguments,11,,,,,2,,,,9,lowercase,['arguments']
env,134,,,,,12,7,,,115,lowercase,['env']
location,214,,,,,46,6,,,162,lowercase,['location']
virtualenv,52,1,,7,,16,1,,,27,lowercase,['virtualenv']
command,79,,,3,,10,2,,,64,lowercase,['command']
kwargs,422,,,,,154,,,,268,lowercase,['kwargs']
run,164,24,,,,1,,,,139,lowercase,['run']
should_update_common_wheels,2,1,,,,,,,,1,lower_case_with_underscores,"['should', 'update', 'common', 'wheels']"
exists,169,3,,2,,1,,,,163,lowercase,['exists']
cache_last_populated_at,2,,,,,,,,,2,lower_case_with_underscores,"['cache', 'last', 'populated', 'at']"
getmtime,2,,,,,,,,,2,lowercase,['getmtime']
requirements_updated_at,2,,,,,,,,,2,lower_case_with_underscores,"['requirements', 'updated', 'at']"
need_to_repopulate,3,,,,,,,,,3,lower_case_with_underscores,"['need', 'to', 'repopulate']"
rmtree,57,2,,12,,,,,,43,lowercase,['rmtree']
ignore_errors,14,,,,,2,9,,,3,lower_case_with_underscores,"['ignore', 'errors']"
test,13,1,,1,,,,,,11,lowercase,['test']
msg,266,,,,,22,13,,,231,lowercase,['msg']
format,479,2,,,,7,1,,,469,lowercase,['format']
log,117,1,,,,,,,,116,lowercase,['log']
sdist_dir,8,,,,,1,,,,7,lower_case_with_underscores,"['sdist', 'dir']"
join,829,2,,7,,,,,,820,lowercase,['join']
silent,9,,,,,,9,,,,lowercase,['silent']
generated_files,3,,,,,,,,,3,lower_case_with_underscores,"['generated', 'files']"
listdir,29,,,,,,,,,29,lowercase,['listdir']
len,592,,,,,1,,,,591,lowercase,['len']
generated_sdist,2,,,,,,,,,2,lower_case_with_underscores,"['generated', 'sdist']"
posargs,6,,,,,,,,,6,lowercase,['posargs']
python,7,,,,,1,2,,,4,lowercase,['python']
docs,1,1,,,,,,,,,lowercase,['docs']
install,22,3,,11,,,,,,8,lowercase,['install']
get_sphinx_build_command,3,1,,,,,,,,2,lower_case_with_underscores,"['get', 'sphinx', 'build', 'command']"
kind,66,,,,,8,18,,,40,lowercase,['kind']
lint,1,1,,,,,,,,,lowercase,['lint']
args,651,,,,,175,5,,,471,lowercase,['args']
prepare_release,1,1,,,,,,,,,lower_case_with_underscores,"['prepare', 'release']"
version,756,9,,21,,52,92,,,582,lowercase,['version']
get_version_from_arguments,4,1,,,,,,,,3,lower_case_with_underscores,"['get', 'version', 'from', 'arguments']"
error,149,3,,6,2,8,4,,,126,lowercase,['error']
modified_files_in_git,3,1,,,,,,,,2,lower_case_with_underscores,"['modified', 'files', 'in', 'git']"
generate_authors,2,1,,,,,,,,1,lower_case_with_underscores,"['generate', 'authors']"
commit_file,4,1,,,,,,,,3,lower_case_with_underscores,"['commit', 'file']"
message,178,,,4,,24,16,,,134,lowercase,['message']
generate_news,2,1,,,,,,,,1,lower_case_with_underscores,"['generate', 'news']"
update_version_file,3,1,,,,,,,,2,lower_case_with_underscores,"['update', 'version', 'file']"
create_git_tag,2,1,,,,,,,,1,lower_case_with_underscores,"['create', 'git', 'tag']"
next_dev_version,2,,,,,,,,,2,lower_case_with_underscores,"['next', 'dev', 'version']"
