name,all,function_def,class_def,import_module_or_alias,exception,param,keyword,alias,object_decl,object,naming_style
glob,28,,,10,,,,,,18,lowercase
os,1966,,,229,,,,,,1737,lowercase
shutil,120,,,39,,,,,,81,lowercase
sys,874,,,171,,,,,,703,lowercase
pathlib,221,,,90,,,,,,131,lowercase
Path,633,,,66,,,,,,567,CapitalizedWords
typing,704,,,376,,,,,,328,lowercase
Iterator,151,,2,46,,,,,,103,CapitalizedWords
List,969,,1,182,,,,,,786,CapitalizedWords
Tuple,718,,,127,,,,,,591,CapitalizedWords
nox,24,,,2,,,,,,22,lowercase
append,835,6,,,,2,7,,,820,lowercase
path,2531,2,,32,,188,17,,,2292,lowercase
tools,1,,,1,,,,,,,lowercase
release,58,2,,1,,1,1,,,53,lowercase
pop,144,8,,,,,,,,136,lowercase
reuse_existing_virtualenvs,1,,,,,,,,,1,lower_case_with_underscores
options,1110,8,,1,,206,43,,,852,lowercase
sessions,5,,,3,,,,,,2,lowercase
LOCATIONS,7,,,,,,,,,7,UPPERCASE
REQUIREMENTS,7,,,,,,,,,7,UPPERCASE
AUTHORS_FILE,6,,,,,,,,,6,UPPER_CASE_WITH_UNDERSCORES
VERSION_FILE,5,,,,,,,,,5,UPPER_CASE_WITH_UNDERSCORES
run_with_protected_pip,6,1,,,,,,,,5,lower_case_with_underscores
session,449,3,,20,,59,66,,,301,lowercase
Session,24,,1,2,,,,,,21,CapitalizedWords
arguments,20,,,,,3,,,,17,lowercase
str,5170,,,2,,,,,,5168,lowercase
env,147,,,,,11,11,,,125,lowercase
location,297,3,,,,54,8,,,232,lowercase
virtualenv,71,1,,13,,21,1,,,35,lowercase
command,101,,,7,,13,2,,,79,lowercase
run,213,31,,,,,2,,,180,lowercase
silent,9,,,,,,9,,,,lowercase
should_update_common_wheels,2,1,,,,,,,,1,lower_case_with_underscores
exists,164,2,,1,,4,,,,157,lowercase
cache_last_populated_at,2,,,,,,,,,2,lower_case_with_underscores
getmtime,2,,,,,,,,,2,lowercase
requirements_updated_at,2,,,,,,,,,2,lower_case_with_underscores
need_to_repopulate,3,,,,,,,,,3,lower_case_with_underscores
rmtree,40,1,,7,,,,,,32,lowercase
ignore_errors,11,,,,,1,9,,,1,lower_case_with_underscores
bool,1384,,,,,,,,,1384,lowercase
test,16,4,,,,,,,,12,lowercase
msg,275,,,,,21,15,,,239,lowercase
log,109,1,,,,,,,,108,lowercase
sdist_dir,6,,,,,,,,,6,lower_case_with_underscores
join,897,2,,6,,,,,,889,lowercase
generated_files,3,,,,,,,,,3,lower_case_with_underscores
listdir,33,,,,,,,,,33,lowercase
len,738,,,,,4,,,,734,lowercase
generated_sdist,2,,,,,,,,,2,lower_case_with_underscores
posargs,8,,,,,,,,,8,lowercase
python,19,,,,,2,2,,,15,lowercase
docs,20,1,,,,2,1,,,16,lowercase
install,45,5,,23,,,,,,17,lowercase
get_sphinx_build_command,3,1,,,,,,,,2,lower_case_with_underscores
kind,86,,,,,14,33,,,39,lowercase
docs_live,1,1,,,,,,,,,lower_case_with_underscores
name,2260,20,,1,,277,252,,,1710,lowercase
lint,1,1,,,,,,,,,lowercase
args,772,2,,,,198,11,,,561,lowercase
vendoring,1,1,,,,,,,,,lowercase
pinned_requirements,3,1,,,,,,,,2,lower_case_with_underscores
line,671,4,,1,,18,5,,,643,lowercase
splitlines,92,,,,,,,,,92,lowercase
read_text,42,5,,1,,,,,,36,lower_case_with_underscores
keepends,4,,,,,,4,,,,lowercase
one,4,,,,,,,,,4,lowercase
sep,143,,,,,6,2,,,135,lowercase
two,2,,,,,,,,,2,lowercase
partition,30,1,,1,,,,,,28,lowercase
strip,235,,,,,3,4,,,228,lowercase
version,1017,15,,38,,87,174,,,703,lowercase
split,325,5,,1,,,,,,319,lowercase
vendor_txt,4,,,,,,,,,4,lower_case_with_underscores
old_version,5,,,,,,,,,5,lower_case_with_underscores
new_version,4,,,,,,,,,4,lower_case_with_underscores
inner_name,2,,,,,,,,,2,lower_case_with_underscores
inner_version,2,,,,,,,,,2,lower_case_with_underscores
error,203,2,,6,20,14,4,,,157,lowercase
message,337,,,13,,31,54,,,239,lowercase
news_file,2,,,,,,,,,2,lower_case_with_underscores
write_text,228,1,,,,,,,,227,lower_case_with_underscores
commit_file,5,1,,,,,,,,4,lower_case_with_underscores
coverage,1,1,,,,,,,,,lowercase
mkdir,148,,,1,,,,,,147,lowercase
fsdecode,15,1,,3,,,,,,11,lowercase
resolve,62,10,,,,,,,,52,lowercase
prepare_release,1,1,,,,,,,,,lower_case_with_underscores
get_version_from_arguments,4,1,,,,,,,,3,lower_case_with_underscores
modified_files_in_git,3,1,,,,,,,,2,lower_case_with_underscores
generate_authors,2,1,,,,,,,,1,lower_case_with_underscores
generate_news,2,1,,,,,,,,1,lower_case_with_underscores
update_version_file,3,1,,,,,,,,2,lower_case_with_underscores
create_git_tag,2,1,,,,,,,,1,lower_case_with_underscores
next_dev_version,2,,,,,,,,,2,lower_case_with_underscores
get_next_development_version,2,1,,,,,,,,1,lower_case_with_underscores
build_release,1,1,,,,,,,,,lower_case_with_underscores
have_files_in_folder,2,1,,,,,,,,1,lower_case_with_underscores
isolated_temporary_checkout,2,1,,,,,,,,1,lower_case_with_underscores
build_dir,29,,,,,3,2,,,24,lower_case_with_underscores
workdir,12,1,,,,,,,,11,lowercase
tmp_dists,3,,,,,,,,,3,lower_case_with_underscores
build_dists,2,1,,,,,,,,1,lower_case_with_underscores
tmp_dist_paths,2,,,,,,,,,2,lower_case_with_underscores
p,293,1,,,,14,,,,278,b
makedirs,22,,,,,,,,,22,lowercase
exist_ok,7,,,,,1,5,,,1,lower_case_with_underscores
dist,639,1,1,4,,45,6,,,582,lowercase
final,27,1,,,,6,6,,,14,lowercase
zip,42,,,,,,,,,42,lowercase
copy,155,18,,3,,,,,,134,lowercase
has_forbidden_git_untracked_files,2,,,,,,,,,2,lower_case_with_underscores
any,90,,,,,,,,,90,lowercase
startswith,289,,,,,,,,,289,lowercase
untracked_file,2,,,,,,,,,2,lower_case_with_underscores
get_git_untracked_files,2,1,,,,,,,,1,lower_case_with_underscores
produced_dists,4,,,,,,,,,4,lower_case_with_underscores
upload_release,1,1,,,,,,,,,lower_case_with_underscores
distribution_files,5,,,,,,,,,5,lower_case_with_underscores
count,79,,,,,8,3,,,68,lowercase
distfile_names,2,,,,,,,,,2,lower_case_with_underscores
basename,70,,,3,,2,,,,65,lowercase
fn,196,,,,,26,5,,,165,lowercase
expected_distribution_files,2,,,,,,,,,2,lower_case_with_underscores
sorted,134,1,,,,,,,,133,lowercase
setuptools,45,,,44,,,,,,1,lowercase
find_packages,13,,,7,,,,,,6,lower_case_with_underscores
setup,94,2,,43,,,,,,49,lowercase
read,178,12,,,,4,8,,,154,lowercase
rel_path,12,,,,,4,2,,,6,lower_case_with_underscores
here,2,,,,,,,,,2,lowercase
abspath,65,,,1,,,,,,64,lowercase
dirname,130,,,1,,,,,,129,lowercase
open,230,7,,1,,,,,,222,lowercase
fp,120,,,,,2,,,,118,lowercase
get_version,5,2,,,,,,,,3,lower_case_with_underscores
delim,16,,,,,1,1,,,14,lowercase
RuntimeError,37,,,,,,,,,37,CapitalizedWords
long_description,4,,,,,,2,,,2,lower_case_with_underscores
description,63,,,,,14,14,,,35,lowercase
license,7,,,,,,3,,,4,lowercase
classifiers,5,,,,,,3,,,2,lowercase
url,1155,2,,8,,168,50,,,927,lowercase
project_urls,4,,,,,,2,,,2,lower_case_with_underscores
author,16,,,,,,5,,,11,lowercase
author_email,5,,,,,,3,,,2,lower_case_with_underscores
package_dir,9,,,,,,1,,,8,lower_case_with_underscores
packages,235,1,,33,,8,15,,,178,lowercase
where,18,4,,5,,,1,,,8,lowercase
exclude,8,,,,,2,2,,,4,lowercase
package_data,2,,,1,,,1,,,,lower_case_with_underscores
entry_points,26,,,2,,2,9,,,13,lower_case_with_underscores
format,461,9,,,,1,3,,,448,lowercase
version_info,175,,1,,,7,12,,,155,lower_case_with_underscores
zip_safe,3,,,,,,3,,,,lower_case_with_underscores
python_requires,7,,,,,1,5,,,1,lower_case_with_underscores
optparse,65,,,35,,,,,,30,lowercase
re,475,1,,93,,,,,,381,lowercase
textwrap,186,,,43,,,,,,143,lowercase
dedent,179,,,11,,2,2,,,164,lowercase
Dict,340,,1,92,,,,,,247,CapitalizedWords
Iterable,307,,,82,,,,,,225,CapitalizedWords
Optional,1591,,,195,,,,,,1396,CapitalizedWords
Union,467,,,86,,,,,,381,CapitalizedWords
docutils,6,,,6,,,,,,,lowercase
nodes,13,,,3,,,,,,10,lowercase
statemachine,4,,,3,,,,,,1,lowercase
parsers,5,,,2,,,,,,3,lowercase
rst,7,,,2,,,,,,5,lowercase
StringList,2,,,1,,,,,,1,CapitalizedWords
ViewList,5,,,2,,,,,,3,CapitalizedWords
sphinx,2,,,2,,,,,,,lowercase
application,1,,,1,,,,,,,lowercase
Sphinx,2,,,1,,,,,,1,CapitalizedWords
pip,2289,6,,1383,,3,,,,897,lowercase
_internal,928,,,907,,,,,,21,lowercase
cli,100,,,97,,,,,,3,lowercase
cmdoptions,133,,,20,,,,,,113,lowercase
commands,36,,,24,,,,,,12,lowercase
commands_dict,22,,,7,,,,,,15,lower_case_with_underscores
create_command,37,1,,11,,,,,,25,lower_case_with_underscores
req,1045,2,,62,,59,4,,,918,lowercase
req_file,40,,,8,,,,,,32,lower_case_with_underscores
SUPPORTED_OPTIONS,4,,,1,,,,,,3,UPPER_CASE_WITH_UNDERSCORES
PipNewsInclude,2,,1,,,,,,,1,CapitalizedWords
Directive,7,,,1,,,,,,6,CapitalizedWords
required_arguments,6,,,,,,,,,6,lower_case_with_underscores
_is_version_section_title_underline,2,1,,,,,,,,1,lower_case_with_underscores
prev,26,,,,,1,,,,25,lowercase
curr,17,,,,,1,,,,16,lowercase
match,333,2,,,,13,18,,,300,lowercase
_iter_lines_with_refs,2,1,,,,,,,,1,lower_case_with_underscores
lines,355,,,,,18,1,,,336,lowercase
vref,2,,,,,,,,,2,lowercase
replace,201,1,,4,,3,4,,,189,lowercase
source,82,,,,,10,5,,,67,lowercase
input_lines,1,,,,,,,,,1,lower_case_with_underscores
state_machine,3,,,,,,,,,3,lower_case_with_underscores
lineno,58,2,,1,,8,12,,,35,lowercase
input_offset,1,,,,,,,,,1,lower_case_with_underscores
joinpath,382,,,,,,,,,382,lowercase
parent,161,1,,,,11,11,,,138,lowercase
include_lines,4,,,,,,,,,4,lower_case_with_underscores
string2lines,1,,,,,,,,,1,lowercase
encoding,269,2,,2,,27,69,,,169,lowercase
tab_width,1,,,,,,,,,1,lower_case_with_underscores
settings,4,,,,,,,,,4,lowercase
document,8,,,,,,,,,8,lowercase
state,168,4,,,,20,6,,,138,lowercase
convert_whitespace,1,,,,,,1,,,,lower_case_with_underscores
list,274,,,,,,,,,274,lowercase
insert_input,1,,,,,,,,,1,lower_case_with_underscores
Node,37,,2,,,,,,,35,CapitalizedWords
PipCommandUsage,2,,1,,,,,,,1,CapitalizedWords
optional_arguments,3,,,,,,,,,3,lower_case_with_underscores
cmd,112,,,1,,10,1,1,,99,lowercase
cmd_prefix,7,,,,,,,,,7,lower_case_with_underscores
usage,26,,,,,1,2,,,23,lowercase
node,126,,,,,4,2,,,120,lowercase
literal_block,1,,,,,,,,,1,lower_case_with_underscores
PipCommandDescription,2,,1,,,,,,,1,CapitalizedWords
paragraph,5,,,,,,,,,5,lowercase
desc,5,,,,,,,,,5,lowercase
nested_parse,3,,,,,,,,,3,lower_case_with_underscores
PipOptions,5,,1,,,,,,,4,CapitalizedWords
_format_option,2,1,,,,,,,,1,lower_case_with_underscores
option,150,,,,,32,4,,,114,lowercase
Option,130,,,1,,,,,,129,CapitalizedWords
cmd_name,22,,,,,2,2,,,18,lower_case_with_underscores
bookmark_line,2,,,,,,,,,2,lower_case_with_underscores
