name,all,function_def,class_def,import_module_or_alias,exception,param,keyword,alias,object_decl,object,naming_style
not_in_shortlist,6,,,,,,,,,6,lower_case_with_underscores
TernaryIf,1,,,,,,,,,1,CapitalizedWords
head_bias,7,,,,,,3,,,4,lower_case_with_underscores
forward_model,6,,,,,,,,,6,lower_case_with_underscores
idx_size,14,,,,,,,,,14,lower_case_with_underscores
second_order_sh,2,,,,,,,,,2,lower_case_with_underscores
get_type_check,6,6,,,,,,,,,lower_case_with_underscores
test_zero_grad,1,1,,,,,,,,,lower_case_with_underscores
test_foo,1,1,,,,,,,,,lower_case_with_underscores
MKLSpatialBNTest,1,,1,,,,,,,,CapitalizedWords
template_shape_v,5,,,,,,,,,5,lower_case_with_underscores
test_for,1,1,,,,,,,,,lower_case_with_underscores
test_free_deep_graph,1,1,,,,,,,,,lower_case_with_underscores
INTERPROCESS,2,,,,,,,,,2,UPPERCASE
MergeIdLists,4,,1,,,,,,,3,CapitalizedWords
_worker_fun,3,,,,,,,,,3,lower_case_with_underscores
_direct_initialize_inputs,2,1,,,,,,,,1,lower_case_with_underscores
string_types,20,,,3,,,,,,17,lower_case_with_underscores
test_lengths_to_weights,1,1,,,,,,,,,lower_case_with_underscores
test_script_optional_other_none,2,1,,,,,,,,1,lower_case_with_underscores
other_device,2,,,,,,,,,2,lower_case_with_underscores
filter_unique_options,5,2,,,,,,,,3,lower_case_with_underscores
with_reset,2,,,,,,,,,2,lower_case_with_underscores
stararg_expr,3,,,,,,,,,3,lower_case_with_underscores
dnnlowp_test_utils,19,,,19,,,,,,,lower_case_with_underscores
binomial30,3,,,,,,,,,3,lowercase
errors,15,,,,,,2,,,13,lowercase
test_has_examples,1,1,,,,,,,,,lower_case_with_underscores
test_verify_graph_inequality_harder,1,1,,,,,,,,,lower_case_with_underscores
attention_t_prev,3,,,,,,,,,3,lower_case_with_underscores
test_shuffle,1,1,,,,,,,,,lower_case_with_underscores
weak_script_fn_inner,3,1,,,,,,,,2,lower_case_with_underscores
start_frame,3,,,,,,,,,3,lower_case_with_underscores
inv_stdev_bc,2,,,,,,,,,2,lower_case_with_underscores
verify_num_params,6,1,,,,,,,,5,lower_case_with_underscores
n_iter,16,,,,,,,,,16,lower_case_with_underscores
bias_params,7,,,,,,,,,7,lower_case_with_underscores
test_gamma_sample,1,1,,,,,,,,,lower_case_with_underscores
test_selu_inplace,1,1,,,,,,,,,lower_case_with_underscores
wrong_attr_lookup,1,1,,,,,,,,,lower_case_with_underscores
ref_sparse,14,7,,,,,,,,7,lower_case_with_underscores
prev_output,20,,,,,,,,,20,lower_case_with_underscores
golden,2,,,,,,,,,2,lowercase
_init_impl,2,1,,,,,,,,1,lower_case_with_underscores
projection,8,,,,,,,,,8,lowercase
test_reciprocal,2,2,,,,,,,,,lower_case_with_underscores
fileobject_lambdas,2,,,,,,,,,2,lower_case_with_underscores
second_arg_raw,3,,,,,,,,,3,lower_case_with_underscores
testGPUDense,4,3,,,,,,,,1,mixedCase
TestCaffe2End2End,1,,1,,,,,,,,CapitalizedWords
build_Num,1,1,,,,,,,,,camel_Snake_Case
TestMomentumSgd,1,,1,,,,,,,,CapitalizedWords
tensors2,12,,,,,,,,,12,lowercase
tensors1,2,,,,,,,,,2,lowercase
_test_memory_stats_generator,6,1,,,,,,,,5,lower_case_with_underscores
lstm_reference,3,1,,,,,,,,2,lower_case_with_underscores
support_onnx_import,1,,,,,,,,,1,lower_case_with_underscores
dict_representer,2,1,,,,,,,,1,lower_case_with_underscores
excs,3,,,,,,,,,3,lowercase
constant_tensor_sub,2,1,,,,,,,,1,lower_case_with_underscores
testSubOpAtLeaf,1,1,,,,,,,,,mixedCase
ref_lars,2,1,,,,,,,,1,lower_case_with_underscores
tensors_,1,,,,,,,,,1,lowercase
unpack,29,,,,,,1,,,28,lowercase
test_no_grad_modifies_version,1,1,,,,,,,,,lower_case_with_underscores
fwd_in,2,,,,,,,,,2,lower_case_with_underscores
data_original,2,,,,,,,,,2,lower_case_with_underscores
translate_formal,2,1,,,,,,,,1,lower_case_with_underscores
grid_out,4,,,,,,,,,4,lower_case_with_underscores
should_build_ib,2,1,,,,,,,,1,lower_case_with_underscores
_setup_target,1,,,,,,,,,1,lower_case_with_underscores
Lt,1,,,,,,,,,1,CapitalizedWords
input_proto,2,,,,,,,,,2,lower_case_with_underscores
test_empty_slice,1,1,,,,,,,,,lower_case_with_underscores
i_t,18,,,,,,,,,18,lower_case_with_underscores
absolute,10,,,,,,,,,10,lowercase
LE,2,,,,,,,,,2,UPPERCASE
cudnn_compatible,4,,,,,,,,,4,lower_case_with_underscores
LT,9,,,,,,,,,9,UPPERCASE
LU,5,,,,,,,,,5,UPPERCASE
LR,87,,,,,,6,,,81,UPPERCASE
out_options,2,,,,,,,,,2,lower_case_with_underscores
test_rsub,1,1,,,,,,,,,lower_case_with_underscores
NUM_ELEMENTS,8,,,,,,,,,8,UPPER_CASE_WITH_UNDERSCORES
seq_hidden,2,,,,,,,,,2,lower_case_with_underscores
in_group,6,,,,,,,,,6,lower_case_with_underscores
_process_next_batch,3,1,,,,,,,,2,lower_case_with_underscores
attention_logits_t_exp,3,,,,,,,,,3,lower_case_with_underscores
cudaStreamGetPriority,1,,,,,,,,,1,mixedCase
p_scale_tril,2,,,,,,,,,2,lower_case_with_underscores
test_independent_expand,1,1,,,,,,,,,lower_case_with_underscores
