name,all,function def,class def,import,exception,param,keyword,alias,object decl,object,naming_style,words
print_function,5,,,5,,,,,,,lower_case_with_underscores,"['print', 'function']"
sys,668,,,205,,,,,,463,lowercase,['sys']
version_info,41,,,1,,,,,,40,lower_case_with_underscores,"['version', 'info']"
print,1236,1,,,,,,,,1235,lowercase,['print']
exit,81,3,,,,,1,,,77,lowercase,['exit']
platform,136,,,12,,12,1,,,111,lowercase,['platform']
bit_length,4,,,,,,,,,4,lower_case_with_underscores,"['bit', 'length']"
maxsize,18,,,3,,,2,1,,12,lowercase,['maxsize']
python_min_version,4,,,,,,,,,4,lower_case_with_underscores,"['python', 'min', 'version']"
python_min_version_str,3,,,,,,,,,3,lower_case_with_underscores,"['python', 'min', 'version', 'str']"
join,1122,5,,6,,2,7,,,1102,lowercase,['join']
map,135,,,,,,,,,135,lowercase,['map']
str,4481,,,,,4,8,,,4469,lowercase,['str']
format,3203,2,,,,5,10,,,3186,lowercase,['format']
python_version,14,,,,,,1,,,13,lower_case_with_underscores,"['python', 'version']"
setuptools,14,,,8,,,,,,6,lowercase,['setuptools']
setup,114,20,,4,,8,12,,,70,lowercase,['setup']
Extension,8,,,1,,,,,,7,CapitalizedWords,['extension']
find_packages,2,,,1,,,,,,1,lower_case_with_underscores,"['find', 'packages']"
collections,286,,,183,,1,,,,102,lowercase,['collections']
defaultdict,140,,,41,,,,,,99,lowercase,['defaultdict']
distutils,34,,,18,,,,,,16,lowercase,['distutils']
core,3425,,,507,,,,3,,2915,lowercase,['core']
Distribution,56,,1,25,,,,,,30,CapitalizedWords,['distribution']
errors,34,,,1,,2,2,,,29,lowercase,['errors']
DistutilsArgError,2,,,1,,,,,,1,CapitalizedWords,"['distutils', 'arg', 'error']"
command,88,,,4,,10,,,,74,lowercase,['command']
build_ext,15,,1,3,,,,,,11,lower_case_with_underscores,"['build', 'ext']"
install,11,1,1,1,,,,,,8,lowercase,['install']
clean,8,,1,1,,,,,,6,lowercase,['clean']
sysconfig,19,,,5,,,,,,14,lowercase,['sysconfig']
filecmp,2,,,1,,,,,,1,lowercase,['filecmp']
shutil,124,,,44,,,,,,80,lowercase,['shutil']
subprocess,201,,,47,,,,,,154,lowercase,['subprocess']
os,1966,,,266,,1,1,,,1698,lowercase,['os']
json,103,,,35,,,1,,,67,lowercase,['json']
glob,121,1,,21,,2,1,,,96,lowercase,['glob']
importlib,44,,,18,,,,,,26,lowercase,['importlib']
tools,123,,,122,,,,,,1,lowercase,['tools']
build_pytorch_libs,2,,,2,,,,,,,lower_case_with_underscores,"['build', 'pytorch', 'libs']"
build_caffe2,5,1,,2,,,,,,2,lower_case_with_underscores,"['build', 'caffe2']"
setup_helpers,5,,,5,,,,,,,lower_case_with_underscores,"['setup', 'helpers']"
env,246,1,1,5,,20,27,,,192,lowercase,['env']
IS_WINDOWS,175,,,35,,,,,,140,UPPER_CASE_WITH_UNDERSCORES,"['is', 'windows']"
IS_DARWIN,6,,,2,,,,,,4,UPPER_CASE_WITH_UNDERSCORES,"['is', 'darwin']"
IS_LINUX,3,,,1,,,,,,2,UPPER_CASE_WITH_UNDERSCORES,"['is', 'linux']"
check_env_flag,5,1,,1,,,,,,3,lower_case_with_underscores,"['check', 'env', 'flag']"
build_type,6,,,2,,,,,,4,lower_case_with_underscores,"['build', 'type']"
cmake,17,,,4,,1,2,,,10,lowercase,['cmake']
CMake,11,,1,2,,,,,,8,CapitalizedWords,"['c', 'make']"
generate_torch_version,1,,,1,,,,,,,lower_case_with_underscores,"['generate', 'torch', 'version']"
get_torch_version,4,1,,1,,,,,,2,lower_case_with_underscores,"['get', 'torch', 'version']"
VERBOSE_SCRIPT,3,,,,,,,,,3,UPPER_CASE_WITH_UNDERSCORES,"['verbose', 'script']"
RUN_BUILD_DEPS,3,,,,,,,,,3,UPPER_CASE_WITH_UNDERSCORES,"['run', 'build', 'deps']"
EMIT_BUILD_WARNING,3,,,,,,,,,3,UPPER_CASE_WITH_UNDERSCORES,"['emit', 'build', 'warning']"
RERUN_CMAKE,3,,,,,,,,,3,UPPER_CASE_WITH_UNDERSCORES,"['rerun', 'cmake']"
CMAKE_ONLY,4,,,,,,,,,4,UPPER_CASE_WITH_UNDERSCORES,"['cmake', 'only']"
filtered_args,4,,,,,,,,,4,lower_case_with_underscores,"['filtered', 'args']"
i,6912,1,,,,261,10,,,6640,b,['i']
arg,999,,,,,61,17,,,921,lowercase,['arg']
enumerate,610,,,,,,,,,610,lowercase,['enumerate']
argv,65,,,,,7,3,,,55,lowercase,['argv']
append,2787,9,,,,1,4,,,2773,lowercase,['append']
report,45,2,,,,1,,,,42,lowercase,['report']
args,4192,2,,,,786,589,,1,2814,lowercase,['args']
cwd,24,,,,,1,14,,,9,lowercase,['cwd']
dirname,195,,,1,,1,,,,193,lowercase,['dirname']
path,1586,,,15,,60,18,,,1493,lowercase,['path']
abspath,63,,,1,,4,,,,58,lowercase,['abspath']
lib_path,4,,,,,,,,,4,lower_case_with_underscores,"['lib', 'path']"
third_party_path,10,,,,,,,,,10,lower_case_with_underscores,"['third', 'party', 'path']"
caffe2_build_dir,1,,,,,,,,,1,lower_case_with_underscores,"['caffe2', 'build', 'dir']"
rel_site_packages,2,,,,,,,,,2,lower_case_with_underscores,"['rel', 'site', 'packages']"
get_python_lib,6,,,1,,,,,,5,lower_case_with_underscores,"['get', 'python', 'lib']"
prefix,535,,,,,106,51,,,378,lowercase,['prefix']
full_site_packages,1,,,,,,,,,1,lower_case_with_underscores,"['full', 'site', 'packages']"
cmake_python_library,11,,,,,2,2,,,7,lower_case_with_underscores,"['cmake', 'python', 'library']"
get_config_var,7,,,,,,,,,7,lower_case_with_underscores,"['get', 'config', 'var']"
exists,151,,,,,,3,,,148,lowercase,['exists']
base_prefix,1,,,,,,,,,1,lower_case_with_underscores,"['base', 'prefix']"
cmake_python_include_dir,1,,,,,,,,,1,lower_case_with_underscores,"['cmake', 'python', 'include', 'dir']"
get_python_inc,3,,,,,,,,,3,lower_case_with_underscores,"['get', 'python', 'inc']"
package_name,10,,,,,,,,,10,lower_case_with_underscores,"['package', 'name']"
getenv,94,,,,,,,,,94,lowercase,['getenv']
version,378,2,,8,,37,28,,,303,lowercase,['version']
build_deps,2,1,,,,,,,,1,lower_case_with_underscores,"['build', 'deps']"
check_file,12,2,,,,,,,,10,lower_case_with_underscores,"['check', 'file']"
