name,all,function_def,class_def,import_module_or_alias,exception,param,keyword,alias,object_decl,object,naming_style
SENTRY_USE_QUEUE,1,,,,,,,,,1,UPPER_CASE_WITH_UNDERSCORES
test_over_max,1,1,,,,,,,,,lower_case_with_underscores
_get_cache,2,1,,,,,,,,1,lower_case_with_underscores
HTTP_REFERER,2,,,,,,2,,,,UPPER_CASE_WITH_UNDERSCORES
all_callees,1,,,,,,,,,1,lower_case_with_underscores
test_tags_out_of_bounds,1,1,,,,,,,,,lower_case_with_underscores
dst_col,42,,,,,,36,,,6,lower_case_with_underscores
bookmark_set__user,1,,,,,,1,,,,lower_case_with_underscores
encoded_data,3,,,,,,,,,3,lower_case_with_underscores
prefix,20,,,,,,8,,,12,lowercase
sleep,2,,,,,,,,,2,lowercase
key__in,3,,,,,,3,,,,lower_case_with_underscores
HTTP_ORIGIN,2,,,,,,2,,,,UPPER_CASE_WITH_UNDERSCORES
at_lineno,8,,,,,,,,,8,lower_case_with_underscores
make_request,5,1,,,,,,,,4,lower_case_with_underscores
findall,1,,,,,,,,,1,lowercase
app_or_default,2,,,1,,,,,,1,lower_case_with_underscores
patcher,5,,,1,,,,,,4,lowercase
method_decorator,3,,,1,,,,,,2,lower_case_with_underscores
cmdclass,1,,,,,,1,,,,lowercase
search_users,2,1,,,,,,,,1,lower_case_with_underscores
segments,2,,,,,,,,,2,lowercase
pprint,1,1,,,,,,,,,lowercase
value_len,3,,,,,,,,,3,lower_case_with_underscores
ChangePasswordRecoverForm,4,,1,1,,,,,,2,CapitalizedWords
DEFAULT_ALERT_PROJECT_THRESHOLD,5,,,2,,,,,,3,UPPER_CASE_WITH_UNDERSCORES
is_set,2,1,,,,,,,,1,lower_case_with_underscores
preprocess,1,,,,,,,,,1,lowercase
api_key,7,,,,,,1,,,6,lower_case_with_underscores
spec,13,,,,,,13,,,,lowercase
normalized_datetime,5,,,,,,,,,5,lower_case_with_underscores
groupcountbyminute,1,,,1,,,,,,,lowercase
text_template,6,,,,,,2,,,4,lower_case_with_underscores
rel,6,,,,,,,,,6,lowercase
assertEqual,12,,,,,,,,,12,mixedCase
get_template,1,,,,,,,,,1,lower_case_with_underscores
pre_save,3,,,1,,,,,,2,lower_case_with_underscores
next_filename,5,,,,,,,,,5,lower_case_with_underscores
tostring,1,,,,,,,,,1,lowercase
updates,21,,,,,,,,,21,lowercase
test_foo_hasnt_changed_on_init,1,1,,,,,,,,,lower_case_with_underscores
ProcessDataTimestampTest,1,,1,,,,,,,,CapitalizedWords
SitesPlugin,2,,1,,,,,,,1,CapitalizedWords
SkinnyQuerySet,2,,1,,,,,,,1,CapitalizedWords
html_logo,1,,,,,,,,,1,lower_case_with_underscores
parse_date,4,1,,1,,,,,,2,lower_case_with_underscores
render_values,1,1,,,,,,,,,lower_case_with_underscores
group_event_list_json,2,1,,,,,,,,1,lower_case_with_underscores
stacktrace,48,,,,,,1,,,47,lowercase
csrf_exempt,20,,,1,,,,,,19,lower_case_with_underscores
grouptag__project,2,,,,,,2,,,,lower_case_with_underscores
decorated_raise_exc,2,1,,,,,,,,1,lower_case_with_underscores
test_does_fire_jobs,1,1,,,,,,,,,lower_case_with_underscores
mail,20,,,6,,,,,,14,lowercase
StoreView,3,,1,,,,,,,2,CapitalizedWords
all_teams,4,,,,,,,,,4,lower_case_with_underscores
second,3,,,,,,3,,,,lowercase
Version,6,,,,,,,2,,4,CapitalizedWords
allow_any,2,,,,,,,,,2,lower_case_with_underscores
n,34,,,,,,,,,34,b
get_initial_form_data,2,1,,,,,,,,1,lower_case_with_underscores
expressions,2,,,2,,,,,,,lowercase
get_auth_providers,7,1,,2,,,,,,4,lower_case_with_underscores
NewTeamProjectTest,1,,1,,,,,,,,CapitalizedWords
errors,14,,,,,,1,,,13,lowercase
needs_auth,2,1,,,,,,,,1,lower_case_with_underscores
eventlet,3,,,2,,,,,,1,lowercase
test_frozenset,1,1,,,,,,,,,lower_case_with_underscores
selected,2,,,,,,,,,2,lowercase
exclude_patterns,1,,,,,,,,,1,lower_case_with_underscores
ptr,4,,,,,,,,,4,lowercase
test_valid_token,1,1,,,,,,,,,lower_case_with_underscores
attach_foreignkey,5,1,,2,,,,,,2,lower_case_with_underscores
new,6,,1,,,,,,,5,lowercase
model_list,2,,,,,,,,,2,lower_case_with_underscores
post_delete,6,,,3,,,,,,3,lower_case_with_underscores
med,2,,,,,,,,,2,lowercase
widget,43,1,1,,,,27,,,14,lowercase
test_requires_filename,1,1,,,,,,,,,lower_case_with_underscores
groupbookmark,1,,,1,,,,,,,lowercase
db_for_write,2,,,,,,,,,2,lower_case_with_underscores
error,27,2,,,,,,,,25,lowercase
min_date,6,,,,,,,,,6,lower_case_with_underscores
rollback_unless_managed,2,,,,,,,,,2,lower_case_with_underscores
to_email_html,10,2,,,,,,,,8,lower_case_with_underscores
_fixture_teardown,1,1,,,,,,,,,lower_case_with_underscores
path,331,57,,11,,,,,,263,lowercase
StoreEventTest,1,,1,,,,,,,,CapitalizedWords
placeholder,4,,,,,,2,,,2,lowercase
GroupEventListTest,1,,1,,,,,,,,CapitalizedWords
LRUCache,2,,1,,,,,,,1,CapitalizedWords
the_date,6,,,,,,,,,6,lower_case_with_underscores
use_for_related_fields,2,,,,,,,,,2,lower_case_with_underscores
__post_delete,2,1,,,,,,,,1,lower_case_with_underscores
test_init_sets_attrs,1,1,,,,,,,,,lower_case_with_underscores
test_timestamp_as_iso,1,1,,,,,,,,,lower_case_with_underscores
reverse_dependency,2,,,,,,1,,,1,lower_case_with_underscores
items,13,,,,,,,,,13,lowercase
k,126,,,,,,,,,126,b
mygroups,5,,,,,,,,,5,lowercase
symmetrical,7,,,,,,,,,7,lowercase
get_stacktrace,17,2,,,,,,,,15,lower_case_with_underscores
func_std_string,3,,,1,,,,,,2,lower_case_with_underscores
_depth,3,,,,,,,,,3,lowercase
