name,all,function_def,class_def,import_module_or_alias,exception,param,keyword,alias,object_decl,object,naming_style
sendRef,4,,,,,,,,,4,mixedCase
trainLogisticRegressionModelWithSGD,1,,,,,,,,,1,mixedCase
parseNeighbors,2,1,,,,,,,,1,mixedCase
_collect_iterator_through_file,3,1,,,,,,,,2,lower_case_with_underscores
slave_group,15,,,,,,,,,15,lower_case_with_underscores
UsageError,3,,1,,,,,,,2,CapitalizedWords
TypeType,3,,,,,,,,,3,CapitalizedWords
ebs_vol_size,2,,,,,,,,,2,lower_case_with_underscores
sleep,10,,,,,,,,,10,lowercase
template_vars,3,,,,,,,,,3,lower_case_with_underscores
findall,1,,,,,,,,,1,lowercase
const,4,,,,,,,,,4,lowercase
_extract_concise_traceback,2,1,,,,,,,,1,lower_case_with_underscores
django_settings_load,2,1,,,,,,,,1,lower_case_with_underscores
imap,3,,,1,,,,,,2,lowercase
swap,1,,,,,,,,,1,lowercase
dest_dir,3,,,,,,,,,3,lower_case_with_underscores
accum,6,,,,,,,,,6,lowercase
SocketServer,3,,,1,,,,,,2,CapitalizedWords
save_function_tuple,3,1,,,,,,,,2,lower_case_with_underscores
LogisticRegressionWithSGD,1,,1,,,,,,,,CapitalizedWords
replication,6,,,,,,,,,6,lowercase
tostring,4,,,,,,,,,4,lowercase
num,13,,,,,,,,,13,lowercase
ArrayList,1,,,,,,,,,1,CapitalizedWords
cmd,13,,,,,,,,,13,lowercase
shlex,2,,,1,,,,,,1,lowercase
_java_model,4,,,,,,,,,4,lower_case_with_underscores
_batch_appends,1,,,,,,,,,1,lower_case_with_underscores
DELETE_GLOBAL,2,,,,,,,,,2,UPPER_CASE_WITH_UNDERSCORES
boto,4,,,3,,,,,,1,lowercase
filtered_data,3,,,,,,,,,3,lower_case_with_underscores
continue_maybe,5,1,,,,,,,,4,lower_case_with_underscores
reduceByKeyLocally,1,1,,,,,,,,,mixedCase
new,4,,,1,,,,,,3,lowercase
java_model,2,,,,,,,,,2,lower_case_with_underscores
cart,2,,,,,,,,,2,lowercase
trainALSModel,1,,,,,,,,,1,mixedCase
active,2,,,,,,,,,2,lowercase
path,65,,,2,,,,,,63,lowercase
environment,7,,,,,,,,,7,lowercase
items,14,,,,,,,,,14,lowercase
k,59,,,,,,,,,59,b
JavaGateway,2,,,1,,,,,,1,CapitalizedWords
spark_local_dirs,3,,,,,,,,,3,lower_case_with_underscores
slices,9,,,,,,,,,9,lowercase
_test,16,8,,,,,,,,8,lowercase
asJavaRDD,1,,,,,,,,,1,mixedCase
replace,5,,,,,,,,,5,lowercase
RELEASE_VERSION,4,,,,,,,,,4,UPPER_CASE_WITH_UNDERSCORES
counts,5,,,,,,,,,5,lowercase
total,8,,,,,,,,,8,lowercase
getrecursionlimit,2,,,,,,,,,2,lowercase
GPG_CMD,5,,,,,,,,,5,UPPER_CASE_WITH_UNDERSCORES
m1,8,,,,,,,,,8,lowercase
m2,12,,,,,,,,,12,lowercase
type,32,,,,,,5,,,27,lowercase
tell,1,,,,,,,,,1,lowercase
heappop,1,,,1,,,,,,,lowercase
cPickle,3,,,1,,,,,,2,mixedCase
isatty,2,,,,,,,,,2,lowercase
mergeCombiners,4,1,,,,,,,,3,mixedCase
HTTPError,1,,,,,,,,,1,CapitalizedWords
unpack,3,,,,,,,,,3,lowercase
sampleStdev,3,2,,,,,,,,1,mixedCase
launch_group,1,,,,,,1,,,,lower_case_with_underscores
word,2,,,,,,,,,2,lowercase
tempDist,6,,,,,,,,,6,mixedCase
mu,17,,,,,,,,,17,lowercase
ms,9,,,,,,,,,9,lowercase
co_names,3,,,,,,,,,3,lower_case_with_underscores
