name,all,function def,class def,import,exception,param,keyword,alias,object decl,object,naming_style,words
sendRef,4,,,,,,,,,4,mixedCase,"['send', 'ref']"
req,2,,,,,,,,,2,lowercase,['req']
parseNeighbors,2,1,,,,,,,,1,mixedCase,"['parse', 'neighbors']"
_collect_iterator_through_file,4,1,,,,,,,,3,lower_case_with_underscores,"['collect', 'iterator', 'through', 'file']"
slave_group,15,,,,,,,,,15,lower_case_with_underscores,"['slave', 'group']"
UsageError,3,,1,,,,,,,2,CapitalizedWords,"['usage', 'error']"
TypeType,3,,,,,,,,,3,CapitalizedWords,"['type', 'type']"
ebs_vol_size,2,,,,,,,,,2,lower_case_with_underscores,"['ebs', 'vol', 'size']"
OutputFormatTests,1,,1,,,,,,,,CapitalizedWords,"['output', 'format', 'tests']"
prefix,5,,,,,,,,,5,lowercase,['prefix']
_scala_HiveContext,3,,,,,,,,,3,camel_Snake_Case,"['scala', 'hivecontext']"
sleep,21,1,,,,,,,,20,lowercase,['sleep']
template_vars,7,,,,,,,,,7,lower_case_with_underscores,"['template', 'vars']"
findall,9,,,,,,,,,9,lowercase,['findall']
str_list,10,,,,,,,,,10,lower_case_with_underscores,"['str', 'list']"
const,3,,,,,,,,,3,lowercase,['const']
find_components,2,1,,,,,,,,1,lower_case_with_underscores,"['find', 'components']"
pprint,4,1,,,,,,,,3,lowercase,['pprint']
django_settings_load,2,1,,,,,,,,1,lower_case_with_underscores,"['django', 'settings', 'load']"
imap,9,,,3,,,,,,6,lowercase,['imap']
element_converter,2,,,,,,,,,2,lower_case_with_underscores,"['element', 'converter']"
swap,1,,,,,,,,,1,lowercase,['swap']
MAX_FILE,4,,,,,,,,,4,UPPER_CASE_WITH_UNDERSCORES,"['max', 'file']"
dest_dir,3,,,,,,,,,3,lower_case_with_underscores,"['dest', 'dir']"
accum,6,,,,,,,,,6,lowercase,['accum']
java_model,2,,,,,,,,,2,lower_case_with_underscores,"['java', 'model']"
registerAsTable,2,1,,,,,,,,1,mixedCase,"['register', 'as', 'table']"
raw_commits,2,,,,,,,,,2,lower_case_with_underscores,"['raw', 'commits']"
getppid,1,,,,,,,,,1,lowercase,['getppid']
save_function_tuple,3,1,,,,,,,,2,lower_case_with_underscores,"['save', 'function', 'tuple']"
LogisticRegressionWithSGD,7,,1,3,,,,,,3,CapitalizedWords,"['logistic', 'regression', 'with', 'sg', 'd']"
replication,7,,,,,,,,,7,lowercase,['replication']
tostring,9,,,,,,,,,9,lowercase,['tostring']
special,1,,,1,,,,,,,lowercase,['special']
getLocalDir,1,,,,,,,,,1,mixedCase,"['get', 'local', 'dir']"
ArrayList,1,,,,,,,,,1,CapitalizedWords,"['array', 'list']"
cmd,25,,,,,,,,,25,lowercase,['cmd']
