name,all,function_def,class_def,import_module_or_alias,exception,param,keyword,alias,object_decl,object,naming_style
io,8,,,3,,,,,,5,lowercase
json,435,,,61,,,19,12,,343,lowercase
os,57,,,14,,,,,,43,lowercase
subprocess,8,,,3,,,,,,5,lowercase
sys,10,,,6,,,,,,4,lowercase
setuptools,1,,,1,,,,,,,lowercase
find_packages,2,,,1,,,,,,1,lower_case_with_underscores
setup,2,,,1,,,,,,1,lowercase
version_info,3,,,,,,,,,3,lower_case_with_underscores
exit,1,,,,,,,,,1,lowercase
BASE_DIR,11,,,,,,,,,11,UPPER_CASE_WITH_UNDERSCORES
abspath,3,,,,,,,,,3,lowercase
path,50,,,1,,3,,,,46,lowercase
dirname,4,,,,,,,,,4,lowercase
PACKAGE_JSON,2,,,,,,,,,2,UPPER_CASE_WITH_UNDERSCORES
join,88,,,1,,,,,,87,lowercase
open,22,,,,,,,,,22,lowercase
package_file,2,,,,,,,,,2,lower_case_with_underscores
version_string,5,,,,,,,,,5,lower_case_with_underscores
load,4,,,,,,,,,4,lowercase
encoding,10,,,,,,10,,,,lowercase
f,100,,,,,7,,,,93,b
long_description,3,,,,,,1,,,2,lower_case_with_underscores
read,6,,,,,,,,,6,lowercase
get_git_sha,2,1,,,,,,,,1,lower_case_with_underscores
s,115,,,,,12,1,,,102,b
check_output,1,,,,,,,,,1,lower_case_with_underscores
strip,21,,,,,,,,,21,lowercase
decode,17,,,,,1,2,,,14,lowercase
Exception,224,,,,,,,,,224,CapitalizedWords
GIT_SHA,3,,,,,,,,,3,UPPER_CASE_WITH_UNDERSCORES
print,108,,,,,,,,,108,lowercase
VERSION_INFO_FILE,4,,,,,,,,,4,UPPER_CASE_WITH_UNDERSCORES
version_file,2,,,,,,,,,2,lower_case_with_underscores
dump,1,,,,,,,,,1,lowercase
name,356,5,,,,17,38,,,296,lowercase
description,63,,,,,,24,,,39,lowercase
long_description_content_type,1,,,,,,1,,,,lower_case_with_underscores
version,9,1,,2,,2,2,,,2,lowercase
packages,1,,,,,,1,,,,lowercase
include_package_data,1,,,,,,1,,,,lower_case_with_underscores
zip_safe,1,,,,,,1,,,,lower_case_with_underscores
scripts,1,,,,,,1,,,,lowercase
install_requires,1,,,,,,1,,,,lower_case_with_underscores
extras_require,1,,,,,,1,,,,lower_case_with_underscores
python_requires,1,,,,,,1,,,,lower_case_with_underscores
author,4,,,,,,1,,,3,lowercase
author_email,1,,,,,,1,,,,lower_case_with_underscores
url,230,4,,5,,9,7,,,205,lowercase
download_url,1,,,,,,1,,,,lower_case_with_underscores
classifiers,1,,,,,,1,,,,lowercase
get_env_variable,8,1,,,,,,,,7,lower_case_with_underscores
var_name,3,,,,,1,,,,2,lower_case_with_underscores
default,106,1,,,,3,90,,,12,lowercase
environ,14,,,,,1,,,,13,lowercase
KeyError,5,,,,,,,,,5,CapitalizedWords
error_msg,12,,,,,,2,,,10,lower_case_with_underscores
format,330,,,,,,3,,,327,lowercase
EnvironmentError,1,,,,,,,,,1,CapitalizedWords
POSTGRES_USER,2,,,,,,,,,2,UPPER_CASE_WITH_UNDERSCORES
POSTGRES_PASSWORD,2,,,,,,,,,2,UPPER_CASE_WITH_UNDERSCORES
POSTGRES_HOST,2,,,,,,,,,2,UPPER_CASE_WITH_UNDERSCORES
POSTGRES_PORT,2,,,,,,,,,2,UPPER_CASE_WITH_UNDERSCORES
POSTGRES_DB,2,,,,,,,,,2,UPPER_CASE_WITH_UNDERSCORES
SQLALCHEMY_DATABASE_URI,4,,,,,,,,,4,UPPER_CASE_WITH_UNDERSCORES
REDIS_HOST,3,,,,,,,,,3,UPPER_CASE_WITH_UNDERSCORES
REDIS_PORT,3,,,,,,,,,3,UPPER_CASE_WITH_UNDERSCORES
CeleryConfig,8,,4,,,,,,,4,CapitalizedWords
object,33,,,,,,,,,33,lowercase
BROKER_URL,7,,,,,,,,,7,UPPER_CASE_WITH_UNDERSCORES
CELERY_IMPORTS,4,,,,,,,,,4,UPPER_CASE_WITH_UNDERSCORES
CELERY_RESULT_BACKEND,2,,,,,,,,,2,UPPER_CASE_WITH_UNDERSCORES
CELERY_ANNOTATIONS,4,,,,,,,,,4,UPPER_CASE_WITH_UNDERSCORES
CELERY_TASK_PROTOCOL,1,,,,,,,,,1,UPPER_CASE_WITH_UNDERSCORES
CELERY_CONFIG,3,,,,,,,,,3,UPPER_CASE_WITH_UNDERSCORES
shlex,1,,,1,,,,,,,lowercase
sphinx_rtd_theme,2,,,1,,,,,,1,lower_case_with_underscores
extensions,3,,,,,,1,,,2,lowercase
templates_path,1,,,,,,,,,1,lower_case_with_underscores
source_suffix,1,,,,,,,,,1,lower_case_with_underscores
master_doc,4,,,,,,,,,4,lower_case_with_underscores
project,1,,,,,,,,,1,lowercase
copyright,1,,,,,,,,,1,lowercase
language,1,,,,,,,,,1,lowercase
exclude_patterns,1,,,,,,,,,1,lower_case_with_underscores
pygments_style,1,,,,,,,,,1,lower_case_with_underscores
todo_include_todos,1,,,,,,,,,1,lower_case_with_underscores
html_theme,1,,,,,,,,,1,lower_case_with_underscores
html_theme_path,1,,,,,,,,,1,lower_case_with_underscores
get_html_theme_path,1,,,,,,,,,1,lower_case_with_underscores
html_theme_options,1,,,,,,,,,1,lower_case_with_underscores
html_static_path,1,,,,,,,,,1,lower_case_with_underscores
html_show_sourcelink,1,,,,,,,,,1,lower_case_with_underscores
html_show_sphinx,1,,,,,,,,,1,lower_case_with_underscores
html_show_copyright,1,,,,,,,,,1,lower_case_with_underscores
htmlhelp_basename,1,,,,,,,,,1,lower_case_with_underscores
latex_elements,1,,,,,,,,,1,lower_case_with_underscores
latex_documents,1,,,,,,,,,1,lower_case_with_underscores
man_pages,1,,,,,,,,,1,lower_case_with_underscores
texinfo_documents,1,,,,,,,,,1,lower_case_with_underscores
collections,12,,,11,,,,,,1,lowercase
defaultdict,11,,,5,,,,,,6,lowercase
superset,450,,,450,,,,,,,lowercase
sm,31,,,1,,,,,,30,lowercase
cleanup_permissions,2,1,,,,,,,,1,lower_case_with_underscores
pvms,17,,,,,,,,,17,lowercase
all,124,,,,,,,,,124,lowercase
query,755,5,,,,23,9,,,718,lowercase
get_session,27,,,,,,,,,27,lower_case_with_underscores
permissionview_model,11,,,,,,,,,11,lower_case_with_underscores
len,276,,,,,,,,,276,lowercase
pvms_dict,3,,,,,,,,,3,lower_case_with_underscores
list,103,,,,,,,,,103,lowercase
pvm,44,,,,,8,,,,36,lowercase
append,205,,,,,,,,,205,lowercase
permission,45,,,,,,2,,,43,lowercase
view_menu,89,,,,,9,4,,,76,lower_case_with_underscores
duplicates,3,,,,,,,,,3,lowercase
v,98,,,,,1,,,,97,b
values,101,,,,,3,11,,,87,lowercase
pvm_list,3,,,,,,,,,3,lower_case_with_underscores
first_prm,3,,,,,,,,,3,lower_case_with_underscores
roles,33,,,,,,,,,33,lowercase
set,123,,,,,,,,,123,lowercase
role,40,,,,,1,2,,,37,lowercase
union,2,,,,,,,,,2,lowercase
delete,55,1,,,,,,,,54,lowercase
commit,202,,,,,,,,,202,lowercase
role_model,1,,,,,,,,,1,lower_case_with_underscores
permissions,39,,,,,1,,,,38,lowercase
p,49,,,,,1,,,,48,b
r,37,,,,,,1,,,36,b
logging,283,,,49,,,,,,234,lowercase
datetime,246,,,87,,,,,,159,lowercase
Popen,3,,,1,,,,,,2,CapitalizedWords
stdout,4,,,1,,,1,,,2,lowercase
click,25,,,1,,,,,,24,lowercase
yaml,13,,,4,,,,,,9,lowercase
colorama,2,,,2,,,,,,,lowercase
Fore,15,,,2,,,,,,13,CapitalizedWords
Style,7,,,2,,,,,,5,CapitalizedWords
flask,40,,,38,,,,,,2,lowercase
g,100,,,16,,1,,,,83,b
flask_appbuilder,75,,,75,,,,,,,lower_case_with_underscores
Model,43,,,11,,,,,,32,CapitalizedWords
pathlib2,1,,,1,,,,,,,lowercase
Path,5,,,2,,,,,,3,CapitalizedWords
app,239,,,42,,3,1,,,193,lowercase
appbuilder,75,,,16,,,,,,59,lowercase
db,709,,,92,,6,5,,,606,lowercase
examples,25,,,3,,,,,,22,lowercase
security_manager,309,,,31,,,,,,278,lower_case_with_underscores
common,6,,,6,,,,,,,lowercase
tags,24,,,9,,1,,,,14,lowercase
add_favorites,3,1,,1,,,,,,1,lower_case_with_underscores
add_owners,3,1,,1,,,,,,1,lower_case_with_underscores
add_types,3,1,,1,,,,,,1,lower_case_with_underscores
utils,375,,,107,,,,32,,236,lowercase
core,127,,,126,,,,,,1,lowercase
dashboard_import_export,5,,,2,,,,,,3,lower_case_with_underscores
dict_import_export,5,,,2,,,,,,3,lower_case_with_underscores
config,261,,,9,,4,1,,,247,lowercase
celery_app,15,,,3,,,,3,,9,lower_case_with_underscores
get_celery_app,4,1,,1,,,,,,2,lower_case_with_underscores
create_app,1,1,,,,,,,,,lower_case_with_underscores
script_info,1,,,,,1,,,,,lower_case_with_underscores
make_shell_context,1,1,,,,,,,,,lower_case_with_underscores
dict,112,,,,,,,,,112,lowercase
shell_context_processor,1,,,,,,,,,1,lower_case_with_underscores
init,2,1,,,,,,,,1,lowercase
get_example_database,54,1,,10,,,,,,43,lower_case_with_underscores
add_permissions,1,,,,,,,,,1,lower_case_with_underscores
update_perms,2,,,,,,2,,,,lower_case_with_underscores
sync_role_definitions,3,1,,,,,,,,2,lower_case_with_underscores
command,15,,,,,,,,,15,lowercase
cli,19,,,1,,,,,,18,lowercase
verbose,2,,,,,1,,,,1,lowercase
BLUE,4,,,,,,,,,4,UPPERCASE
YELLOW,2,,,,,,,,,2,UPPERCASE
CYAN,5,,,,,,,,,5,UPPERCASE
get,891,3,,,,,,,,888,lowercase
engine,156,,,23,,6,1,,,126,lowercase
RESET_ALL,5,,,,,,,,,5,UPPER_CASE_WITH_UNDERSCORES
option,28,,,,,,,,,28,lowercase
is_flag,12,,,,,,12,,,,lower_case_with_underscores
help,24,,,,,,24,,,,lowercase
load_examples_run,2,1,,,,,,,,1,lower_case_with_underscores
load_test_data,4,,,,,2,,,,2,lower_case_with_underscores
only_metadata,46,,,,,16,,,,30,lower_case_with_underscores
force,87,,,,,24,26,,,37,lowercase
examples_db,8,,,,,,,,,8,lower_case_with_underscores
load_css_templates,4,1,,1,,,,,,2,lower_case_with_underscores
load_energy,4,1,,1,,,,,,2,lower_case_with_underscores
load_world_bank_health_n_pop,6,1,,2,,,,,,3,lower_case_with_underscores
