name,all,function def,class def,import,exception,param,keyword,alias,object decl,object,case_convention,words
steps_b,8,,,,,,,,,8,lower_case_with_underscores,"['steps', 'b']"
steps_a,13,,,,,,,,,13,lower_case_with_underscores,"['steps', 'a']"
test_local_one_minus_erf,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'local', 'one', 'minus', 'erf']"
extraopts,5,,,,,,,,,5,lowercase,['extraopts']
merging_node,27,,,,,,,,,27,lower_case_with_underscores,"['merging', 'node']"
output_var,23,,,,,,,,,23,lower_case_with_underscores,"['output', 'var']"
test_gemm_vector_vector,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'gemm', 'vector', 'vector']"
v_isfinite,2,,,,,,,,,2,lower_case_with_underscores,"['v', 'isfinite']"
o_cls,1,,,,,,,,,1,lower_case_with_underscores,"['o', 'cls']"
four,7,,,,,,,,,7,lowercase,['four']
prefix,44,,,,,,16,,,28,lowercase,['prefix']
scipy_imported,7,,,,,,,,,7,lower_case_with_underscores,"['scipy', 'imported']"
vartype,3,,,,,,,,,3,lowercase,['vartype']
output_val,35,,,,,,,,,35,lower_case_with_underscores,"['output', 'val']"
identical_seqs,3,,,,,,,,,3,lower_case_with_underscores,"['identical', 'seqs']"
toInsert,10,,,,,,,,,10,mixedCase,"['to', 'insert']"
inner_ins,15,,,,,,,,,15,lower_case_with_underscores,"['inner', 'ins']"
get_inp_idx,2,1,,,,,,,,1,lower_case_with_underscores,"['get', 'inp', 'idx']"
local_gpu_elemwise,1,1,,,,,,,,,lower_case_with_underscores,"['local', 'gpu', 'elemwise']"
std_include_dirs,4,1,,1,,,,,,2,lower_case_with_underscores,"['std', 'include', 'dirs']"
regularize,5,,,,,,1,,,4,lowercase,['regularize']
test_dot_allocs_0,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'dot', 'allocs', '0']"
time_start,3,,,,,,,,,3,lower_case_with_underscores,"['time', 'start']"
_set_stride,3,,,,,,,,,3,lower_case_with_underscores,"['set', 'stride']"
transpose_inplace,8,1,,,,,,,,7,lower_case_with_underscores,"['transpose', 'inplace']"
test_reciprocal,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'reciprocal']"
only_connected_to_nan,3,,,,,,,,,3,lower_case_with_underscores,"['only', 'connected', 'to', 'nan']"
no_default_updates,57,,,,,,45,,,12,lower_case_with_underscores,"['no', 'default', 'updates']"
v_eh0,6,,,,,,,,,6,lower_case_with_underscores,"['v', 'eh0']"
x_indptr,9,,,,,,,,,9,lower_case_with_underscores,"['x', 'indptr']"
getMessage,1,,,,,,,,,1,mixedCase,"['get', 'message']"
i_idx_list,18,,,,,,,,,18,lower_case_with_underscores,"['i', 'idx', 'list']"
BlasOp,5,,1,,,,,,,4,CapitalizedWords,"['blas', 'op']"
GpuShape,3,,1,1,,,,,,1,CapitalizedWords,"['gpu', 'shape']"
speed_elemwise_collapse2,1,1,,,,,,,,,lower_case_with_underscores,"['speed', 'elemwise', 'collapse2']"
SpecifiedRegressionLayer,2,,1,,,,,,,1,CapitalizedWords,"['specified', 'regression', 'layer']"
non_vector_sum,3,,,,,,,,,3,lower_case_with_underscores,"['non', 'vector', 'sum']"
steps_return,4,,,,,,,,,4,lower_case_with_underscores,"['steps', 'return']"
GpuGemvTester,1,,,,,,,,,1,CapitalizedWords,"['gpu', 'gemv', 'tester']"
T_value,5,,,,,,,,,5,ugly,"['t', 'value']"
TestMakeThunk,1,,1,,,,,,,,CapitalizedWords,"['test', 'make', 'thunk']"
pl_name,6,,,,,,,,,6,lower_case_with_underscores,"['pl', 'name']"
_testDS,3,1,,,,,,,,2,mixedCase,"['test', 'd', 's']"
pshape,8,,,,,,,,,8,lowercase,['pshape']
res_ref,29,,,,,,,,,29,lower_case_with_underscores,"['res', 'ref']"
node_pos,3,,,,,,,,,3,lower_case_with_underscores,"['node', 'pos']"
test_multiple_references,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'multiple', 'references']"
tensor_x,4,,,,,,,,,4,lower_case_with_underscores,"['tensor', 'x']"
local_fill_to_alloc,1,1,,,,,,,,,lower_case_with_underscores,"['local', 'fill', 'to', 'alloc']"
stop_v_,6,,,,,,,,,6,lower_case_with_underscores,"['stop', 'v']"
test_pydotprint_return_image,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'pydotprint', 'return', 'image']"
allvals,3,,,,,,,,,3,lowercase,['allvals']
ValueAttribute,2,,1,,,,,,,1,CapitalizedWords,"['value', 'attribute']"
x_vec,5,,,,,,,,,5,lower_case_with_underscores,"['x', 'vec']"
destination_file,5,,,,,,,,,5,lower_case_with_underscores,"['destination', 'file']"
key_pkl,32,,,,,,1,,,31,lower_case_with_underscores,"['key', 'pkl']"
p_step,2,,,,,,,,,2,lower_case_with_underscores,"['p', 'step']"
dot_vm,1,,,,,,1,,,,lower_case_with_underscores,"['dot', 'vm']"
op_flops,5,,,,,,,,,5,lower_case_with_underscores,"['op', 'flops']"
fout,6,,,,,,,,,6,lowercase,['fout']
loop_line2,2,,,,,,,,,2,lower_case_with_underscores,"['loop', 'line2']"
targs,2,,,,,,,,,2,lowercase,['targs']
_generate_kernel_init,2,1,,,,,,,,1,lower_case_with_underscores,"['generate', 'kernel', 'init']"
p_y,12,,,,,,,,,12,lower_case_with_underscores,"['p', 'y']"
test_incsubtensor_allocs0,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'incsubtensor', 'allocs0']"
test_incsubtensor_allocs1,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'incsubtensor', 'allocs1']"
local_incsubtensor_of_zeros,1,1,,,,,,,,,lower_case_with_underscores,"['local', 'incsubtensor', 'of', 'zeros']"
test_true_div,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'true', 'div']"
max_ndim,6,,,,,,,,,6,lower_case_with_underscores,"['max', 'ndim']"
get_shape_info,9,6,,,,,,,,3,lower_case_with_underscores,"['get', 'shape', 'info']"
i_name,1,,,,,,,,,1,lower_case_with_underscores,"['i', 'name']"
fm12,2,,,,,,,,,2,lowercase,['fm12']
input_values,13,,,,,,,,,13,lower_case_with_underscores,"['input', 'values']"
clear_output,2,,,,,,,,,2,lower_case_with_underscores,"['clear', 'output']"
ylen,4,,,,,,,,,4,lowercase,['ylen']
set_nodes,3,,,,,,,,,3,lower_case_with_underscores,"['set', 'nodes']"
allow_partial,6,,,,,,4,,,2,lower_case_with_underscores,"['allow', 'partial']"
LogInplaceTester,1,,,,,,,,,1,CapitalizedWords,"['log', 'inplace', 'tester']"
shape_grad,2,,,,,,,,,2,lower_case_with_underscores,"['shape', 'grad']"
new_val,9,,,,,,,,,9,lower_case_with_underscores,"['new', 'val']"
mtype2,2,,,,,,,,,2,lowercase,['mtype2']
basecompiledir_ls,1,1,,,,,,,,,lower_case_with_underscores,"['basecompiledir', 'ls']"
test_subtensor_of_constant,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'subtensor', 'of', 'constant']"
permute_fixed,10,5,,,,,,,,5,lower_case_with_underscores,"['permute', 'fixed']"
inputIdx,19,,,,,,1,,,18,mixedCase,"['input', 'idx']"
test_nobatch,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'nobatch']"
outer_dot_output,7,,,,,,,,,7,lower_case_with_underscores,"['outer', 'dot', 'output']"
here,4,,,,,,,,,4,lowercase,['here']
Subtensor,132,,1,4,,,,,,127,CapitalizedWords,['subtensor']
typenames,3,,,,,,,,,3,lowercase,['typenames']
test_CSMGrad,1,1,,,,,,,,,ugly,"['test', 'csmgrad']"
MatrixPinv,4,,1,2,,,,,,1,CapitalizedWords,"['matrix', 'pinv']"
clone_with_new_inputs,4,1,,,,,,,,3,lower_case_with_underscores,"['clone', 'with', 'new', 'inputs']"
visref,3,,,,,,,,,3,lowercase,['visref']
p_1,28,,,,,,,,,28,lower_case_with_underscores,"['p', '1']"
generic_constructor,1,1,,,,,,,,,lower_case_with_underscores,"['generic', 'constructor']"
x2len,2,,,,,,,,,2,lowercase,['x2len']
thunk_group,1,,,,,,,,,1,lower_case_with_underscores,"['thunk', 'group']"
GpuArrayConstant,5,,1,2,,,,,,2,CapitalizedWords,"['gpu', 'array', 'constant']"
k,571,,,,,,3,,,568,b,['k']
belongs_to_set,4,1,,,,,,,,3,lower_case_with_underscores,"['belongs', 'to', 'set']"
Arctan2InplaceTester,1,,,,,,,,,1,CapitalizedWords,"['arctan2', 'inplace', 'tester']"
ComplexError,8,,1,2,,,,,,5,CapitalizedWords,"['complex', 'error']"
first_num_ct,3,,,,,,,,,3,lower_case_with_underscores,"['first', 'num', 'ct']"
theano_dump1,1,,,,,,,,,1,lower_case_with_underscores,"['theano', 'dump1']"
theano_dump2,1,,,,,,,,,1,lower_case_with_underscores,"['theano', 'dump2']"
test_softmax_optimizations_w_bias,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'softmax', 'optimizations', 'w', 'bias']"
check_file,3,,,,,,,,,3,lower_case_with_underscores,"['check', 'file']"
exc2,2,,,,,,,,,2,lowercase,['exc2']
divide,1,,,,,,1,,,,lowercase,['divide']
pure_outs,3,,,,,,,,,3,lower_case_with_underscores,"['pure', 'outs']"
unif,6,,,,,,,,,6,lowercase,['unif']
replace,143,1,,,,,39,,,103,lowercase,['replace']
inner_out_nitsot,4,,,,,,,,,4,lower_case_with_underscores,"['inner', 'out', 'nitsot']"
test_compute_mul,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'compute', 'mul']"
fgraph_updated_vars,2,1,,,,,,,,1,lower_case_with_underscores,"['fgraph', 'updated', 'vars']"
unis,20,,,,,,,,,20,lowercase,['unis']
struct_gen,2,1,,,,,,,,1,lower_case_with_underscores,"['struct', 'gen']"
uniq,16,1,,,,,,,,15,lowercase,['uniq']
thunk_node_list,2,,,,,,,,,2,lower_case_with_underscores,"['thunk', 'node', 'list']"
old_file_contents,2,,,,,,,,,2,lower_case_with_underscores,"['old', 'file', 'contents']"
_theanoclass_container,4,,,,,,,,,4,lower_case_with_underscores,"['theanoclass', 'container']"
function_maker,2,2,,,,,,,,,lower_case_with_underscores,"['function', 'maker']"
exp_info,3,,,,,,,,,3,lower_case_with_underscores,"['exp', 'info']"
parent_version,6,,,,,,,,,6,lower_case_with_underscores,"['parent', 'version']"
sparse_dtype,22,,,,,,,,,22,lower_case_with_underscores,"['sparse', 'dtype']"
start_plus_len,3,,,,,,,,,3,lower_case_with_underscores,"['start', 'plus', 'len']"
offending_op,2,1,,,,,,,,1,lower_case_with_underscores,"['offending', 'op']"
test_stride_manipulation,1,1,,,,,,,,,lower_case_with_underscores,"['test', 'stride', 'manipulation']"
n_shared_outs,56,,,,,,1,,,55,lower_case_with_underscores,"['n', 'shared', 'outs']"
emitted_inames,14,,,,,,,,,14,lower_case_with_underscores,"['emitted', 'inames']"
tokenize,11,,,2,,,,,,9,lowercase,['tokenize']
candidate_inputs,3,,,,,,,,,3,lower_case_with_underscores,"['candidate', 'inputs']"
until,13,,2,1,,,,,,10,lowercase,['until']
data_vector,3,,,,,,,,,3,lower_case_with_underscores,"['data', 'vector']"
