name,all,function_def,class_def,import_module_or_alias,exception,param,keyword,alias,object_decl,object,naming_style
absolute_import,401,,,401,,,,,,,lower_case_with_underscores
print_function,403,,,403,,,,,,,lower_case_with_underscores
division,400,,,400,,,,,,,lowercase
os,584,,,76,,,,,,508,lowercase
subprocess,37,,,10,,,,,,27,lowercase
codecs,3,,,1,,,,,,2,lowercase
fnmatch,5,,,3,,,,,,2,lowercase
fnmatchcase,2,,,1,,,,,,1,lowercase
distutils,26,,,10,,,,,,16,lowercase
util,4,,,2,,,,,,2,lowercase
convert_path,2,,,1,,,,,,1,lower_case_with_underscores
setuptools,1,,,1,,,,,,,lowercase
setup,6,3,,2,,,,,,1,lowercase
ImportError,116,,,,,,,,,116,CapitalizedWords
core,3,,,1,,,,,,2,lowercase
CLASSIFIERS,4,,,,,,,,,4,UPPERCASE
NAME,2,,,,,,,,,2,UPPERCASE
MAINTAINER,1,,,,,,,,,1,UPPERCASE
MAINTAINER_EMAIL,1,,,,,,,,,1,UPPER_CASE_WITH_UNDERSCORES
DESCRIPTION,2,,,,,,,,,2,UPPERCASE
LONG_DESCRIPTION,2,,,,,,,,,2,UPPER_CASE_WITH_UNDERSCORES
read,29,,,,,,2,,,27,lowercase
open,96,,,,,,,,,96,lowercase
encoding,18,,,,,2,11,,,5,lowercase
URL,2,,,,,,,,,2,UPPERCASE
DOWNLOAD_URL,1,,,,,,,,,1,UPPER_CASE_WITH_UNDERSCORES
LICENSE,2,,,,,,,,,2,UPPERCASE
_f,5,,,,,,,,,5,b
split,156,1,,,,,,,,155,lowercase
AUTHOR,2,,,,,,,,,2,UPPERCASE
AUTHOR_EMAIL,2,,,,,,,,,2,UPPER_CASE_WITH_UNDERSCORES
PLATFORMS,2,,,,,,,,,2,UPPERCASE
MAJOR,2,,,,,,,,,2,UPPERCASE
MINOR,2,,,,,,,,,2,UPPERCASE
MICRO,2,,,,,,,,,2,UPPERCASE
SUFFIX,2,,,,,,,,,2,UPPERCASE
ISRELEASED,2,,,,,,,,,2,UPPERCASE
VERSION,4,,,,,,,,,4,UPPERCASE
find_packages,2,1,,,,,,,,1,lower_case_with_underscores
where,20,,,,,1,,,,19,lowercase
exclude,30,,,,,2,6,,,22,lowercase
out,2279,,,,,172,24,,,2083,lowercase
stack,69,1,,1,,,,,,67,lowercase
prefix,47,,,,,3,18,,,26,lowercase
pop,92,1,,,,,,,,91,lowercase
name,2458,,,,,573,669,,,1216,lowercase
listdir,20,,,,,,,,,20,lowercase
fn,628,29,,,,35,66,,,498,lowercase
join,517,1,,3,,,,,,513,lowercase
path,471,,,7,,8,,,,456,lowercase
isdir,15,,,,,,,,,15,lowercase
isfile,7,,,,,,,,,7,lowercase
append,1277,1,,,,,,,,1276,lowercase
pat,2,,,,,,,,,2,lowercase
list,810,,,,,,,,,810,lowercase
item,88,,,,,15,,,,73,lowercase
git_version,2,1,,,,,,,,1,lower_case_with_underscores
_minimal_ext_cmd,2,1,,,,,,,,1,lower_case_with_underscores
cmd,45,,,,,2,,,,43,lowercase
env,9,,,,,1,1,,,7,lowercase
k,662,,,,,28,3,,,631,b
v,1752,,,,,82,3,,,1667,b
get,160,1,,,,,,,,159,lowercase
environ,27,,,,,,,,,27,lowercase
communicate,7,,,,,,,,,7,lowercase
Popen,8,,,1,,,,,,7,CapitalizedWords
stdout,69,,,1,,2,10,,,56,lowercase
PIPE,17,,,1,,,,,,16,UPPERCASE
git_revision,4,,,,,,,,,4,lower_case_with_underscores
decode,14,2,,2,,,,,,10,lowercase
strip,34,,,,,,,,,34,lowercase
OSError,29,,,,,,,,,29,CapitalizedWords
write_text,2,1,,,,,,,,1,lower_case_with_underscores
filename,72,,,,,12,,,,60,lowercase
text,10,,,,,1,,,,9,lowercase
a,4019,1,,,,392,12,,,3614,b
write,52,3,,,,,1,,,48,lowercase
e,696,,,,119,3,,,,574,b
Exception,358,,,,,,,,,358,CapitalizedWords
print,1389,,,,,,,,,1389,lowercase
write_version_py,2,1,,,,,,,,1,lower_case_with_underscores
cnt,2,,,,,,,,,2,lowercase
FULL_VERSION,3,,,,,,,,,3,UPPER_CASE_WITH_UNDERSCORES
GIT_REVISION,5,,,,,,,,,5,UPPER_CASE_WITH_UNDERSCORES
exists,48,,,,,,,,,48,lowercase
str,918,1,,,,1,4,,,912,lowercase
do_setup,2,1,,,,,,,,1,lower_case_with_underscores
version,290,1,,4,,18,41,1,,225,lowercase
description,10,,,,,1,2,,,7,lowercase
long_description,1,,,,,,1,,,,lower_case_with_underscores
classifiers,1,,,,,,1,,,,lowercase
author,1,,,,,,1,,,,lowercase
author_email,1,,,,,,1,,,,lower_case_with_underscores
url,9,,,,,,1,,,8,lowercase
license,1,,,,,,1,,,,lowercase
platforms,1,,,,,,1,,,,lowercase
packages,1,,,,,,1,,,,lowercase
install_requires,1,,,,,,1,,,,lower_case_with_underscores
extras_require,1,,,,,,1,,,,lower_case_with_underscores
package_data,1,,,,,,1,,,,lower_case_with_underscores
entry_points,1,,,,,,1,,,,lower_case_with_underscores
keywords,1,,,,,,1,,,,lowercase
logging,181,,,70,,,,,,111,lowercase
sys,421,,,80,,,,,,341,lowercase
platform,58,,,2,,,,,,56,lowercase
config_for_theano_cache_script,2,,,,,,,,,2,lower_case_with_underscores
theano_flags,5,,,,,,,,,5,lower_case_with_underscores
theano,9445,,,2062,,,,,,7383,lowercase
config,2720,,,127,,,1,,,2592,lowercase
gof,1197,,,299,,,,,,898,lowercase
compiledir,54,,,1,,,,,,53,lowercase
cc,24,,,4,,,,,,20,lowercase
get_module_cache,9,2,,1,,,,,,6,lower_case_with_underscores
_logger,270,,,,,,,,,270,lowercase
getLogger,80,,,,,,,,,80,mixedCase
print_help,5,1,,,,,,,,4,lower_case_with_underscores
exit_status,7,,,,,1,4,,,2,lower_case_with_underscores
argv,75,,,,,3,1,,,71,lowercase
exit,17,,,1,,,1,,,15,lowercase
main,53,7,,5,,1,,,,40,lowercase
len,2495,,,,,,,,,2495,lowercase
cache,64,,,,,,,,,64,lowercase
init_args,10,,,,,2,3,,,5,lower_case_with_underscores
dict,513,,,,,,,,,513,lowercase
do_refresh,4,,,,,1,2,,,1,lower_case_with_underscores
clear,5,3,,,,,,,,2,lowercase
unversioned_min_age,3,,,,,1,1,,,1,lower_case_with_underscores
clear_base_files,5,1,,,,1,1,,,2,lower_case_with_underscores
delete_if_problem,10,,,,,3,3,,,4,lower_case_with_underscores
items,83,,,,,,,,,83,lowercase
sorted,59,,,,,,,,,59,lowercase
dirname,103,,,1,,3,,,,99,lowercase
startswith,167,,,,,,,,,167,lowercase
warning,49,1,,,,,,,,48,lowercase
debug,89,,,,,3,4,,,82,lowercase
print_compiledir_content,2,1,,,,,,,,1,lower_case_with_underscores
cleanup,20,1,,,,2,3,,,14,lowercase
clear_old,4,1,,,,,,,,3,lower_case_with_underscores
force_unlock,2,1,,,,,,,,1,lower_case_with_underscores
compilelock,15,,,7,,,,,,8,lowercase
compiledir_purge,2,1,,,,,,,,1,lower_case_with_underscores
base_compiledir,6,,,,,,,,,6,lower_case_with_underscores
basecompiledir_ls,2,1,,,,,,,,1,lower_case_with_underscores
basecompiledir_purge,2,1,,,,,,,,1,lower_case_with_underscores
nose,121,,,117,,,,,,4,lowercase
textwrap,20,,,7,,,,,,13,lowercase
plugins,104,,,94,,,2,,,8,lowercase
Plugin,2,,,1,,,,,,1,CapitalizedWords
main_function,2,1,,,,,,,,1,lower_case_with_underscores
i,4105,,,,,134,25,,,3946,b
index,228,,,,,12,3,,,213,lowercase
device,58,,,,,2,2,,,54,lowercase
ValueError,766,,,,,,,,,766,CapitalizedWords
batch_args,7,,,,,,,,,7,lower_case_with_underscores
arg,146,,,,,3,,,,143,lowercase
remove,125,2,,2,,3,9,,,109,lowercase
batch_size,127,,,,,5,9,,,113,lower_case_with_underscores
warn,253,3,,,,3,28,,,219,lowercase
batch_arg,2,,,,,,,,,2,lower_case_with_underscores
elems,3,,,,,,,,,3,lowercase
int,308,,,,,,2,,,306,lowercase
display_batch_output,8,,,,,2,1,,,5,lower_case_with_underscores
AssertionError,106,,,,,,,,,106,CapitalizedWords
time_prof_args,4,,,,,,,,,4,lower_case_with_underscores
tests,220,,,171,,,,,,49,lowercase
run_tests_in_batch,2,,,1,,,,,,1,lower_case_with_underscores
theano_nose,11,,,,,2,1,,,8,lower_case_with_underscores
realpath,14,,,,,,,,,14,lowercase
time_profile,5,,,,,2,1,,,2,lower_case_with_underscores
bool,68,,,,,,6,,,62,lowercase
addplugins,6,,,,,,1,,,5,lowercase
numpy,6062,,,305,,,2,,1,5754,lowercase
testing,36,,,15,,,,,,21,lowercase
noseclasses,3,,,3,,,,,,,lowercase
KnownFailure,4,,,2,,,,,,2,CapitalizedWords
DisabDocString,2,,1,,,,,,,1,CapitalizedWords
ret,502,2,,,,,,,,500,lowercase
TypeError,872,,,,,,,,,872,CapitalizedWords
message,40,,,,,4,9,,,27,lowercase
help,22,1,,,,,16,,,5,lowercase
help_msg,2,,,,,,,,,2,lower_case_with_underscores
dedent,17,,,2,,,,,,15,lowercase
result,225,1,,,,,,,,224,lowercase
enabled,7,,,,,,,,,7,lowercase
score,6,,,,,,,,,6,lowercase
lower,72,,,,,7,25,,,40,lowercase
enableOpt,4,,,,,,,,,4,mixedCase
replace,157,1,,,,7,37,,,112,lowercase
options,58,1,,,,4,,,,53,lowercase
parser,25,,,,,1,,,,24,lowercase
env_opt,3,,,,,,,,,3,lower_case_with_underscores
upper,12,,,,,,,,,12,lowercase
add_option,12,,,,,,,,,12,lower_case_with_underscores
action,30,,,,,,16,,,14,lowercase
dest,70,,,,,3,12,,,55,lowercase
default,85,,,1,,13,17,,,54,lowercase
configure,1,1,,,,,,,,,lowercase
conf,14,,,,,1,,,,13,lowercase
getattr,410,,,,,,,,,410,lowercase
describeTest,1,1,,,,,,,,,mixedCase
test,28,12,,,,2,,,,14,lowercase
theano_path,2,,,,,,,,,2,lower_case_with_underscores
pardir,3,,,,,,,,,3,lowercase
abspath,13,,,,,,,,,13,lowercase
extensions,3,,,,,,,,,3,lowercase
todo_include_todos,1,,,,,,,,,1,lower_case_with_underscores
napoleon_google_docstring,1,,,,,,,,,1,lower_case_with_underscores
napoleon_include_special_with_doc,1,,,,,,,,,1,lower_case_with_underscores
sphinx,4,,,3,,,,,,1,lowercase
ext,4,,,2,,,,,,2,lowercase
imgmath,1,,,1,,,,,,,lowercase
pngmath,1,,,1,,,,,,,lowercase
templates_path,1,,,,,,,,,1,lower_case_with_underscores
source_suffix,1,,,,,,,,,1,lower_case_with_underscores
master_doc,1,,,,,,,,,1,lower_case_with_underscores
project,14,,,,,3,5,,,6,lowercase
copyright,1,,,,,,,,,1,lowercase
release,3,,,,,,,,,3,lowercase
today_fmt,1,,,,,,,,,1,lower_case_with_underscores
exclude_dirs,1,,,,,,,,,1,lower_case_with_underscores
pygments_style,1,,,,,,,,,1,lower_case_with_underscores
sphinx_rtd_theme,2,,,1,,,,,,1,lower_case_with_underscores
html_theme_path,1,,,,,,,,,1,lower_case_with_underscores
get_html_theme_path,1,,,,,,,,,1,lower_case_with_underscores
html_theme,1,,,,,,,,,1,lower_case_with_underscores
app,98,,,,,7,,,,91,lowercase
add_stylesheet,1,,,,,,,,,1,lower_case_with_underscores
html_logo,1,,,,,,,,,1,lower_case_with_underscores
html_static_path,1,,,,,,,,,1,lower_case_with_underscores
html_last_updated_fmt,1,,,,,,,,,1,lower_case_with_underscores
html_use_smartypants,1,,,,,,,,,1,lower_case_with_underscores
htmlhelp_basename,1,,,,,,,,,1,lower_case_with_underscores
linkcode_resolve,1,1,,,,,,,,,lower_case_with_underscores
domain,10,,,,,1,,,,9,lowercase
info,272,2,,,,3,,,,267,lowercase
find_source,2,1,,,,,,,,1,lower_case_with_underscores
obj,267,,,,,33,,,,234,lowercase
modules,5,,,,,,,,,5,lowercase
part,6,,,,,,,,,6,lowercase
inspect,11,,,5,,,,,,6,lowercase
getsourcefile,1,,,,,,,,,1,lowercase
relpath,4,,,,,,,,,4,lowercase
start,316,,,,,4,9,,,303,lowercase
source,17,,,,,6,,,,11,lowercase
lineno,6,,,,,,,,,6,lowercase
getsourcelines,1,,,,,,,,,1,lowercase
tag,359,,,,,18,1,,,340,lowercase
universal_newlines,1,,,,,,1,,,,lower_case_with_underscores
latex_elements,1,,,,,,,,,1,lower_case_with_underscores
latex_documents,1,,,,,,,,,1,lower_case_with_underscores
latex_logo,1,,,,,,,,,1,lower_case_with_underscores
letters,2,,,,,,,,,2,lowercase
shapes,252,,,,,65,,,,187,lowercase
hdr,4,,,,,,,,,4,lowercase
letter,3,,,,,,,,,3,lowercase
shape,2983,,,4,,114,75,,,2790,lowercase
suff,2,,,,,,,,,2,lowercase
s,1294,,,,,72,23,,,1199,b
b,2916,6,,2,,243,11,,,2654,b
time,480,,,34,,,,,,446,lowercase
tensor,6005,1,,554,,,,11,1,5438,lowercase
tt,100,,,,,,,11,,89,lowercase
six,234,,,229,,,,,,5,lowercase
moves,135,,,130,,,,,,5,lowercase
xrange,753,,,87,,,,,,666,lowercase
ifelse,80,1,,16,,,,,,63,lowercase
scalars,74,,,1,,,,,,73,lowercase
x,10764,,,,,795,28,,,9941,b
y,3817,,,,,220,7,,,3590,b
matrices,32,,,2,,,,,,30,lowercase
z_switch,2,,,,,,,,,2,lower_case_with_underscores
switch,125,1,,3,,,,,,121,lowercase
lt,53,1,,2,,,,,,50,lowercase
mean,222,2,,,,8,,,,212,lowercase
z_lazy,2,,,,,,,,,2,lower_case_with_underscores
f_switch,2,,,,,,,,,2,lower_case_with_underscores
function,2468,7,,35,,,,,,2426,lowercase
f_lazyifelse,2,,,,,,,,,2,lower_case_with_underscores
val1,93,,,,,3,2,,,88,lowercase
val2,68,,,,,3,2,,,63,lowercase
