name,all,function_def,class_def,import_module_or_alias,exception,param,keyword,alias,object_decl,object,naming_style
os,134,,,29,,,,,,105,lowercase
shutil,8,,,2,,,,,,6,lowercase
warnings,26,,,10,,,,,,16,lowercase
django,1711,,,1545,,,,,,166,lowercase
pytest_addoption,1,1,,,,,,,,,lower_case_with_underscores
parser,64,,,1,,14,,,,49,lowercase
addoption,3,,,,,,,,,3,lowercase
choices,109,,,,,2,77,,,30,lowercase
default,271,1,,,,2,176,,,92,lowercase
action,117,,,,,28,20,,,69,lowercase
pytest_configure,1,1,,,,,,,,,lower_case_with_underscores
config,49,,,,,6,11,,,32,lowercase
deprecation,16,,,7,,,,,,9,lowercase
getoption,2,,,,,,,,,2,lowercase
only_wagtail,8,,,,,,,,,8,lower_case_with_underscores
simplefilter,5,,,,,,,,,5,lowercase
DeprecationWarning,9,,,,,,,,,9,CapitalizedWords
PendingDeprecationWarning,6,,,,,,,,,6,CapitalizedWords
filterwarnings,6,,,,,,,,,6,lowercase
category,15,,,,,,10,,,5,lowercase
module,14,,,,,,6,,,8,lowercase
environ,32,,,,,,,,,32,lowercase
setdefault,50,,,,,,,,,50,lowercase
setup,9,2,,3,,,,,,4,lowercase
utils,460,,,460,,,,,,,lowercase
translation,131,,,124,,,,,,7,lowercase
activate,5,,,1,,,,,,4,lowercase
wagtail,1336,,,1239,,,,,,97,lowercase
tests,187,,,184,,,,,,3,lowercase
settings,263,1,,88,,,,,,174,lowercase
MEDIA_ROOT,12,,,3,,,,,,9,UPPER_CASE_WITH_UNDERSCORES
STATIC_ROOT,8,,,3,,,,,,5,UPPER_CASE_WITH_UNDERSCORES
rmtree,6,,,,,,,,,6,lowercase
ignore_errors,6,,,,,,6,,,,lower_case_with_underscores
pytest_unconfigure,1,1,,,,,,,,,lower_case_with_underscores
argparse,3,,,2,,,,,,1,lowercase
sys,28,,,8,,,,,,20,lowercase
core,544,,,478,,,,,,66,lowercase
management,28,,,15,,,,,,13,lowercase
execute_from_command_line,4,,,2,,,,,,2,lower_case_with_underscores
make_parser,2,1,,,,,,,,1,lower_case_with_underscores
ArgumentParser,3,,,1,,,,,,2,CapitalizedWords
add_argument,23,,,,,,,,,23,lower_case_with_underscores
parse_args,3,1,,,,,,,,2,lower_case_with_underscores
args,1000,,,,,112,708,,,180,lowercase
parse_known_args,1,,,,,,,,,1,lower_case_with_underscores
runtests,2,1,,,,,,,,1,lowercase
rest,3,,,,,,,,,3,lowercase
postgres,11,,,6,,,,,,5,lowercase
elasticsearch2,5,,,4,,,,,,1,lowercase
elasticsearch5,3,,,2,,,,,,1,lowercase
elasticsearch6,3,,,2,,,,,,1,lowercase
elasticsearch7,2,,,1,,,,,,1,lowercase
bench,4,2,,,,,,,,2,lowercase
benchmarks,2,,,,,,,,,2,lowercase
argv,12,,,,,1,,,,11,lowercase
assets,3,,1,1,,,,,,1,lowercase
sdist,5,,1,3,,,,,,1,lowercase
check_bdist_egg,3,,1,1,,,,,,1,lower_case_with_underscores
setuptools,4,,,4,,,,,,,lowercase
find_packages,2,,,1,,,,,,1,lower_case_with_underscores
ImportError,21,,,,,,,,,21,CapitalizedWords
distutils,1,,,1,,,,,,,lowercase
multiprocessing,1,,,1,,,,,,,lowercase
install_requires,3,,,,,,1,,,2,lower_case_with_underscores
testing_extras,2,,,,,,,,,2,lower_case_with_underscores
documentation_extras,2,,,,,,,,,2,lower_case_with_underscores
name,1303,,,,,83,743,,,477,lowercase
version,36,,,3,,5,1,1,,26,lowercase
description,28,,,,,,16,,,12,lowercase
author,11,,,,,,1,,,10,lowercase
author_email,1,,,,,,1,,,,lower_case_with_underscores
url,634,5,,42,,32,20,,,535,lowercase
packages,1,,,,,,1,,,,lowercase
include_package_data,1,,,,,,1,,,,lower_case_with_underscores
license,1,,,,,,1,,,,lowercase
long_description,1,,,,,,1,,,,lower_case_with_underscores
classifiers,1,,,,,,1,,,,lowercase
extras_require,1,,,,,,1,,,,lower_case_with_underscores
entry_points,1,,,,,,1,,,,lower_case_with_underscores
zip_safe,1,,,,,,1,,,,lower_case_with_underscores
cmdclass,1,,,,,,1,,,,lowercase
datetime,190,,,30,,,,,,160,lowercase
on_rtd,3,,,,,,,,,3,lower_case_with_underscores
get,2246,75,,,,,,,,2171,lowercase
sphinx_rtd_theme,2,,,1,,,,,,1,lower_case_with_underscores
html_theme,1,,,,,,,,,1,lower_case_with_underscores
html_theme_path,1,,,,,,,,,1,lower_case_with_underscores
get_html_theme_path,1,,,,,,,,,1,lower_case_with_underscores
insert,8,,,,,,,,,8,lowercase
path,255,1,,4,,9,14,,,227,lowercase
abspath,4,,,,,,,,,4,lowercase
extensions,2,,,,,,,,,2,lowercase
append,243,,,,,,,,,243,lowercase
templates_path,1,,,,,,,,,1,lower_case_with_underscores
source_suffix,1,,,,,,,,,1,lower_case_with_underscores
master_doc,1,,,,,,,,,1,lower_case_with_underscores
project,1,,,,,,,,,1,lowercase
copyright,1,,,,,,,,,1,lowercase
format,246,,,4,,7,9,,,226,lowercase
year,5,,,,,1,1,,,3,lowercase
now,55,,,,,,,,,55,lowercase
VERSION,19,,,7,,,,,,12,UPPERCASE
release,3,,,,,,,,,3,lowercase
exclude_patterns,1,,,,,,,,,1,lower_case_with_underscores
pygments_style,1,,,,,,,,,1,lower_case_with_underscores
spelling_lang,1,,,,,,,,,1,lower_case_with_underscores
spelling_word_list_filename,1,,,,,,,,,1,lower_case_with_underscores
intersphinx_mapping,1,,,,,,,,,1,lower_case_with_underscores
html_logo,1,,,,,,,,,1,lower_case_with_underscores
html_favicon,1,,,,,,,,,1,lower_case_with_underscores
html_static_path,1,,,,,,,,,1,lower_case_with_underscores
htmlhelp_basename,1,,,,,,,,,1,lower_case_with_underscores
latex_elements,1,,,,,,,,,1,lower_case_with_underscores
latex_documents,1,,,,,,,,,1,lower_case_with_underscores
man_pages,1,,,,,,,,,1,lower_case_with_underscores
texinfo_documents,1,,,,,,,,,1,lower_case_with_underscores
app,13,,,,,1,2,,,10,lowercase
add_stylesheet,1,,,,,,,,,1,lower_case_with_underscores
add_javascript,1,,,,,,,,,1,lower_case_with_underscores
subprocess,11,,,3,,,,,,8,lowercase
re,64,,,16,,,,,,48,lowercase
collections,99,,,38,,,,,,61,lowercase
defaultdict,10,,,5,,,,,,5,lowercase
io,12,,,10,,,,,,2,lowercase
open,26,1,,1,,,,,,24,lowercase
babel,1,,,1,,,,,,,lowercase
Locale,2,,,1,,,,,,1,CapitalizedWords
authors_by_locale,4,,,,,,,,,4,lower_case_with_underscores
set,278,1,,,,,,,,277,lowercase
file_listing,2,,,,,,,,,2,lower_case_with_underscores
Popen,1,,,,,,,,,1,CapitalizedWords
shell,1,,,,,,1,,,,lowercase
stdout,62,,,,,,8,,,54,lowercase
PIPE,1,,,,,,,,,1,UPPERCASE
file_listing_line,2,,,,,,,,,2,lower_case_with_underscores
filename,108,2,,,,15,8,,,83,lowercase
strip,26,,,,,,,,,26,lowercase
locale,11,,,2,,,,,,9,lowercase
group,97,,,,,1,48,,,48,lowercase
search,431,7,,140,,44,19,,,221,lowercase
str,234,,,,,1,,,,233,lowercase
f,133,,,,,12,,,,121,b
has_found_translators_heading,4,,,,,,,,,4,lower_case_with_underscores
line,20,,,,,1,1,,,18,lowercase
startswith,33,,,,,,,,,33,lowercase
match,41,1,,,,3,1,,,36,lowercase
add,177,9,,,,1,,,,167,lowercase
Exception,21,,,,,,,,,21,CapitalizedWords
LANGUAGE_OVERRIDES,2,,,,,,,,,2,UPPER_CASE_WITH_UNDERSCORES
get_language_name,2,1,,,,,,,,1,lower_case_with_underscores
locale_string,6,,,,,1,,,,5,lower_case_with_underscores
KeyError,39,,,,,,,,,39,CapitalizedWords
english_name,1,,,,,,,,,1,lower_case_with_underscores
parse,14,1,,11,,,,,,2,lowercase
language_names,3,,,,,,,,,3,lower_case_with_underscores
keys,227,,,,,2,,,,225,lowercase
sort,37,,,,,,,,,37,lowercase
language_name,2,,,,,,,,,2,lower_case_with_underscores
print,26,,,,,,,,,26,lowercase
sorted,47,,,,,,,,,47,lowercase
INIT_TEMPLATE,2,,,,,,,,,2,UPPER_CASE_WITH_UNDERSCORES
major,2,,,,,,1,,,1,lowercase
minor,2,,,,,,1,,,1,lowercase
patch,120,,,6,,,1,,,113,lowercase
datestamp,1,,,,,,1,,,,lowercase
strftime,10,,,,,,,,,10,lowercase
today,3,,,,,,,,,3,lowercase
date,96,,,6,,1,9,,,80,lowercase
pathlib,2,,,1,,,,,,1,lowercase
json,551,,,50,,,1,,,500,lowercase
boto3,5,,,2,,,,,,3,lowercase
dist_folder,2,,,,,,,,,2,lower_case_with_underscores
cwd,1,,,,,,,,,1,lowercase
Path,1,,,,,,,,,1,CapitalizedWords
next,7,,,,,1,2,,,4,lowercase
glob,1,,,,,,,,,1,lowercase
StopIteration,1,,,,,,,,,1,CapitalizedWords
exit,4,,,,,,,,,4,lowercase
s3,2,,,,,,,,,2,lowercase
client,1026,,,2,,,,,,1024,lowercase
upload_file,1,,,,,,,,,1,lower_case_with_underscores
ExtraArgs,1,,,,,,1,,,,CapitalizedWords
put,5,1,,,,,,,,4,lowercase
Object,1,,,,,,,,,1,CapitalizedWords
resource,1,,,,,,,,,1,lowercase
ACL,1,,,,,,1,,,,UPPERCASE
Body,1,,,,,,1,,,,CapitalizedWords
dumps,90,,,,,,,,,90,lowercase
get_semver_version,3,1,,1,,,,,,1,lower_case_with_underscores
get_version,5,2,,1,,,,,,2,lower_case_with_underscores
conf,128,,,124,,,,,,4,lowercase
forms,459,,,160,,,,,,299,lowercase
Media,41,,2,7,,,,,,32,CapitalizedWords
MediaDefiningClass,6,,,3,,,,,,3,CapitalizedWords
template,295,,,69,,2,29,,,195,lowercase
loader,40,,,36,,,,,,4,lowercase
render_to_string,101,,,34,,,,,,67,lower_case_with_underscores
urls,246,1,,178,,6,,,,61,lowercase
reverse,1223,,,97,,,1,,,1125,lowercase
functional,21,,,21,,,,,,,lowercase
cached_property,64,,,21,,,,,,43,lower_case_with_underscores
ugettext_lazy,138,,,73,,,,,,65,lower_case_with_underscores
_,725,,,,,,,98,,627,ugly
hooks,206,,,51,,,,,,155,lowercase
models,2855,,,716,,1,,,,2138,lowercase
UserPagePermissionsProxy,40,,1,12,,,,,,27,CapitalizedWords
ActionMenuItem,10,,1,1,,,,,,8,CapitalizedWords
metaclass,10,,,,,,8,,,2,lowercase
order,113,,,,,8,63,,,42,lowercase
label,237,,,,,11,111,,,115,lowercase
is_shown,40,33,,,,,,,,7,lower_case_with_underscores
request,1885,,,6,,366,63,,,1450,lowercase
context,778,,,,,80,34,,,664,lowercase
locked,40,,,,,,1,,,39,lowercase
get_context,55,26,,,,,,,,29,lower_case_with_underscores
parent_context,18,,,,,8,1,,,9,lower_case_with_underscores
copy,63,2,,5,,,,,,56,lowercase
update,112,,,,,,,,,112,lowercase
get_url,13,4,,,,,,,,9,lower_case_with_underscores
render_html,27,11,,,,,,,,16,lower_case_with_underscores
