name,all,function_def,class_def,import_module_or_alias,exception,param,keyword,alias,object_decl,object,naming_style
print_function,2,,,2,,,,,,,lower_case_with_underscores
os,441,,,77,,,,,,364,lowercase
path,584,,,19,,30,9,,,526,lowercase
warnings,2,,,1,,,,,,1,lowercase
sys,224,,,52,,,,,,172,lowercase
setuptools,1,,,1,,,,,,,lowercase
setup,3,,,2,,,,,,1,lowercase
Command,3,,,2,,,,,,1,CapitalizedWords
setuptools_available,3,,,,,,,,,3,lower_case_with_underscores
ImportError,30,,,,,,,,,30,CapitalizedWords
distutils,2,,,2,,,,,,,lowercase
core,1,,,1,,,,,,,lowercase
spawn,3,,,2,,,,,,1,lowercase
py2exe,1,,,1,,,,,,,lowercase
len,314,,,,,,,,,314,lowercase
argv,24,,,,,3,,,,21,lowercase
print,28,,,,,,,,,28,lowercase
file,16,,,,,,2,,,14,lowercase
stderr,44,,,,,,17,,,27,lowercase
exit,13,,,,,,,,,13,lowercase
py2exe_options,2,,,,,,,,,2,lower_case_with_underscores
exec,2,,,,,,,,,2,lowercase
compile,16,,,,,,,,,16,lowercase
read,90,1,,,,,,,,89,lowercase
open,79,,,,,,,,,79,lowercase
DESCRIPTION,3,,,,,,,,,3,UPPERCASE
LONG_DESCRIPTION,3,,,,,,,,,3,UPPER_CASE_WITH_UNDERSCORES
py2exe_console,2,,,,,,,,,2,lower_case_with_underscores
py2exe_params,2,,,,,,,,,2,lower_case_with_underscores
params,427,,,,,16,1,,,410,lowercase
files_spec,2,,,,,,,,,2,lower_case_with_underscores
root,7,,,,,1,1,,,5,lowercase
dirname,97,,,4,,,,,,93,lowercase
abspath,53,,,,,,,,,53,lowercase
data_files,3,,,,,,,,,3,lower_case_with_underscores
files,16,,,,,,,,,16,lowercase
resfiles,3,,,,,,,,,3,lowercase
fn,49,,,,,3,,,,46,lowercase
exists,35,,,,,,,,,35,lowercase
warn,1,,,,,,,,,1,lowercase
append,762,,,,,,,,,762,lowercase
build_lazy_extractors,2,,1,,,,,,,1,lower_case_with_underscores
description,548,,,,,2,1,,,545,lowercase
user_options,1,,,,,,,,,1,lower_case_with_underscores
initialize_options,1,1,,,,,,,,,lower_case_with_underscores
finalize_options,1,1,,,,,,,,,lower_case_with_underscores
run,20,18,,,,,,,,2,lowercase
executable,17,1,,,,,,,,16,lowercase
dry_run,2,,,,,,1,,,1,lower_case_with_underscores
name,232,,,,,35,3,,,194,lowercase
version,68,,,4,,3,1,,,60,lowercase
long_description,1,,,,,,1,,,,lower_case_with_underscores
url,3240,,,,,1032,2,,,2206,lowercase
author,28,,,,,1,1,,,26,lowercase
author_email,1,,,,,,1,,,,lower_case_with_underscores
maintainer,1,,,,,,1,,,,lowercase
maintainer_email,1,,,,,,1,,,,lower_case_with_underscores
packages,1,,,,,,1,,,,lowercase
classifiers,1,,,,,,1,,,,lowercase
cmdclass,1,,,,,,1,,,,lowercase
unicode_literals,760,,,760,,,,,,,lower_case_with_underscores
dirn,12,,,,,,,4,,8,lowercase
insert,40,,,,,,,,,40,lowercase
youtube_dl,74,,,61,,,,,,13,lower_case_with_underscores
BASH_COMPLETION_FILE,2,,,,,,,,,2,UPPER_CASE_WITH_UNDERSCORES
BASH_COMPLETION_TEMPLATE,2,,,,,,,,,2,UPPER_CASE_WITH_UNDERSCORES
build_completion,6,3,,,,,,,,3,lower_case_with_underscores
opt_parser,6,,,,,3,,,,3,lower_case_with_underscores
opts_flag,3,,,,,,,,,3,lower_case_with_underscores
group,1117,,,,,2,146,,,969,lowercase
option_groups,3,,,,,,,,,3,lower_case_with_underscores
option,26,,,,,2,,,,24,lowercase
option_list,3,,,,,,,,,3,lower_case_with_underscores
get_opt_string,3,,,,,,,,,3,lower_case_with_underscores
f,733,2,,,,26,,,,705,b
template,37,,,,,1,,,,36,lowercase
filled_template,4,,,,,,,,,4,lower_case_with_underscores
replace,185,,,,,,,,,185,lowercase
join,184,,,,,,,,,184,lowercase
write,60,1,,,,,,,,59,lowercase
parser,98,,,1,,2,2,,,93,lowercase
parseOpts,6,1,,1,,,,,,4,mixedCase
argparse,2,,,1,,,,,,1,lowercase
ctypes,84,,,6,,,,,,78,lowercase
functools,17,,,6,,,,,,11,lowercase
shutil,11,,,5,,,,,,6,lowercase
subprocess,89,,,17,,,,,,72,lowercase
tempfile,4,,,2,,,,,,2,lowercase
threading,8,,,2,,,,,,6,lowercase
traceback,28,,,6,,1,,,,21,lowercase
compat,254,,,252,,,,,,2,lowercase
compat_input,6,,,2,,,,,,4,lower_case_with_underscores
compat_http_server,12,,,2,,,,2,,8,lower_case_with_underscores
compat_str,343,,,102,,,,,,241,lower_case_with_underscores
compat_urlparse,276,,,93,,,,2,,181,lower_case_with_underscores
winreg,1,,,1,,,,,,,lowercase
compat_winreg,6,,,,,,,2,,4,lower_case_with_underscores
_winreg,1,,,1,,,,,,,lowercase
socketserver,1,,,1,,,,,,,lowercase
compat_socketserver,3,,,,,,,2,,1,lower_case_with_underscores
SocketServer,1,,,1,,,,,,,CapitalizedWords
BuildHTTPServer,2,,1,,,,,,,1,CapitalizedWords
ThreadingMixIn,1,,,,,,,,,1,CapitalizedWords
HTTPServer,5,,,,,,,,,5,CapitalizedWords
allow_reuse_address,1,,,,,,,,,1,lower_case_with_underscores
