name,all,function_def,class_def,import_module_or_alias,exception,param,keyword,alias,object_decl,object,naming_style
print_function,6,,,6,,,,,,,lower_case_with_underscores
os,1219,,,131,,,,,,1088,lowercase
sys,189,,,54,,,,,,135,lowercase
configparser,23,,,9,,,,,,14,lowercase
version_info,3,,,,,,,,,3,lower_case_with_underscores
print,415,,,,,,,,,415,lowercase
exit,46,,,,,,,,,46,lowercase
BASE_DIR,11,,,,,,,,,11,UPPER_CASE_WITH_UNDERSCORES
dirname,158,,,,,1,,,,157,lowercase
path,1160,1,,,,32,28,,,1099,lowercase
abspath,46,,,,,,,,,46,lowercase
append,593,,,,,,,,,593,lowercase
scripts,31,,,31,,,,,,,lowercase
lib,1607,,,1576,,,,,,31,lowercase
setup_path_on_import,4,,,4,,,,,,,lower_case_with_underscores
zulip_tools,22,,,22,,,,,,,lower_case_with_underscores
assert_not_running_as_root,3,1,,1,,,,,,1,lower_case_with_underscores
config_file,22,,,,,2,,,,20,lower_case_with_underscores
RawConfigParser,8,,,,,,,,,8,CapitalizedWords
read,163,,,,,,,,,163,lowercase
PRODUCTION,36,,,2,,,4,,,30,UPPERCASE
has_option,5,,,,,,,,,5,lower_case_with_underscores
HAS_SECRETS,2,,,,,,,,,2,UPPER_CASE_WITH_UNDERSCORES
access,3,,,,,,,,,3,lowercase
R_OK,1,,,,,,,,,1,UPPER_CASE_WITH_UNDERSCORES
setdefault,16,,,,,,,,,16,lowercase
environ,56,,,,,,,,,56,lowercase
django,1683,,,1526,,,,,,157,lowercase
conf,215,,,209,,,,,,6,lowercase
settings,1445,,,206,,2,3,,,1234,lowercase
core,192,,,184,,,,,,8,lowercase
management,133,,,133,,,,,,,lowercase
execute_from_command_line,2,,,1,,,,,,1,lower_case_with_underscores
base,134,,,77,,,1,,,56,lowercase
CommandError,164,,,43,,,,,,121,CapitalizedWords
log_management_command,3,1,,1,,,,,,1,lower_case_with_underscores
join,598,,,1,,,,,,597,lowercase
argv,15,,,,,,,,,15,lowercase
MANAGEMENT_LOG_PATH,2,,,,,,,,,2,UPPER_CASE_WITH_UNDERSCORES
len,985,,,,,,,,,985,lowercase
e,218,,,,72,4,,,,142,b
file,17,,,,,1,9,,,7,lowercase
stderr,18,,,,,2,7,,,9,lowercase
ZULIP_VERSION,24,,,10,,,,,,14,UPPER_CASE_WITH_UNDERSCORES
zulip_git_version_file,3,,,,,,,,,3,lower_case_with_underscores
exists,193,,,,,,,,,193,lowercase
open,249,1,,,,,,,,248,lowercase
f,329,11,,,,7,,,,311,b
version,57,,,15,,7,1,,,34,lowercase
strip,290,,,,,,,,,290,lowercase
LATEST_MAJOR_VERSION,3,,,1,,,,,,2,UPPER_CASE_WITH_UNDERSCORES
LATEST_RELEASE_VERSION,3,,,1,,,,,,2,UPPER_CASE_WITH_UNDERSCORES
LATEST_RELEASE_ANNOUNCEMENT,3,,,1,,,,,,2,UPPER_CASE_WITH_UNDERSCORES
PROVISION_VERSION,8,,,2,,,,,,6,UPPER_CASE_WITH_UNDERSCORES
datetime,405,,,82,,,,,,323,lowercase
typing,472,,,472,,,,,,,lowercase
Optional,1270,,,208,,,,,,1062,CapitalizedWords
db,698,,,569,,,1,,,128,lowercase
models,1996,,,729,,,,,,1267,lowercase
zerver,2259,,,2156,,,,,,103,lowercase
timestamp,127,,,26,,7,16,,,78,lowercase
floor_to_day,15,1,,6,,,,,,8,lower_case_with_underscores
Realm,818,,1,104,,,2,,,711,CapitalizedWords
Stream,313,,1,48,,,2,,,262,CapitalizedWords
UserProfile,1651,,1,242,,,3,,,1405,CapitalizedWords
FillState,65,,1,4,,,,,,60,CapitalizedWords
Model,67,,,2,,,,,,65,CapitalizedWords
property,308,,,,,13,108,,,187,lowercase
CharField,172,,,,,,,,,172,CapitalizedWords
max_length,195,,,,,2,189,,,4,lower_case_with_underscores
unique,37,,,,,,37,,,,lowercase
end_time,142,,,,,11,59,,,72,lower_case_with_underscores
DateTimeField,93,,,,,,,,,93,CapitalizedWords
DONE,27,,,,,,,,,27,UPPERCASE
STARTED,10,,,,,,,,,10,UPPERCASE
state,381,,,67,,8,26,,,280,lowercase
PositiveSmallIntegerField,75,,,,,,,,,75,CapitalizedWords
last_modified,9,,,,,,5,,,4,lower_case_with_underscores
auto_now,14,,,,,,14,,,,lower_case_with_underscores
str,5653,,,,,,,,,5653,lowercase
installation_epoch,14,1,,4,,,,,,9,lower_case_with_underscores
earliest_realm_creation,2,,,,,,,,,2,lower_case_with_underscores
aggregate,17,,,,,,,,,17,lowercase
objects,1908,,,,,1,,,,1907,lowercase
Min,5,,,2,,,,,,3,CapitalizedWords
last_successful_fill,11,1,,4,,,,,,6,lower_case_with_underscores
fillstate,8,,,,,,,,,8,lowercase
first,87,,,,,2,,,,85,lowercase
filter,878,4,,,,,,,,874,lowercase
timedelta,254,,,26,,2,,,,226,lowercase
hours,34,,,,,1,26,,,7,lowercase
BaseCount,20,,1,5,,,,,,14,CapitalizedWords
subgroup,47,,,,,2,20,,,25,lowercase
null,151,,,,,,151,,,,lowercase
value,421,2,,,,31,58,,,330,lowercase
BigIntegerField,13,,,,,,,,,13,CapitalizedWords
Meta,36,,36,,,,,,,,CapitalizedWords
abstract,9,,,,,,,,,9,lowercase
InstallationCount,59,,1,6,,,,,,52,CapitalizedWords
unique_together,71,,,,,,43,,,28,lower_case_with_underscores
RealmCount,114,,1,15,,,,,,98,CapitalizedWords
realm,4405,,,1,,283,632,,,3489,lowercase
ForeignKey,199,,,,,,,,,199,CapitalizedWords
on_delete,206,,,,,,206,,,,lower_case_with_underscores
CASCADE,198,,,3,,,,,,195,UPPERCASE
index_together,11,,,,,,6,,,5,lower_case_with_underscores
UserCount,85,,1,7,,,,,,77,CapitalizedWords
user,1501,,,,,60,58,,,1383,lowercase
StreamCount,50,,1,8,,,,,,41,CapitalizedWords
stream,1355,1,,,,59,36,,,1259,lowercase
id,2375,,,,,8,247,,,2120,lowercase
urls,70,,,31,,2,,,,37,lowercase
include,26,,,6,,2,,,,18,lowercase
url,1278,,,8,,75,45,,,1150,lowercase
analytics,56,,,41,,,,,,15,lowercase
views,157,,,82,,,,,,75,lowercase
rest,8,,,4,,,2,,,2,lowercase
rest_dispatch,109,1,,4,,,,,,104,lower_case_with_underscores
i18n_urlpatterns,6,,,,,,,,,6,lower_case_with_underscores
get_activity,2,1,,,,,,,,1,lower_case_with_underscores
name,1734,1,,,,72,843,,,818,lowercase
support,5,1,,,,,,,,4,lowercase
get_realm_activity,2,1,,,,,,,,1,lower_case_with_underscores
get_user_activity,2,1,,,,,,,,1,lower_case_with_underscores
stats_for_realm,2,1,,,,,,,,1,lower_case_with_underscores
stats_for_installation,2,1,,,,,,,,1,lower_case_with_underscores
stats_for_remote_installation,2,1,,,,,,,,1,lower_case_with_underscores
stats_for_remote_realm,2,1,,,,,,,,1,lower_case_with_underscores
stats,21,1,,,,,,,,20,lowercase
v1_api_and_json_patterns,16,,,1,,,,,,15,lower_case_with_underscores
urlpatterns,10,,,3,,,,,,7,lowercase
itertools,32,,,8,,,,,,24,lowercase
logging,419,,,85,,,,,,334,lowercase
re,378,,,81,,,,,,297,lowercase
time,308,,,58,,4,6,,,240,lowercase
urllib,138,,,36,,,,,,102,lowercase
collections,29,,,28,,,,,,1,lowercase
defaultdict,71,,,24,,,,,,47,lowercase
decimal,4,,,4,,,,,,,lowercase
Decimal,13,,,4,,,,,,9,CapitalizedWords
Any,2203,,,356,,,,,,1847,CapitalizedWords
Callable,245,,,69,,,,,,176,CapitalizedWords
Dict,1473,,,273,,,,,,1200,CapitalizedWords
List,1028,,,210,,,,,,818,CapitalizedWords
Set,185,,,55,,,,,,130,CapitalizedWords
Tuple,287,,,93,,,,,,194,CapitalizedWords
Type,44,,,11,,,,,,33,CapitalizedWords
Union,160,,,53,,,,,,107,CapitalizedWords
pytz,17,,,6,,,,,,11,lowercase
reverse,77,,,10,,,14,,,53,lowercase
connection,133,,,34,,3,,,,96,lowercase
query,400,,,10,,35,21,,,334,lowercase
QuerySet,37,,,10,,,,,,27,CapitalizedWords
http,183,,,182,,,,,,1,lowercase
HttpRequest,574,,,145,,,,,,429,CapitalizedWords
HttpResponse,624,,,153,,,,,,471,CapitalizedWords
HttpResponseNotFound,11,,,4,,,,,,7,CapitalizedWords
shortcuts,22,,,22,,,,,,,lowercase
render,85,7,,16,,,,,,62,lowercase
template,95,,,14,,1,,,,80,lowercase
loader,24,,,8,,,,,,16,lowercase
utils,296,,,274,,,,,,22,lowercase
timezone,195,,,102,,7,15,,,71,lowercase
now,199,,,70,,1,1,,,127,lowercase
timezone_now,327,,,,,,,68,,259,lower_case_with_underscores
utc,27,,,14,,,,,,13,lowercase
timezone_utc,54,,,,,,,12,,42,lower_case_with_underscores
translation,101,,,87,,,,,,14,lowercase
ugettext,78,,,78,,,,,,,lowercase
_,644,,,,,4,,78,,562,ugly
timesince,6,,,4,,,,,,2,lowercase
validators,43,,,14,,,10,,,19,lowercase
URLValidator,10,,,4,,,,,,6,CapitalizedWords
exceptions,102,,,79,,,,,,23,lowercase
ValidationError,96,,,20,,,,,,76,CapitalizedWords
jinja2,6,,,6,,,,,,,lowercase
Markup,3,,,3,,,,,,,CapitalizedWords
mark_safe,21,,,1,,,,3,,17,lower_case_with_underscores
counts,28,,,16,,,,,,12,lowercase
COUNT_STATS,66,,,11,,,,,,55,UPPER_CASE_WITH_UNDERSCORES
CountStat,92,,1,9,,,,,,82,CapitalizedWords
time_utils,3,,,3,,,,,,,lower_case_with_underscores
time_range,14,1,,3,,,,,,10,lower_case_with_underscores
confirmation,62,,,24,,,,,,38,lowercase
Confirmation,101,,1,14,,,,,,86,CapitalizedWords
confirmation_url,66,1,,5,,,,,,60,lower_case_with_underscores
_properties,5,,,1,,,,,,4,lowercase
decorator,136,6,,121,,,,,,9,lowercase
require_server_admin,10,1,,1,,,,,,8,lower_case_with_underscores
require_server_admin_api,6,1,,1,,,,,,4,lower_case_with_underscores
to_non_negative_int,38,1,,9,,,,,,28,lower_case_with_underscores
to_utc_datetime,4,1,,1,,,,,,2,lower_case_with_underscores
zulip_login_required,17,1,,5,,,,,,11,lower_case_with_underscores
require_non_guest_user,5,1,,2,,,,,,2,lower_case_with_underscores
JsonableError,352,,1,53,,,,,,298,CapitalizedWords
request,1692,,,116,,420,17,,,1139,lowercase
REQ,566,6,,107,,,,,,453,UPPERCASE
has_request_variables,317,1,,109,,,,,,207,lower_case_with_underscores
response,843,,,120,,37,13,,,673,lowercase
json_success,375,1,,115,,,,,,259,lower_case_with_underscores
convert_to_UTC,13,1,,4,,,,,,8,ugly
timestamp_to_datetime,23,1,,9,,,,,,13,lower_case_with_underscores
realm_icon,13,,,7,,,,,,6,lower_case_with_underscores
realm_icon_url,17,1,,5,,,1,,,10,lower_case_with_underscores
invite,63,1,,2,,1,1,,,58,lowercase
get_invitee_emails_set,9,1,,2,,,,,,6,lower_case_with_underscores
subdomains,12,,,12,,,,,,,lowercase
get_subdomain_from_hostname,4,1,,1,,,,,,2,lower_case_with_underscores
