name,all,function def,class def,import,exception,param,keyword,alias,object decl,object,case_convention,words
annotations,1263,,,1215,,4,6,,,38,lowercase,['annotations']
glob,49,,,13,,,,,,36,lowercase,['glob']
json,550,,,139,,14,17,,,380,lowercase,['json']
logging,344,1,,134,,,,,,209,lowercase,['logging']
os,1033,,,209,,,,,,824,lowercase,['os']
subprocess,127,,,32,,,,,,95,lowercase,['subprocess']
sys,172,,,51,,,,,,121,lowercase,['sys']
unittest,3,,,1,,,,,,2,lowercase,['unittest']
copy,137,1,,40,,,,,,96,lowercase,['copy']
deepcopy,53,,,15,,,,,,38,lowercase,['deepcopy']
path,694,,,9,,70,16,,,599,lowercase,['path']
relpath,16,,,1,,,,,,15,lowercase,['relpath']
pathlib,46,,,28,,,,,,18,lowercase,['pathlib']
Path,98,,,20,,,,,,78,CapitalizedWords,['path']
textwrap,30,,,18,,,,,,12,lowercase,['textwrap']
wrap,4,1,,1,,,,,,2,lowercase,['wrap']
typing,700,,,699,,,,,,1,lowercase,['typing']
Iterable,358,,,95,,,,,,263,CapitalizedWords,['iterable']
setuptools,3,,,3,,,,,,,lowercase,['setuptools']
Command,16,,,4,,,2,,,10,CapitalizedWords,['command']
Distribution,4,,,1,,,,,,3,CapitalizedWords,['distribution']
find_namespace_packages,2,,,1,,,,,,1,lower_case_with_underscores,"['find', 'namespace', 'packages']"
setup,15,12,,2,,,,,,1,lowercase,['setup']
command,239,1,,5,,38,29,,,166,lowercase,['command']
develop,2,,,2,,,,,,,lowercase,['develop']
develop_orig,2,,,,,,,1,,1,lower_case_with_underscores,"['develop', 'orig']"
install,3,1,,2,,,,,,,lowercase,['install']
install_orig,2,,,,,,,1,,1,lower_case_with_underscores,"['install', 'orig']"
distutils,1,,,1,,,,,,,lowercase,['distutils']
log,3137,3,,92,,11,3,,,3028,lowercase,['log']
INSTALL_PROVIDERS_FROM_SOURCES,4,,,,,,,,,4,UPPER_CASE_WITH_UNDERSCORES,"['install', 'providers', 'from', 'sources']"
PY39,2,,,,,,,,,2,UPPERCASE,['py39']
version_info,21,,,,,,,,,21,lower_case_with_underscores,"['version', 'info']"
logger,102,,,,,8,8,,,86,lowercase,['logger']
getLogger,119,,,,,,,,,119,mixedCase,"['get', 'logger']"
version,217,2,,62,,13,32,,,108,lowercase,['version']
AIRFLOW_SOURCES_ROOT,9,,,,,,,,,9,UPPER_CASE_WITH_UNDERSCORES,"['airflow', 'sources', 'root']"
resolve,33,8,,,,3,,,,22,lowercase,['resolve']
parent,246,,,,,4,34,,,208,lowercase,['parent']
PROVIDERS_ROOT,1,,,,,,,,,1,UPPER_CASE_WITH_UNDERSCORES,"['providers', 'root']"
CROSS_PROVIDERS_DEPS,1,,,,,,,,,1,UPPER_CASE_WITH_UNDERSCORES,"['cross', 'providers', 'deps']"
DEPS,4,,,,,,,,,4,UPPERCASE,"['dep', 's']"
fill_provider_dependencies,2,1,,,,,,,,1,lower_case_with_underscores,"['fill', 'provider', 'dependencies']"
loads,93,,,,,,,,,93,lowercase,['loads']
read_text,3,,,,,,,,,3,lower_case_with_underscores,"['read', 'text']"
e,677,,,,277,4,,,,396,b,['e']
Exception,359,,,,,,,,,359,CapitalizedWords,['exception']
print,333,,,2,,,,,,331,lowercase,['print']
dict,2359,,,,,,,,,2359,lowercase,['dict']
str,14403,,,,,,,,,14403,lowercase,['str']
list,1401,5,,,,,,,,1396,lowercase,['list']
PROVIDER_DEPENDENCIES,5,,,,,,,,,5,UPPER_CASE_WITH_UNDERSCORES,"['provider', 'dependencies']"
airflow_test_suite,1,1,,,,,,,,,lower_case_with_underscores,"['airflow', 'test', 'suite']"
test_loader,2,,,,,,,,,2,lower_case_with_underscores,"['test', 'loader']"
TestLoader,1,,,,,,,,,1,CapitalizedWords,"['test', 'loader']"
test_suite,3,,,,,,1,,,2,lower_case_with_underscores,"['test', 'suite']"
discover,1,,,,,,,,,1,lowercase,['discover']
pattern,57,,,,,12,6,,,39,lowercase,['pattern']
